person_id,assembly_id,party_from_id,party_to_id,party_from_name,party_to_name,source_ids
TNP-00393,NCA-2011,,PTY-e5c16bf2604d,Mouvement Nahdha,Parti de la Construction Patriotique,MARSAD_ANC
TNP-00395,NCA-2011,,PTY-509dbc650cec,L'Initiative,Parti l'initiative,MARSAD_ANC
TNP-00399,NCA-2011,,PTY-509dbc650cec,L'Initiative,Parti l'initiative,MARSAD_ANC
TNP-00141,NCA-2011,,PTY-52f9f25821ab,"Pétition populaire pour la liberté, la justice et le développement",Parti El Amen,MARSAD_ANC
TNP-00400,NCA-2011,,,Parti démocratique progressiste,Al Jomhouri,MARSAD_ANC
TNP-00402,NCA-2011,,PTY-7ad4295a0093,"Pétition populaire pour la liberté, la justice et le développement",Courant de l'amour,MARSAD_ANC
TNP-00407,NCA-2011,,PTY-bbfe9bb6d793,"Pétition populaire pour la liberté, la justice et le développement",La Voix du Peuple de Tunisie,MARSAD_ANC
TNP-00409,NCA-2011,PTY-ETTAKATOL,PTY-20b849ddfcb3,Forum démocratique pour le travail et les libertés,Alliance Démocratique,MARSAD_ANC
TNP-00412,NCA-2011,,PTY-INDEPENDENT,"Pétition populaire pour la liberté, la justice et le développement",Indépendant,MARSAD_ANC
TNP-00415,NCA-2011,,PTY-bbfe9bb6d793,"Pétition populaire pour la liberté, la justice et le développement",La Voix du Peuple de Tunisie,MARSAD_ANC
TNP-00416,NCA-2011,PTY-CPR,PTY-INDEPENDENT,Congrès pour la république,Indépendant,MARSAD_ANC
TNP-00417,NCA-2011,,PTY-bb9202bb86da,Parti communiste des ouvriers de Tunisie,Parti des travailleurs,MARSAD_ANC
TNP-00419,NCA-2011,,PTY-9b0efa626777,"Pétition populaire pour la liberté, la justice et le développement",Union Patriotique Libre,MARSAD_ANC
TNP-00420,NCA-2011,PTY-ETTAKATOL,PTY-NIDAA,Forum démocratique pour le travail et les libertés,Nidaa Tounes,MARSAD_ANC
TNP-00424,NCA-2011,,PTY-20b849ddfcb3,Parti démocratique progressiste,Alliance Démocratique,MARSAD_ANC
TNP-00425,NCA-2011,PTY-CPR,PTY-a8c344e9039d,Congrès pour la république,Mouvement Wafa,MARSAD_ANC
TNP-00426,NCA-2011,,PTY-NIDAA,"Pétition populaire pour la liberté, la justice et le développement",Nidaa Tounes,MARSAD_ANC
TNP-00427,NCA-2011,PTY-CPR,PTY-a8c344e9039d,Congrès pour la république,Mouvement Wafa,MARSAD_ANC
TNP-00428,NCA-2011,,PTY-bbfe9bb6d793,"Pétition populaire pour la liberté, la justice et le développement",La Voix du Peuple de Tunisie,MARSAD_ANC
TNP-00429,NCA-2011,,PTY-7ad4295a0093,"Pétition populaire pour la liberté, la justice et le développement",Courant de l'amour,MARSAD_ANC
TNP-00434,NCA-2011,,PTY-52f9f25821ab,"Pétition populaire pour la liberté, la justice et le développement",Parti El Amen,MARSAD_ANC
TNP-00435,NCA-2011,,PTY-7ad4295a0093,"Pétition populaire pour la liberté, la justice et le développement",Courant de l'amour,MARSAD_ANC
TNP-00436,NCA-2011,,PTY-ac4a3d2a8128,Pôle démocratique moderniste,Al Massar,MARSAD_ANC
TNP-00438,NCA-2011,PTY-ETTAKATOL,PTY-ac4a3d2a8128,Forum démocratique pour le travail et les libertés,Al Massar,MARSAD_ANC
TNP-00440,NCA-2011,PTY-ETTAKATOL,PTY-NIDAA,Forum démocratique pour le travail et les libertés,Nidaa Tounes,MARSAD_ANC
TNP-00443,NCA-2011,,PTY-ac4a3d2a8128,Pôle démocratique moderniste,Al Massar,MARSAD_ANC
TNP-00448,NCA-2011,PTY-b0109a4f5966,PTY-20b849ddfcb3,Afek Tounes,Alliance Démocratique,MARSAD_ANC
TNP-00449,NCA-2011,,PTY-20b849ddfcb3,Parti démocratique progressiste,Alliance Démocratique,MARSAD_ANC
TNP-00450,NCA-2011,,PTY-6be99d2e724f,"Pétition populaire pour la liberté, la justice et le développement",Mouvement de la République,MARSAD_ANC
TNP-00451,NCA-2011,PTY-ETTAKATOL,PTY-3bb19b9567e1,Forum démocratique pour le travail et les libertés,Troisième Alternative,MARSAD_ANC
TNP-00453,NCA-2011,PTY-INDEPENDENT,,Indépendant,Al Jomhouri,MARSAD_ANC
TNP-00455,NCA-2011,PTY-CPR,PTY-INDEPENDENT,Congrès pour la république,Indépendant,MARSAD_ANC
