person_id,name_ar,name_lat,given_name_ar,family_name_ar,given_name_lat,family_name_lat,name_normalised,gender,birth_date,birth_date_precision,birth_place_ar,birth_governorate_id,death_date,death_date_precision,marital_status,n_children,languages,education_raw,education_level,occupation_raw,occupation_sector,biography_ar,wikidata_qid,first_mandate_start,n_mandates
TNP-00001,يوسف الطرشون,Youssef Tarchoun,Youssef,Tarchoun,Youssef,Tarchoun,يوسف طرشون,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00002,يوسف التومي,Youssef Toumi,Youssef,Toumi,Youssef,Toumi,يوسف تومي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00003,يسري البواب,Yosri Baouab,Yosri,Baouab,Yosri,Baouab,يسري بواب,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00004,ياسين مامي,yassine Mami,yassine,Mami,yassine,Mami,ياسين مامي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00005,ياسر قراري,Yasser Grari,Yasser,Grari,Yasser,Grari,ياسر قراري,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00006,وليد حاجي,Walid Hajji,Walid,Hajji,Walid,Hajji,وليد حاجي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00007,هشام حسني,Hichem Hosni,Hichem,Hosni,Hichem,Hosni,هشام حسني,male,,,,,,,divorcé,,ar,"Amendements sur la constitution Né le 12/04/1965 à Tunis, il a effectué ses études primaires à l’école de rue de Russie, ensuite au collège de l’Ariana et ses études secondaires au lycée technique de l’Ariana. Il a poursuivi son enseignement supérieur à la Faculté des Sciences de Tunis, spécialité maths-physique pour ensuite enchainer avec l’Institut Supérieur de l’Education et de la Formation Continue pour y obtenir une maitrise en mathématiques. Il appartient au groupe politique militant communiste depuis 1986 et est syndicaliste depuis 1989. Il est par ailleurs le fondateur du parti de lutte progressiste en mars 2011. Il est divorcé et maitrise la langue arabe, française et anglaise.",,,,ولد هشام حسني في 12/04/1965 بالعاصمة تونس. درس هشام حسني طيلة فترة تعليمه الابتدائي بمدرسة نهج روسيا ثم إنتقل إلى المدرسة الاعدادية باريانة ثم بالمعهد الثانوي باريانة وتابع تعليمه العالي بكلية العلوم بتونس حيث تخصص في مجال الرياضيات و الفيزياء ثم واصل بعد ذلك تعليمه بالمعهد الأعلى للتربية والتكوين المتواصل حيث تحصل على الاستاذية في علوم الرياضيات. منذ سنة 1986 إنخرط هشام حسني في المجموعة السياسية المناضلون الشيوعيون كما اسس في سنة 2011 حزب النضال التقدمي. جدير بالذكر كذلك أنه كان نقابي منذ 1989. مطلق ويتقن اللغة العربية و الفرنسية و الإنجليزية.,,2011-11-22,2
TNP-00008,هالة جاب الله,Hela Jaballa,Hela,Jaballa,Hela,Jaballa,هاله جاب له,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00009,نورة الشبراك,Noura Chabrak,Noura,الشبراك,Noura,Chabrak,نوره شبراك,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00010,نور الهدى سبائطي,Nourelhouda Sbaiti,Nourelhouda,Sbaiti,Nourelhouda,Sbaiti,نور هدي سبايطي,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00011,نزار الصديق,Nizar Seddik,Nizar,Seddik,Nizar,Seddik,نزار صديق,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00012,نجيب عكرمي,Nejib Akremi,Nejib,Akremi,Nejib,Akremi,نجيب عكرمي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00013,نجلاء اللحياني,Najla Lahiani,Najla,Lahiani,Najla,Lahiani,نجلاء لحياني,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00014,نبيه ثابت,Nabih Thabet,Nabih,Thabet,Nabih,Thabet,نبيه ثابت,male,,,,,2025-05-09,day,,,,,,,,,,2023-03-13,1
TNP-00015,نبيل حامدي,Nabil Hamdi,Nabil,Hamdi,Nabil,Hamdi,نبيل حامدي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00016,مهى عامر,Maha Ameur,Maha,Ameur,Maha,Ameur,مهي عامر,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00017,منير الكموني,Mounir Kammouni,Mounir,Kammouni,Mounir,Kammouni,منير كموني,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00018,منصف المعلول,Moncef Maaloul,Moncef,Maaloul,Moncef,Maaloul,منصف معلول,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00019,منال بديدة,Manel Bdida,Manel,Bdida,Manel,Bdida,منال بديده,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00020,مليك كمون,Melik Kammoun,Melik,Kammoun,Melik,Kammoun,مليك كمون,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00021,معز بن يوسف,Moez Ben Youssef,Moez,Ben Youssef,Moez,Ben Youssef,معز بن يوسف,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00022,معز برك الله,Moez Barkallah,Moez,Barkallah,Moez,Barkallah,معز برك له,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00023,معز الرياحي,Moez Riahi,Moez,Riahi,Moez,Riahi,معز رياحي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00024,مصطفى بوبكري,Mustapha Boubakri,Mustapha,Boubakri,Mustapha,Boubakri,مصطفي بوبكري,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00025,مسعود قريرة,Messaoud Grira,Messaoud,Grira,Messaoud,Grira,مسعود قريره,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00026,مريم الشريف,Mariem Cherif,Mariem,Cherif,Mariem,Cherif,مريم شريف,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00027,مراد الخزامي,Mourad khezami,مراد,الخزامي,Mourad,khezami,مراد خزامي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00028,مختار عيفاوي,Mokhtar Ifaoui,Mokhtar,Ifaoui,Mokhtar,Ifaoui,مختار عيفاوي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00029,محمود شلغاف,Mahmoud Chalghaf,Mahmoud,Chalghaf,Mahmoud,Chalghaf,محمود شلغاف,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00030,محمود العامري,Mahmoud El Amri,Mahmoud,El Amri,Mahmoud,El Amri,محمود عامري,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00031,محمد ماجدي,Mohamed Mejdi,Mohamed,Mejdi,Mohamed,Mejdi,محمد ماجدي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00032,محمد علي فنيرة,Mohamed Ali Fennira,Mohamed Ali,Fennira,Mohamed Ali,Fennira,محمد علي فنيره,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00033,محمد علي,Mohamed Ali,Mohamed,Ali,Mohamed,Ali,محمد علي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00034,محمد ضو,Mohamed Dhaw,Mohamed,Dhaw,Mohamed,Dhaw,محمد ضو,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00035,محمد شعباني,Mohamed Chaabani,Mohamed,Chaabani,Mohamed,Chaabani,محمد شعباني,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00036,محمد زياد الماهر,Mohamed Zied El Maher,Mohamed Zied,El Maher,Mohamed Zied,El Maher,محمد زياد ماهر,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00037,محمد بن سعيد,Mohamed Ben Said,Mohamed,Ben Said,Mohamed,Ben Said,محمد بن سعيد,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00038,محمد بن حسين,Mohamed Ben Hassine,Mohamed,Ben Hassine,Mohamed,Ben Hassine,محمد بن حسين,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00039,محمد أمين مباركي,Mohamed Amine Mbarki,Mohamed Amine,Mbarki,Mohamed Amine,Mbarki,محمد امين مباركي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00040,محمد امين الورغي,Mohamed Amine Ouerghi,Mohamed Amine,Ouerghi,Mohamed Amine,Ouerghi,محمد امين ورغي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00041,محمد اليحياوي,Mohamed Yahyaoui,Mohamed,Yahyaoui,Mohamed,Yahyaoui,محمد يحياوي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00042,محمد الهادي العلاني,Mohamed Elhedi Allani,Mohamed Elhedi,Allani,Mohamed Elhedi,Allani,محمد هادي علاني,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00043,محمد أحمد,mohamed Ahmed,Ahmed mohamed,Mohamed,mohamed,Ahmed,محمد احمد,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00044,محسن هرمي,Mohsen Hermi,Mohsen,Hermi,Mohsen,Hermi,محسن هرمي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00045,ماهر بوبكر الحضري,Maher Boubaker Hadhri,Maher,Boubaker Hadhri,Maher,Boubaker Hadhri,ماهر بوبكر حضري,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00046,ماهر الكتاري,Maher Ketari,Maher,Ketari,Maher,Ketari,ماهر كتاري,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00047,ماجدة الورغي,Majda Ouerghi,Majda,Ouerghi,Majda,Ouerghi,ماجده ورغي,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00048,لطفي الهمامي,Lotfi Hammami,لطفي,الهمامي,Lotfi,Hammami,لطفي همامي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00049,لطفي السعداوي,Lotfi Saadaoui,Lotfi,Saadaoui,Lotfi,Saadaoui,لطفي سعداوي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00050,كمال كرعاني,Kamel Keraani,Kamel,Keraani,Kamel,Keraani,كمال كرعاني,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00051,كمال فراح,Kamel Farrah,كمال,فراح,Kamel,Farrah,كمال فراح,male,,,,,,,,,,,,,,,,2023-03-23,1
TNP-00052,فيصل الصغير,Fayçal Sghaier,Fayçal,Sghaier,Fayçal,Sghaier,فيصل صغير,male,,,,,,,,,,,,,,,,2023-03-13,1
