person_id,name_ar,name_lat,given_name_ar,family_name_ar,given_name_lat,family_name_lat,name_normalised,gender,birth_date,birth_date_precision,birth_place_ar,birth_governorate_id,death_date,death_date_precision,marital_status,n_children,languages,education_raw,education_level,occupation_raw,occupation_sector,biography_ar,wikidata_qid,first_mandate_start,n_mandates
TNP-00053,فوزي دعاس,Faouzi Daas,Faouzi,Daas,Faouzi,Daas,فوزي دعاس,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00054,فخري عبد الخالق,Fakhri Abdelkhalek,Fakhri,Abdelkhalek,Fakhri,Abdelkhalek,فخري عبد خالق,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00055,فخر الدين فضلون,Fakhreddine Fadhloun,Fakhreddine,Fadhloun,Fakhreddine,Fadhloun,فخر دين فضلون,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00056,فتحي رجب,Fethi Rjeb,Fethi,Rjeb,Fethi,Rjeb,فتحي رجب,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00057,فتحي المشرقي,Fethi Mechrgui,Fethi,Mechrgui,Fethi,Mechrgui,فتحي مشرقي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00058,فاطمة المسدي,Msedi Fatma,Fatma,Msedi,Fatma,Msedi,فاطمه مسدي,female,,,,,,,,,,,,Assistante contractuelle à l’université,,Membre de l'Assemblée des Représentants du Peuple 2014-2019,,2014-12-02,2
TNP-00059,فاتن النصيبي,Faten Ncibi,Faten,Ncibi,Faten,Ncibi,فاتن نصيبي,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00060,غسان يامون,Ghassen Yamoun,Ghassen,Yamoun,Ghassen,Yamoun,غسان يامون,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00061,عواطف الشنيتي,Awatef Cheniti,Awatef,Cheniti,Awatef,Cheniti,عواطف شنيتي,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00062,عمر بن عمر,Amor Ben Amor,Amor,Ben Amor,Amor,Ben Amor,عمر بن عمر,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00063,عمر برهومي,Amor Barhoumi,Amor,Barhoumi,Amor,Barhoumi,عمر برهومي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00064,عمار عيدودي,Ammar Idoudi,Ammar,Idoudi,Ammar,Idoudi,عمار عيدودي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00065,عماد أولاد جبريل,Ouled jebril Imed,Imed,Ouled jebril,Imed,Ouled jebril,عماد اولاد جبريل,male,,,,,,,,,,,,Professeur de théâtre,,Membre de l'Assemblée des Représentants du Peuple 2014-2019,,2014-12-02,3
TNP-00066,عماد الدين سديري,Imededdine Sdiri,Imededdine,Sdiri,Imededdine,Sdiri,عماد دين سديري,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00067,علي زغدود,Ali Zaghdoud,Ali,Zaghdoud,Ali,Zaghdoud,علي زغدود,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00068,علي بوزوزية,Ali Bouzouzia,Ali,Bouzouzia,Ali,Bouzouzia,علي بوزوزيه,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00069,عصام شوشان,Issam Chouchen,Issam,Chouchen,Issam,Chouchen,عصام شوشان,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00070,عصام البحري الجابري,Issam Bahri Jebri,Issam,Bahri Jebri,Issam,Bahri Jebri,عصام بحري جابري,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00071,عزيز بن الاخضر,Aziz Ben Lakhdher,Aziz,Ben Lakhdher,Aziz,Ben Lakhdher,عزيز بن اخضر,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00072,عزالدين التايب,Ezzeddine Tayeb,عزالدين,التايب,Ezzeddine,Tayeb,عزالدين تايب,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00073,عدنان العلوش,Adnen Allouche,عدنان,العلوش,Adnen,Allouche,عدنان علوش,male,1972-11-10,day,,,,,,,,,,,,,,2025-10-07,1
TNP-00074,عبد القادر عمار,Abdelkader Ammar,Abdelkader,Ammar,Abdelkader,Ammar,عبد قادر عمار,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00075,عبد القادر بن زينب,Abdelkader Ben Zineb,Abdelkader,Ben Zineb,Abdelkader,Ben Zineb,عبد قادر بن زينب,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00076,عبد العزيز شعباني,Abdelaziz Chaabani,Abdelaziz,Chaâbani,Abdelaziz,Chaabani,عبد عزيز شعباني,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00077,عبد السلام الدحماني,Abdessalem Dahmani,Abdessalem,Dahmani,Abdessalem,Dahmani,عبد سلام دحماني,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00078,عبد السلام الحمروني,Abdessalem Hamrouni,Abdessalem,Hamrouni,Abdessalem,Hamrouni,عبد سلام حمروني,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00079,عبد الستار الزارعي,Abdessattar Zarai,Abdessattar,Zarai,Abdessattar,Zarai,عبد ستار زارعي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00080,عبد الرزاق عويدات,Abderrazek Aouidet,عبد الرزاق,عويدات,Abderrazek,Aouidet,عبد رزاق عويدات,male,,,,,,,,,,,,,,,,2019-11-13,2
TNP-00081,عبد الحليم بوسمة,Abdelhalim  Boussema,Abdelhalim,Boussema,Abdelhalim,Boussema,عبد حليم بوسمه,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00082,عبد الحافظ الوحيشي,Abdelhafedh Louhichi,Abdelhafedh,Louhichi,Abdelhafedh,Louhichi,عبد حافظ وحيشي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00083,عبد الجليل الهاني,Abdel jalil El Heni,Abdel jalil,El Heni,Abdel jalil,El Heni,عبد جليل هاني,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00084,عادل ضياف,Adel Dhief,Adel,Dhief,Adel,Dhief,عادل ضياف,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00085,عادل البوسالمي,Adel Bousselmi,Adel Bousselmi,بوسالمي,Adel,Bousselmi,عادل بوسالمي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00086,ظافر الصغيري,dhafer Sghiri,ظافر,صغيري,dhafer,Sghiri,ظافر صغيري,male,,,,,,,,,,,,,,,,2023-07-13,1
TNP-00087,طارق مهدي,Tarek Mehdi,Tarek,Mehdi,Tarek,Mehdi,طارق مهدي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00088,طارق الربعي,Tarek Rebai,Tarek,الربعي,Tarek,Rebai,طارق ربعي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00089,ضحى السالمي,Dhouha Selmi,Dhouha,Selmi,Dhouha,Selmi,ضحي سالمي,female,,,,,,,,,,,,,,,,2023-03-23,1
TNP-00090,صلاح الفرشيشي,Slah ferchichi,Slah,ferchichi,Slah,ferchichi,صلاح فرشيشي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00091,صالح مباركي,Salah Mbarki,Salah,Mbarki,Salah,Mbarki,صالح مباركي,male,,,,,2026-03-09,day,,,,,,,,,,2023-03-13,1
TNP-00092,صالح الصيادي,Salah Sayadi,Salah,Sayadi,Salah,Sayadi,صالح صيادي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00093,صالح السالمي,Salah Selmi,Salah,Selmi,Salah,Selmi,صالح سالمي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00094,صابر المصمودي,Sabeur Masmoudi,Sabeur,Masmoudi,Sabeur,Masmoudi,صابر مصمودي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00095,صابر الجلاصي,Sabeur Jelassi,Sabeur,Jelassi,Sabeur,Jelassi,صابر جلاصي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00096,شكري بن البحري,Chokri Ben Bahri,Chokri,Ben Bahri,Chokri,Ben Bahri,شكري بن بحري,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00097,شفيق عزالدين الزعفوري,Ezzedine Zaafouri,شفيق,عزالدين الزعفوري,chafik,Ezzedine Zaafouri,شفيق عزالدين زعفوري,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00098,سيرين بوصندل,Cyrine Boussandel,Cyrine,Boussandel,Cyrine,Boussandel,سيرين بوصندل,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00099,سيرين المرابط,Sirine Mrabet,سيرين,,Sirine,Mrabet,سيرين مرابط,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00100,سوسن مبروك,Sawsen Mabrouk,Sawsen,Mabrouk,Sawsen,Mabrouk,سوسن مبروك,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00101,سنية بن مبروك,Sonia Ben Mabrouk,Sonia,Ben Mabrouk,Sonia,Ben Mabrouk,سنيه بن مبروك,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00102,سفيان بن حليمة,Sofien Ben hlima,Sofien,Ben hlima,Sofien,Ben hlima,سفيان بن حليمه,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00103,سامي طوجاني,Sami Toujani,Sami,Toujani,Sami,Toujani,سامي طوجاني,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00104,سامي رايس,Sami Rais,Sami,Rais,Sami,Rais,سامي رايس,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00105,سامي بن عبد العالي,Sami Ben Abdelaali,Sami,Ben Abdelaali,Sami,Ben Abdelaali,سامي بن عبد عالي,male,,,,,,,,,,,,,,,,2019-11-13,2
TNP-00106,سامي السيد,Sami Essaied,Sami,Essaied,Sami,Essaied,سامي سيد,male,,,,,2025-03-13,day,,,,,,,,,,2023-03-13,1
TNP-00107,سامي الحاج عمر,Sami Hadj Amor,Sami,Hadj Amor,Sami,Hadj Amor,سامي حاج عمر,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00108,زينة جيب الله,Zina Jiballah,Zina,Jiballah,Zina,Jiballah,زينه جيب له,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00109,ريم المعشاوي,Rim Maachaoui,Rim,Maachaoui,Rim,Maachaoui,ريم معشاوي,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00110,ريم الصغير,Rym Sghaier,Rym,Sghaier,Rym,Sghaier,ريم صغير,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00111,رياض جعيدان,Jaidane Riadh,Riadh,Jaidane,Riadh,Jaidane,رياض جعيدان,male,,,,,,,,,,,,"Maître de conférences en droit public à la Faculté de droit et des sciences politiques de Nice Avocat au Barreau de Nice après avoir obtenu en 2005 le Certificat d’Aptitude à la Profession d’Avocat (CAPA) à l’Ecole de formation des avocats du Sud-Est à Marseille. Il est l’auteur de plusieurs publications juridiques dans des revues internationales spécialisées. Diplômé du Centre International de Formation Européenne (CIFE), de l’Institut International des Droits de l’Homme (IIDH). Il a effectué plusieurs stages et voyages d’études dans des organisations européennes et Internationales telles que l’ONU, la Commission européenne, le Conseil de l’Europe, la Cour européenne des droits de l’homme…",,"Membre de l’Assemblée des Représentants du Peuple 2014-2019 (Circonscription France sud) Président de l’association « La Voix des Tunisiens de France » depuis février 2011 Directeur du Centre d’Information sur le Droit des Étrangers (CIDE) depuis 2010 Secrétaire Général de l’association internationale des praticiens du droit du sport, depuis décembre 2008 Président-Fondateur du Forum d’Echanges Euro-Méditerranéens depuis 2002 Élu membre du Conseil scientifique de l’Université de Nice-Sophia Antipolis février 1999.",,2014-12-02,2
TNP-00112,رياض بلال,Riadh Blel,Riadh,Blel,Riadh,Blel,رياض بلال,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00113,رؤوف الفقيري,Raouf Fekiri,Raouf,Fekiri,Raouf,Fekiri,رووف فقيري,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00114,رمزي الشتوي,Ramzi Chetoui,Ramzi,Chetoui,Ramzi,Chetoui,رمزي شتوي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00115,رضا الدلاعي,Dellai Ridha,Ridha,Dellai,Ridha,Dellai,رضا دلاعي,male,,,,,,,,,,,,Professeur d’enseignement secondaire,,Membre de l'Assemblée des Représentants du Peuple 2014-2019,,2014-12-02,3
TNP-00116,رشدي الرويسي,Rochdi Rouissi,Rochdi,Rouissi,Rochdi,Rouissi,رشدي رويسي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00117,خالد حكيم مبروكي,khaled Hakim Mabrouki,khaled Hakim,Mabrouki,khaled Hakim,Mabrouki,خالد حكيم مبروكي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00118,حمزة بضيافي,Hamza Bidhiafi,حمزة,بضيافي,Hamza,Bidhiafi,حمزه بضيافي,male,1986-02-07,day,,,,,,,,,,,,,,2025-10-07,1
TNP-00119,حمدي بن عبد العالي,Hamdi Ben Abdelali,Hamdi,Ben Abdelali,Hamdi,Ben Abdelali,حمدي بن عبد عالي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00120,حمدي بن صالح,Hamdi Ben Salah,Hamdi,Ben Salah,Hamdi,Ben Salah,حمدي بن صالح,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00121,حمادي غيلاني,Hammadi Ghilani,Hammadi,Ghilani,Hammadi,Ghilani,حمادي غيلاني,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00122,حسن جربوعي,Hassen Jarboui,Hassen,Jarboui,Hassen,Jarboui,حسن جربوعي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00123,حسن بوسامة,Hassen Boussama,Hassen,Boussama,Hassen,Boussama,حسن بوسامه,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00124,حسن بن علي,Hassen Ben Ali,Hassen,Ben Ali,Hassen,Ben Ali,حسن بن علي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00125,حسام محجوب,Houssem Mahjoub,Houssem,Mahjoub,Houssem,Mahjoub,حسام محجوب,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00126,حاتم لباوي,Hatem Labbaoui,Hatem,Labbaoui,Hatem,Labbaoui,حاتم لباوي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00127,حاتم الهواوي,Hatem Houaoui,Hatem,Houaoui,Hatem,Houaoui,حاتم هواوي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00128,جلال خدمي,Jalel khedmi,Jalel,khedmi,Jalel,khedmi,جلال خدمي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00129,ثامر المزهود,Thameur Mazhoud,Thameur,Mazhoud,Thameur,Mazhoud,ثامر مزهود,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00130,ثابت العابد,Thabet Abed,Thabet,Abed,Thabet,Abed,ثابت عابد,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00131,بوبكر بن يحي,Boubaker Ben Yahya,Boubaker,Ben Yahya,Boubaker,Ben Yahya,بوبكر بن يحي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00132,بلال ابن المشري,Bilel Ibn El Mechri,بلال,ابن المشري,Bilel,Bilel Ibn El Mechri,بلال ابن مشري,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00133,بسمة الهمامي,Basma Hammami,Basma,Hammami,Basma,Hammami,بسمه همامي,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00134,بدر الدين القمودي,badreddine gammoudi,بدر الدين,القمودي,badreddine,gammoudi,بدر دين قمودي,male,,,,,,,,,,,,,,,,2019-11-13,2
TNP-00135,بثينة الغانمي,Boutheina Ghanmi,Boutheina,Ghanmi,Boutheina,Ghanmi,بثينه غانمي,female,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00136,باديس بالحاج علي,Bedis Belhadj Ali,Bedis,Belhadj Ali,Bedis,Belhadj Ali,باديس بالحاج علي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00137,أيمن نقرة,Aymen Negra,Aymen,Negra,Aymen,Negra,ايمن نقره,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00138,أيمن بن صالح,Aymen Ben Salah,Aymen,Ben Salah,Aymen,Ben Salah,ايمن بن صالح,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00139,أيمن المرعوي,Aymen Maraoui,Aymen,Maraoui,Aymen,Maraoui,ايمن مرعوي,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00140,أيمن البوغديري,Aymen Boughdiri,Aymen,Boughdiri,Aymen,Boughdiri,ايمن بوغديري,male,,,,,,,,,,,,,,,,2023-03-13,1
TNP-00141,أنور المرزوقي,Anouar Marzouki,Anouar,Marzouki,Anouar,Marzouki,انور مرزوقي,male,,,,,,,,,,Amendements sur la constitution Anouar Marzouki est né le le 02 Janvier 1974 à Jendouba. Il a effectué ses études primaires à Jendouba et ensuite ses études secondaires à Ghardimaou où il a obtenu son baccalauréat en mathématiques en 1993. Il a poursuivi ses études supérieures à la Faculté des Sciences de Tunis où il a obtenu sa maitrise en mathématiques en 1999.,,,,ولد أنور المرزوقي في 02/01/1974 بولاية جندوبة. درس بجندوبة طيلة المرحلة الابتدائية ثم درس بغار دماء طيلة المرحلة الثانوية حيث تحصل على شهادة البكالوريا في الرياضيات سنة 1993. انتقل إلى كلية العلوم بتونس حيث تحصل على الأستاذية في الرياضيات سنة 1999.,,2011-11-22,2
