amendment_id,assembly_id,target_label,target_url,text,n_sponsors,source_ids
AMD-e0e141cd8c4e,NCA-2011,l'article 60,/fr/constitution/3/article/60,"Ajout d'un paragraphe à l'article 60: Pour protéger les droits des électeurs, le député perd son mandat s’il change de parti ou s’il est viré de son parti ou s’il était élu comme indépendant et intègre un parti après son élection.",22,MARSAD_ANC
AMD-88f8708ba94d,NCA-2011,Préambule,/fr/constitution/3/article/0,"Ajout de la date du début de la révolution, le 17 Décembre 2010, au deuxième paragraphe du préambule: Fiers des luttes de notre peuple pour l’indépendance, pour l’édification de l’État, pour l’émancipation du joug de la tyrannie, pour l’affirmation de sa libre volonté et pour la réalisation des objectifs de la révolution de la liberté et de la dignité qui a éclaté le 17 Décembre 2010 à Sidi Bouzid ...",15,MARSAD_ANC
AMD-b74fedc4e21d,NCA-2011,l'article 94,/fr/constitution/3/article/94,"Ajout d'un article avant l'article 94: ""Le gouvernement s’engage et s’oblige à orienter les investissements du secteur public dans ce qui répond à l’intérêt général.""",28,MARSAD_ANC
AMD-2247a8797ae5,NCA-2011,l'article 139,/fr/constitution/3/article/139,"Texte de l'article proposé - suivant l'article 139: Dans le cadre du développement, les régions intérieures bénéficient des avantages de développement pendant 20 ans et cela pour:",29,MARSAD_ANC
AMD-4d959ab8b418,NCA-2011,l'article 127,/fr/constitution/3/article/127,"Avant l'article 127 - Proposition d'ajout d'une section relative au Conseil S upérieur de l'Education, de la Formation et de la Recherche Scientifique: L'instance se charge de donner son avis sur les politiques publiques et les questions nationales relatives à l'éducation, à la formation et à la recherche scientifique. Elle se charge également d'évaluer le rendement du système éducatif et de formation en termes de résultats, programmes, choix et approches. Le conseil est obligatoirement consulté pour les projets de lois relatifs à son domaine.",30,MARSAD_ANC
AMD-da7d07ce97f3,NCA-2011,l'article 102,/fr/constitution/3/article/102,"Texte d'article proposé: “Le métier d’avocat est un métier libre, indépendant, qui participe à la réalisation de la justice et la défense des droits et libertés. L’avocat bénéficie des garanties légales qui lui assure sa protection et lui permet l’exercice de ses fonctions.”",30,MARSAD_ANC
AMD-778d07d0b84d,NCA-2011,l'article 108,/fr/constitution/3/article/108,Remplacer “sans motif légal” par “sans autorisation juridique”.,15,MARSAD_ANC
AMD-d1b0f8b9c017,NCA-2011,l'article 29,/fr/constitution/3/article/29,"Ajout d'un paragraphe à l'article 29: Le détenu a le droit de retourner à son travail après avoir purgé sa peine, sauf décision juridique.",14,MARSAD_ANC
AMD-3d42990e4162,NCA-2011,l'article 125,/fr/constitution/3/article/125,"Entre la troisième et la quatrième section - Proposition d'ajout d'une section relative au Conseil Supérieur de l'Immigration: Une instance dont la mission consiste à donner son avis sur les politiques de l'Etat relatives aux affaires des ressortissants tunisiens à l'étranger, dans le but de protéger leurs droits et intérêts, dans le cadre du respect de la coopération internationale et les lois en vigueur dans les pays d'accueil, ainsi que de renforcer les liens et les relations avec l'identité nationale. L'instance se charge également d'évaluer le rendement des organisations, des institutions et des institutions publiques liées à l'immigration. L'instance est obligatoirement consultée pour les projets de lois relatifs à son domaine.",30,MARSAD_ANC
AMD-5e915def50f9,NCA-2011,l'article 39,/fr/constitution/3/article/39,Ajout d’un article: Le logement décent est un droit pour tout citoyen et l'Etat oeuvre pour le garantir.,28,MARSAD_ANC
AMD-93b4fd90dc5b,NCA-2011,l'article 73,/fr/constitution/3/article/73,Modification du deuxième paragraphe: L'âge pour se présenter à la présidence de la République est compris entre 35 et 75 ans.,15,MARSAD_ANC
AMD-567f50671d64,NCA-2011,Préambule,/fr/constitution/3/article/0,Amendement du deuxième paragraphe: Remplacer “afin d’accéder à l’indépendance et à…” par “et pour consacrer l’indépendance et la construction de l’Etat…”,14,MARSAD_ANC
AMD-0f4b98798c5d,NCA-2011,l'article 4,/fr/constitution/3/article/4,Amendement de l'article 4:,14,MARSAD_ANC
AMD-855e27bc8a31,NCA-2011,l'article 109,/fr/constitution/3/article/109,"Proposition d'amendement pour limiter le mandat des membres: Mandat unique de 6 ans. Changer ""Le Conseil Supérieur de la Magistrature"" par ""Le Conseil Supérieur du Pouvoir Juridictionnel"" dans tout le projet . ==> Partie retirée de l'amendement",21,MARSAD_ANC
AMD-12dcb7c3970f,NCA-2011,l'article 100,/fr/constitution/3/article/100,"Reformulation du dernier paragraphe: ""Le magistrat est indépendant. Il n’est soumis dans l'exercice de ses fonctions qu'à l'autorité de la loi.""",22,MARSAD_ANC
AMD-e8b5b0a45e5d,NCA-2011,l'article 19,/fr/constitution/3/article/19,Après l'article 19 - Ajout d’un article : “Tout traitement avec le sionisme ou l’entité sioniste est un crime puni par la loi”,19,MARSAD_ANC
AMD-35e955875057,NCA-2011,Préambule,/fr/constitution/3/article/0,"Ajout des termes ""Oppression et humiliation"" à la fin du deuxième paragraphe: Fiers des luttes de notre peuple pour l’indépendance, pour l’édification de l’État, pour l’émancipation du joug de la tyrannie, pour l’affirmation de sa libre volonté et pour la réalisation des objectifs de la révolution de la liberté et de la dignité. Fidèles au sang de nos vertueux martyrs, aux sacrifices des tunisiens et des tunisiennes au fil des générations, et pour rompre avec l’injustice, l’iniquité, la corruption, l'oppression et l'humiliation ;",6,MARSAD_ANC
AMD-491ab6830ee4,NCA-2011,Préambule,/fr/constitution/3/article/0,"Paragraphe 2: Enlever deux virgules dans le paragraphe, la première avant ""l’édification de l’État"" et la deuxième après ""nos vertueux martyrs""",13,MARSAD_ANC
AMD-dc2668cb4c79,NCA-2011,Préambule,/fr/constitution/3/article/0,"Amendement consensuel relatif au troisième paragraphe: ""Exprimant l’attachement de notre peuple aux enseignements de l’Islam..."" à la place de ""S’appuyant sur les enseignements de l’islam...""",2,MARSAD_ANC
AMD-ac527627dbf7,NCA-2011,Préambule,/fr/constitution/3/article/0,"Repositionnement de ""Au nom de Dieu"" avant le terme ""Préambule"" pour que ça soit l'introduction du texte de la constitution dans sa totalité.",17,MARSAD_ANC
AMD-43d565509511,NCA-2011,Préambule,/fr/constitution/3/article/0,"Paragraphe 5 du préambule: Suppression de deux virgules de la troisième ligne après l'expression ""en vue de soutenir l'union du Maghreb"" et de la quatrième ligne après l'expression ""et les peuples africains""",14,MARSAD_ANC
AMD-d0afb09a577f,NCA-2011,Préambule,/fr/constitution/3/article/0,Inclure le principe de la dignité de l’homme au début du préambule et le supprimer du début du 4ème paragraphe.,15,MARSAD_ANC
AMD-975588f13f13,NCA-2011,Préambule,/fr/constitution/3/article/0,"Amendement relatif au quatrième paragraphe: Réécrire la première phrase, en ajouter la suprématie de la constitution et de la souveraineté du peuple: … “un Etat civil intégrant la suprématie de la Constitution, la souveraineté du peuple et gouverné par le droit...”",14,MARSAD_ANC
AMD-ed33e3dfc852,NCA-2011,Préambule,/fr/constitution/3/article/0,Amendement relatif au cinquième paragraphe: Ajout de la lutte contre toutes les formes de colonialisme et de racisme et à leur tête le sionisme.,14,MARSAD_ANC
AMD-9bb15d784c8a,NCA-2011,Préambule,/fr/constitution/3/article/0,Amendement relatif au cinquième paragraphe: “Sur la base de la place qu'occupe l’être humain en tant qu'être digne et notre appartenance culturelle... Renforçant l'unité maghrébine... Soutenant notre appartenance méditerranéenne...”,15,MARSAD_ANC
AMD-d770bb2e3584,NCA-2011,Préambule,/fr/constitution/3/article/0,"Amendement relatif au cinquième paragraphe: Ajouter la complémentarité avec tous les peuples des pays du Sud en Afrique, Asie et Amérique Latine.",18,MARSAD_ANC
AMD-1e6a0e37b18a,NCA-2011,Préambule,/fr/constitution/3/article/0,"Ajout au cinquième paragraphe: ""successeur de Dieu sur terre"" après ""l’être humain en tant qu'être digne"".",18,MARSAD_ANC
AMD-2ffda432ef4c,NCA-2011,Préambule,/fr/constitution/3/article/0,"Amendement relatif au troisième paragraphe: Remplacer “Sur la base des enseignements de l’Islam” par “Exprimant l’attachement de notre peuple aux enseignements de l’Islam en tant qu’exemple supérieur et principes complets, considérant qu’il (L’Islam) est l’un des fondateurs principaux de l’humanité moderne et des droits de l’Homme universels”",20,MARSAD_ANC
AMD-16f3ba7c9fb1,NCA-2011,Préambule,/fr/constitution/3/article/0,Ajouter à la fin du cinquième paragaphe: Refus de toutes les formes de normalisation avec l’odieuse entité sioniste.,15,MARSAD_ANC
AMD-2dc50e69817c,NCA-2011,Préambule,/fr/constitution/3/article/0,Troisième paragraphe: Ajout: Droits de l’Homme universel “qui s’accordent avec les particularités culturelles du peuple tunisien”,14,MARSAD_ANC
AMD-1c8e291ae9d6,NCA-2011,Préambule,/fr/constitution/3/article/0,"Amendement relatif au sixième paragraphe: Conscients de la nécessité de participer à la sécurité du climat et à la sauvegarde d’un environnement sain, de façon à garantir la pérennité de nos ressources naturelles et la continuité d’une existence paisible pour les générations futures, et afin de réaliser la volonté du peuple d'être le bâtisseur de son histoire, convaincu que la science, le travail et la création sont des valeurs humaines nobles, et d’être un peuple pionnier aspirant à apporter une contribution supplémentaire à la civilisation sur la base de l’indépendance des décisions nationales, de la paix mondiale et de la solidarité humaine ;",58,MARSAD_ANC
