affiliation_id,person_id,party_id,start_date,end_date,role,source_ids
AFF-89f8087aca2f,TNP-00364,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-626f6e04a719,TNP-00431,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-74d5419871d2,TNP-00432,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-9abd28889ac7,TNP-00433,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-aeca883995e5,TNP-00434,PTY-52f9f25821ab,,,,MARSAD_ANC
AFF-73e80f1783b5,TNP-00435,PTY-7ad4295a0093,,,,MARSAD_ANC
AFF-b1d5c43bb6ec,TNP-00436,PTY-ac4a3d2a8128,,,,MARSAD_ANC
AFF-545dff552da6,TNP-00437,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-993ca8a84dd9,TNP-00438,PTY-ac4a3d2a8128,,,,MARSAD_ANC
AFF-d723b875948f,TNP-00439,PTY-CPR,,,,MARSAD_ANC
AFF-b63967098d0d,TNP-00440,PTY-NIDAA,,,,MARSAD_ANC
AFF-fabf5ecc2f6f,TNP-00441,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-e98923206c62,TNP-00442,PTY-CPR,,,,MARSAD_ANC
AFF-f0b59b72fb19,TNP-00443,PTY-ac4a3d2a8128,,,,MARSAD_ANC
AFF-697732f3fbe7,TNP-00444,PTY-b0109a4f5966,,,,MARSAD_ANC
AFF-015964a5d168,TNP-00445,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-a099c3a0a705,TNP-00446,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-1ae1f044faf8,TNP-00447,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-d3db492ca0ad,TNP-00448,PTY-20b849ddfcb3,,,,MARSAD_ANC
AFF-5c655d0da4fe,TNP-00449,PTY-20b849ddfcb3,,,,MARSAD_ANC
AFF-ae8720abc5a2,TNP-00450,PTY-6be99d2e724f,,,,MARSAD_ANC
AFF-0ebd07b48a36,TNP-00451,PTY-3bb19b9567e1,,,,MARSAD_ANC
AFF-e9401e57d17a,TNP-00452,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-2ecece5c25fe,TNP-00453,PTY-JOMHOURI,,,,MARSAD_ANC
AFF-9beb072c5693,TNP-00454,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-4954d5eb7cd3,TNP-00455,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-fd1311e88300,TNP-00456,PTY-ETTAKATOL,,,,MARSAD_ANC
AFF-19288740a612,TNP-00457,PTY-6be99d2e724f,,,,MARSAD_ANC
AFF-7e8ca93ea4a8,TNP-00458,PTY-ENNAHDHA,,,,MARSAD_ANC
