assembly_id,name_ar,name_fr,name_en,type,ordinal,start_date,end_date,nominal_end_date,seats_nominal,seats_filled,seats_women,electoral_system,suffrage,regime_period,termination_mode,speaker_person_id,legal_basis,coverage_status,notes
ANC-1956,المجلس القومي التأسيسي,Assemblée nationale constituante,National Constituent Assembly,constituent,1,1956-04-08,1959-06-01,,98,98,0,Closed-list plurality (bloc vote) in multi-member constituencies; the Front National list won all seats,Men only; women were enfranchised in 1957 and first voted in the 1959 elections,protectorate_transition,Superseded: dissolved on promulgation of the Constitution of 1 June 1959,,Beylical decree of 1955 convening a constituent assembly,full,"Elected 25 March 1956, five days after independence; opened 8 April 1956. Voted to abolish the monarchy and proclaim the Republic on 25 July 1957. Ten seats were refilled at a by-election on 26 August 1956 after six members were appointed governors, one a délégué, and two died. seats_women is 0 because women were not enfranchised until 1957 and first stood in 1959; this follows from the franchise rather than from a counted roster. Full roster available but from a tertiary source; see docs/SOURCES.md."
NA-1959,مجلس الأمة,Assemblée nationale,National Assembly,ordinary_lower,2,1959-11-08,1964-11-08,,90,90,,Closed-list plurality (bloc vote); Neo-Destour won all 90 seats,Universal adult suffrage; women voting in a legislative election for the first time,bourguiba,Normal expiry,,Constitution of 1 June 1959,frame_only,First legislature under the 1959 Constitution. start_date is the election date; the first-sitting date has not been verified against the Journal Officiel de la République Tunisienne.
NA-1964,مجلس الأمة,Assemblée nationale,National Assembly,ordinary_lower,3,1964-11-08,1969-11-02,,101,101,,Closed-list plurality (bloc vote); the Socialist Destourian Party won all 101 seats,Universal adult suffrage,bourguiba,Normal expiry,,Constitution of 1959,frame_only,The Neo-Destour renamed itself the Parti socialiste destourien at its 1964 Bizerte congress. Seat count verified as 101; the figure of 90 often reported for this chamber is carried over from 1959. start_date is the election date; the first-sitting date has not been verified against the Journal Officiel de la République Tunisienne.
NA-1969,مجلس الأمة,Assemblée nationale,National Assembly,ordinary_lower,4,1969-11-02,1974-11-03,,101,101,,Closed-list plurality (bloc vote); single-party return,Universal adult suffrage,bourguiba,Normal expiry,,Constitution of 1959,frame_only,start_date is the election date; the first-sitting date has not been verified against the Journal Officiel de la République Tunisienne.
NA-1974,مجلس الأمة,Assemblée nationale,National Assembly,ordinary_lower,5,1974-11-03,1979-11-04,,112,112,,Closed-list plurality (bloc vote); single-party return,Universal adult suffrage,bourguiba,Normal expiry,,Constitution of 1959; Bourguiba proclaimed President for life in 1975,frame_only,start_date is the election date; the first-sitting date has not been verified against the Journal Officiel de la République Tunisienne.
NA-1979,مجلس الأمة,Assemblée nationale,National Assembly,ordinary_lower,6,1979-11-04,1981-11-01,1984-11-04,121,121,,Closed-list plurality (bloc vote); single-party return,Universal adult suffrage,bourguiba,"Early renewal: elections held in 1981, three years into the term",,Constitution of 1959,frame_only,"Cut short by the early election of 1 November 1981, the first contested by legalised opposition parties. start_date is the election date; the first-sitting date has not been verified against the Journal Officiel de la République Tunisienne."
COD-1981,مجلس النواب,Chambre des députés,Chamber of Deputies,ordinary_lower,7,1981-11-01,1986-11-02,,136,136,,Closed-list plurality (bloc vote); the PSD-led National Front took all 136 seats,Universal adult suffrage,bourguiba,Normal expiry,,Constitution of 1959,frame_only,"The chamber was renamed Chamber of Deputies (مجلس النواب) in 1981, replacing National Assembly (مجلس الأمة). start_date is the election date; the first-sitting date has not been verified against the Journal Officiel de la République Tunisienne."
COD-1986,مجلس النواب,Chambre des députés,Chamber of Deputies,ordinary_lower,8,1986-11-02,1989-04-02,1991-11-02,125,125,,Closed-list plurality (bloc vote); opposition boycott left all 125 seats to the PSD,Universal adult suffrage,bourguiba,Early renewal after the change of regime of 7 November 1987,,Constitution of 1959,frame_only,"Sat across the removal of Bourguiba by Ben Ali on 7 November 1987, so this chamber-term spans two regime periods; regime_period records its period of election. Cut short by the early election of 2 April 1989. start_date is the election date; the first-sitting date has not been verified against the Journal Officiel de la République Tunisienne."
COD-1989,مجلس النواب,Chambre des députés,Chamber of Deputies,ordinary_lower,9,1989-04-02,1994-03-20,,141,141,,Closed-list plurality (bloc vote); the RCD took all 141 seats,Universal adult suffrage,ben_ali,Normal expiry,,Constitution of 1959,frame_only,First election under Ben Ali; the PSD had been renamed Rassemblement constitutionnel démocratique (RCD) in 1988. Independent lists associated with the Islamist tendency polled strongly but won no seats. start_date is the election date; the first-sitting date has not been verified against the Journal Officiel de la République Tunisienne.
COD-1994,مجلس النواب,Chambre des députés,Chamber of Deputies,ordinary_lower,10,1994-03-20,1999-10-24,,163,163,,144 seats by bloc vote plus 19 seats distributed nationally to losing opposition lists,Universal adult suffrage,ben_ali,Normal expiry,,Constitution of 1959; 1993 amendment of the electoral code,frame_only,The compensatory mechanism introduced here admitted opposition deputies to the chamber for the first time (19 of 163 seats). It is the institutional origin of the 'tolerated opposition' that the literature treats as authoritarian power-sharing. start_date is the election date; the first-sitting date has not been verified against the Journal Officiel de la République Tunisienne.
