person_id,matched_source,matched_source_key,matched_name_ar,matched_name_lat,assembly_id,method,confidence,action_required
TNP-00221,MARSAD_ARP2014,Heger_Bouzemmi,هاجر بوزمي,Heger Bouzemmi,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00548,MARSAD_ARP2014,Hela_Hammi,هالة الحامي,Hela Hammi,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00227,MARSAD_ARP2014,Ibtihej_Ben_Helal,ابتهاج بن هلال,Ibtihej Ben Helal,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00228,MARSAD_ARP2014,Imed_Khemiri,عماد الخميري,Imed Khemiri,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00065,MARSAD_ARP2014,Imed_Ouled_Jebril,عماد أولاد جبريل,Imed Ouled Jebril,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00401,MARSAD_ARP2014,Imen_Ben_Mhamed,إيمان بن محمد,Imen Ben Mhamed,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00235,MARSAD_ARP2014,Jamila_Debbech,جميلة دبش,Jamila Debbech,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00236,MARSAD_ARP2014,Jamila_Jouini,جميلة الجويني,Jamila Jouini,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00492,MARSAD_ARP2014,Kalthoum_Badreddine,كلثوم بدرالدين,Kalthoum Badreddine,ARP-2014,normalised_name_lat,medium,confirm this is the same person
TNP-00247,MARSAD_ARP2014,Latifa_Habachi,لطيفة الحباشي,Latifa Habachi,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00251,MARSAD_ARP2014,Lotfi_Ali,لطفي علي,Lotfi Ali,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00498,MARSAD_ARP2014,Mabrouk_Hrizi,مبروك الحريزي,Mabrouk Hrizi,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00254,MARSAD_ARP2014,Mahbouba_Ben_Dhifallah,محبوبة بن ضيف الله,Mahbouba Ben Dhifallah,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00255,MARSAD_ARP2014,Maher_Madhioub,ماهر المذيوب,Maher Madhioub,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00523,MARSAD_ARP2014,Mahmoud_Gouiaa,محمود قويعه,Mahmoud Gouiaa,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
TNP-00262,MARSAD_ARP2014,Marouan_Falfel,مروان فلفال,Marouan Falfel,ARP-2014,normalised_name_ar+lat,high,confirm this is the same person
