table_name,record_id,field_name,source_id,value_hash,retrieved_at,confidence
persons,TNP-00001,name_ar,ARP_ODOO,87d6bc6aec32,2026-08-29,high
persons,TNP-00001,name_lat,ARP_ODOO,6b50514fc670,2026-08-29,high
persons,TNP-00001,given_name_ar,ARP_ODOO,3611440eb437,2026-08-29,high
persons,TNP-00001,family_name_ar,ARP_ODOO,8a79f8726a31,2026-08-29,high
persons,TNP-00001,given_name_lat,ARP_ODOO,3611440eb437,2026-08-29,high
persons,TNP-00001,family_name_lat,ARP_ODOO,8a79f8726a31,2026-08-29,high
persons,TNP-00001,gender,ARP_ODOO,030ef4a52619,2026-08-29,high
mandates,TNM-107d78f3ddfb,assembly_id,ARP_ODOO,d82703518bea,2026-08-29,high
persons,TNP-00002,name_ar,ARP_ODOO,2131235fe6a1,2026-08-29,high
persons,TNP-00002,name_lat,ARP_ODOO,df345ad32076,2026-08-29,high
persons,TNP-00002,given_name_ar,ARP_ODOO,3611440eb437,2026-08-29,high
persons,TNP-00002,family_name_ar,ARP_ODOO,3861a581cce1,2026-08-29,high
persons,TNP-00002,given_name_lat,ARP_ODOO,3611440eb437,2026-08-29,high
persons,TNP-00002,family_name_lat,ARP_ODOO,3861a581cce1,2026-08-29,high
persons,TNP-00002,gender,ARP_ODOO,030ef4a52619,2026-08-29,high
mandates,TNM-6d24dd68bd6f,assembly_id,ARP_ODOO,d82703518bea,2026-08-29,high
persons,TNP-00003,name_ar,ARP_ODOO,ae528ce3a492,2026-08-29,high
persons,TNP-00003,name_lat,ARP_ODOO,ae95089f6ff8,2026-08-29,high
persons,TNP-00003,given_name_ar,ARP_ODOO,2b65bd37e08d,2026-08-29,high
persons,TNP-00003,family_name_ar,ARP_ODOO,a31d40d115ba,2026-08-29,high
persons,TNP-00003,given_name_lat,ARP_ODOO,2b65bd37e08d,2026-08-29,high
persons,TNP-00003,family_name_lat,ARP_ODOO,a31d40d115ba,2026-08-29,high
persons,TNP-00003,gender,ARP_ODOO,030ef4a52619,2026-08-29,high
mandates,TNM-b76a429cb25e,assembly_id,ARP_ODOO,d82703518bea,2026-08-29,high
persons,TNP-00004,name_ar,ARP_ODOO,9f5081828fab,2026-08-29,high
persons,TNP-00004,name_lat,ARP_ODOO,3eb33894be8b,2026-08-29,high
persons,TNP-00004,given_name_ar,ARP_ODOO,3abeaf25c824,2026-08-29,high
persons,TNP-00004,family_name_ar,ARP_ODOO,1af831f6ef48,2026-08-29,high
persons,TNP-00004,given_name_lat,ARP_ODOO,3abeaf25c824,2026-08-29,high
persons,TNP-00004,family_name_lat,ARP_ODOO,1af831f6ef48,2026-08-29,high
persons,TNP-00004,gender,ARP_ODOO,030ef4a52619,2026-08-29,high
mandates,TNM-160b48cb1234,assembly_id,ARP_ODOO,d82703518bea,2026-08-29,high
persons,TNP-00005,name_ar,ARP_ODOO,0fc7875b6ca6,2026-08-29,high
persons,TNP-00005,name_lat,ARP_ODOO,003a35af6d52,2026-08-29,high
persons,TNP-00005,given_name_ar,ARP_ODOO,db4961d9bbac,2026-08-29,high
persons,TNP-00005,family_name_ar,ARP_ODOO,bc4c2d443eb7,2026-08-29,high
persons,TNP-00005,given_name_lat,ARP_ODOO,db4961d9bbac,2026-08-29,high
