person_id,assembly_id,plenary_attendance_rate,plenary_denominator,committee_attendance_rate,committee_denominator,vote_participation_rate,vote_denominator,vote_discipline_rate,n_written_questions,n_oral_questions,source_ids
TNP-00038,ARP-2023,,,,,,,,22,,ARP_ODOO
TNP-00039,ARP-2023,,,,,,,,44,,ARP_ODOO
TNP-00040,ARP-2023,,,,,,,,68,,ARP_ODOO
TNP-00041,ARP-2023,,,,,,,,9,,ARP_ODOO
TNP-00042,ARP-2023,,,,,,,,60,,ARP_ODOO
TNP-00043,ARP-2023,,,,,,,,21,,ARP_ODOO
TNP-00044,ARP-2023,,,,,,,,6,,ARP_ODOO
TNP-00045,ARP-2023,,,,,,,,8,,ARP_ODOO
TNP-00046,ARP-2023,,,,,,,,1,,ARP_ODOO
TNP-00047,ARP-2023,,,,,,,,12,,ARP_ODOO
TNP-00048,ARP-2023,,,,,,,,40,,ARP_ODOO
TNP-00049,ARP-2023,,,,,,,,13,,ARP_ODOO
TNP-00050,ARP-2023,,,,,,,,28,,ARP_ODOO
TNP-00051,ARP-2023,,,,,,,,12,,ARP_ODOO
TNP-00052,ARP-2023,,,,,,,,146,,ARP_ODOO
TNP-00053,ARP-2023,,,,,,,,18,,ARP_ODOO
TNP-00054,ARP-2023,,,,,,,,13,,ARP_ODOO
TNP-00055,ARP-2023,,,,,,,,37,,ARP_ODOO
TNP-00056,ARP-2023,,,,,,,,12,,ARP_ODOO
TNP-00057,ARP-2023,,,,,,,,32,,ARP_ODOO
TNP-00058,ARP-2023,,,,,,,,84,,ARP_ODOO
TNP-00059,ARP-2023,,,,,,,,5,,ARP_ODOO
TNP-00060,ARP-2023,,,,,,,,107,,ARP_ODOO
TNP-00061,ARP-2023,,,,,,,,54,,ARP_ODOO
TNP-00062,ARP-2023,,,,,,,,48,,ARP_ODOO
TNP-00063,ARP-2023,,,,,,,,4,,ARP_ODOO
TNP-00064,ARP-2023,,,,,,,,58,,ARP_ODOO
TNP-00065,ARP-2023,,,,,,,,38,,ARP_ODOO
TNP-00066,ARP-2023,,,,,,,,34,,ARP_ODOO
TNP-00067,ARP-2023,,,,,,,,24,,ARP_ODOO
TNP-00068,ARP-2023,,,,,,,,11,,ARP_ODOO
TNP-00069,ARP-2023,,,,,,,,20,,ARP_ODOO
TNP-00070,ARP-2023,,,,,,,,77,,ARP_ODOO
TNP-00071,ARP-2023,,,,,,,,47,,ARP_ODOO
TNP-00072,ARP-2023,,,,,,,,6,,ARP_ODOO
TNP-00073,ARP-2023,,,,,,,,10,,ARP_ODOO
TNP-00074,ARP-2023,,,,,,,,34,,ARP_ODOO
TNP-00075,ARP-2023,,,,,,,,1,,ARP_ODOO
TNP-00076,ARP-2023,,,,,,,,140,,ARP_ODOO
TNP-00077,ARP-2023,,,,,,,,138,,ARP_ODOO
TNP-00078,ARP-2023,,,,,,,,16,,ARP_ODOO
TNP-00079,ARP-2023,,,,,,,,17,,ARP_ODOO
TNP-00080,ARP-2023,,,,,,,,12,,ARP_ODOO
TNP-00081,ARP-2023,,,,,,,,44,,ARP_ODOO
TNP-00082,ARP-2023,,,,,,,,4,,ARP_ODOO
TNP-00083,ARP-2023,,,,,,,,35,,ARP_ODOO
TNP-00084,ARP-2023,,,,,,,,95,,ARP_ODOO
TNP-00085,ARP-2023,,,,,,,,1,,ARP_ODOO
TNP-00086,ARP-2023,,,,,,,,14,,ARP_ODOO
TNP-00087,ARP-2023,,,,,,,,13,,ARP_ODOO
TNP-00088,ARP-2023,,,,,,,,15,,ARP_ODOO
TNP-00089,ARP-2023,,,,,,,,130,,ARP_ODOO
TNP-00090,ARP-2023,,,,,,,,11,,ARP_ODOO
TNP-00091,ARP-2023,,,,,,,,3,,ARP_ODOO
TNP-00092,ARP-2023,,,,,,,,12,,ARP_ODOO
TNP-00093,ARP-2023,,,,,,,,11,,ARP_ODOO
TNP-00094,ARP-2023,,,,,,,,81,,ARP_ODOO
TNP-00095,ARP-2023,,,,,,,,12,,ARP_ODOO
TNP-00096,ARP-2023,,,,,,,,46,,ARP_ODOO
TNP-00097,ARP-2023,,,,,,,,22,,ARP_ODOO
TNP-00098,ARP-2023,,,,,,,,54,,ARP_ODOO
TNP-00099,ARP-2023,,,,,,,,32,,ARP_ODOO
TNP-00100,ARP-2023,,,,,,,,10,,ARP_ODOO
TNP-00101,ARP-2023,,,,,,,,58,,ARP_ODOO
TNP-00102,ARP-2023,,,,,,,,52,,ARP_ODOO
TNP-00103,ARP-2023,,,,,,,,6,,ARP_ODOO
TNP-00104,ARP-2023,,,,,,,,31,,ARP_ODOO
TNP-00105,ARP-2023,,,,,,,,1,,ARP_ODOO
TNP-00106,ARP-2023,,,,,,,,19,,ARP_ODOO
TNP-00107,ARP-2023,,,,,,,,13,,ARP_ODOO
TNP-00108,ARP-2023,,,,,,,,39,,ARP_ODOO
TNP-00109,ARP-2023,,,,,,,,41,,ARP_ODOO
TNP-00110,ARP-2023,,,,,,,,104,,ARP_ODOO
TNP-00111,ARP-2023,,,,,,,,1,,ARP_ODOO
TNP-00112,ARP-2023,,,,,,,,15,,ARP_ODOO
TNP-00113,ARP-2023,,,,,,,,46,,ARP_ODOO
TNP-00114,ARP-2023,,,,,,,,57,,ARP_ODOO
TNP-00115,ARP-2023,,,,,,,,1,,ARP_ODOO
TNP-00116,ARP-2023,,,,,,,,23,,ARP_ODOO
TNP-00117,ARP-2023,,,,,,,,25,,ARP_ODOO
TNP-00118,ARP-2023,,,,,,,,10,,ARP_ODOO
TNP-00119,ARP-2023,,,,,,,,22,,ARP_ODOO
TNP-00120,ARP-2023,,,,,,,,4,,ARP_ODOO
TNP-00121,ARP-2023,,,,,,,,5,,ARP_ODOO
TNP-00122,ARP-2023,,,,,,,,144,,ARP_ODOO
TNP-00123,ARP-2023,,,,,,,,5,,ARP_ODOO
TNP-00124,ARP-2023,,,,,,,,17,,ARP_ODOO
TNP-00125,ARP-2023,,,,,,,,60,,ARP_ODOO
TNP-00126,ARP-2023,,,,,,,,105,,ARP_ODOO
TNP-00127,ARP-2023,,,,,,,,28,,ARP_ODOO
TNP-00128,ARP-2023,,,,,,,,63,,ARP_ODOO
TNP-00129,ARP-2023,,,,,,,,19,,ARP_ODOO
TNP-00130,ARP-2023,,,,,,,,28,,ARP_ODOO
TNP-00131,ARP-2023,,,,,,,,20,,ARP_ODOO
TNP-00132,ARP-2023,,,,,,,,11,,ARP_ODOO
TNP-00133,ARP-2023,,,,,,,,151,,ARP_ODOO
TNP-00134,ARP-2023,,,,,,,,19,,ARP_ODOO
TNP-00135,ARP-2023,,,,,,,,40,,ARP_ODOO
TNP-00136,ARP-2023,,,,,,,,72,,ARP_ODOO
TNP-00137,ARP-2023,,,,,,,,17,,ARP_ODOO
TNP-00138,ARP-2023,,,,,,,,48,,ARP_ODOO
TNP-00139,ARP-2023,,,,,,,,24,,ARP_ODOO
TNP-00140,ARP-2023,,,,,,,,30,,ARP_ODOO
TNP-00141,ARP-2023,,,,,,,,9,,ARP_ODOO
TNP-00142,ARP-2023,,,,,,,,45,,ARP_ODOO
TNP-00143,ARP-2023,,,,,,,,31,,ARP_ODOO
