constituency_id,assembly_id,name_ar,name_lat,governorate_id,is_abroad,magnitude
TNC-e0e71d7d9d41,ADV-2005,أريانة,Ariana,TN-12,false,2
TNC-abd4ed8c0195,ADV-2005,القصرين,Kasserine,TN-42,false,2
TNC-c28a3e3bd297,ADV-2005,القيروان,Kairouan,TN-41,false,2
TNC-e8ed574a280f,ADV-2005,الكاف,Kef,TN-33,false,2
TNC-09d562a5391e,ADV-2005,المنستير,Monastir,TN-52,false,2
TNC-a527c1dc08d3,ADV-2005,المنظمة المهنية للأعراف,Organisation professionnelle des employeurs,,false,14
TNC-84f5b7eec7c0,ADV-2005,المنظمة المهنية للفلاحين,Organisation professionnelle des agriculteurs,,false,14
TNC-ff68874e0273,ADV-2005,المهدية,Mahdia,TN-53,false,2
TNC-46852900bf60,ADV-2005,باجة,Beja,TN-31,false,2
TNC-e430a90af249,ADV-2005,بن عروس,Ben Arous,TN-13,false,2
TNC-5efbab939d98,ADV-2005,بنزرت,Bizerte,TN-23,false,2
TNC-20104fe58bfb,ADV-2005,تطاوين,Tataouine,TN-83,false,1
TNC-355edc723ff1,ADV-2005,توزر,Tozeur,TN-72,false,1
TNC-37109002e031,ADV-2005,تونس,Tunis,TN-11,false,2
TNC-6d01793f8adf,ADV-2005,جندوبة,Jendouba,TN-32,false,2
TNC-c1e6178b0506,ADV-2005,زغوان,Zaghouan,TN-22,false,1
TNC-85c1f8af021c,ADV-2005,سليانة,Siliana,TN-34,false,1
TNC-715d3cf2c45f,ADV-2005,سوسة,Sousse,TN-51,false,2
TNC-c1070b5beb60,ADV-2005,سيدي بوزيد,Sidi Bouzid,TN-43,false,2
TNC-a9aef4b186ba,ADV-2005,صفاقس,Sfax,TN-61,false,2
TNC-d6a6595f1258,ADV-2005,قابس,Gabes,TN-81,false,2
TNC-046f6fefd2ec,ADV-2005,قبلي,Kebili,TN-73,false,1
TNC-467c76aa9c04,ADV-2005,قفصة,Gafsa,TN-71,false,2
TNC-b364cf54c813,ADV-2005,مدنين,Medenine,TN-82,false,2
TNC-374ec068b4a1,ADV-2005,منوبة,Manouba,TN-14,false,2
TNC-885075ec6154,ADV-2005,نابل,Nabeul,TN-21,false,2
TNC-0e432e6af759,ANC-1956,القيروان-جلاص,,,false,
TNC-255578e873cd,ANC-1956,الكاف-تبرسق,,,false,
TNC-59fc1f46fd37,ANC-1956,المهدية-السواسي,,,false,
TNC-c6aa33a8a03e,ANC-1956,بنزرت-ماطر,,,false,
TNC-cb128a00242f,ANC-1956,تالة-سبيطلة,,,false,
TNC-fe1ab7e04f8a,ANC-1956,تونس,,TN-11,false,
TNC-5d710bb182f3,ANC-1956,سوسة,,TN-51,false,
TNC-3e4ef26a2a12,ANC-1956,سوق الإربعاء-عين دراهم,,,false,
TNC-48f7f1dfa45e,ANC-1956,سوق الخميس-باجة,,,false,
TNC-16c302122fcd,ANC-1956,سيدي بوزيد-قفصة-توزر,,,false,
TNC-d8dd896cec22,ANC-1956,صفاقس-الصخيرة-جبنيانة,,,false,
TNC-54511a128e73,ANC-1956,ضواحي تونس,,,false,
TNC-6b5b44e762cb,ANC-1956,قابس-جربة,,,false,
TNC-74d40c23d232,ANC-1956,مجردة-زغوان,,,false,
TNC-5438f058c2e9,ANC-1956,مكثر-سليانة-تاجروين,,,false,
TNC-01cd7f255fc6,ANC-1956,منستير-جمال,,,false,
TNC-4c046e8a6b5a,ANC-1956,نابل-سليمان,,,false,
TNC-e59d5fa14f77,ANC-1956,ورغمة-تطاوين-مطماطة-نفزاوة,,,false,
TNC-f502c1f80309,ARP-2014,أريانة,,TN-12,false,
TNC-ef75fb459a09,ARP-2014,ألمانيا,,TN-99,true,
TNC-a1a97b7dfaf6,ARP-2014,إيطاليا,,TN-99,true,
TNC-a104110a8c2b,ARP-2014,العالم العربي وبقية دول العالم,,,false,
TNC-6b426f4ed056,ARP-2014,القارة الأمريكية وبقية الدول الأوروبية,,,false,
TNC-19437cfdc576,ARP-2014,القصرين,,TN-42,false,
TNC-2ffd7b757121,ARP-2014,القيروان,,TN-41,false,
TNC-6bebe902d4f4,ARP-2014,الكاف,,TN-33,false,
TNC-48f5fc595ad5,ARP-2014,المنستير,,TN-52,false,
TNC-858bae1a6a7d,ARP-2014,المهدية,,TN-53,false,
TNC-ef4a07feb957,ARP-2014,باجة,,TN-31,false,
TNC-0ea649aa9c9b,ARP-2014,بن عروس,,TN-13,false,
TNC-127a9c27f085,ARP-2014,بنزرت,,TN-23,false,
TNC-4f3e7e49a279,ARP-2014,تطاوين,,TN-83,false,
TNC-2eba64109a74,ARP-2014,توزر,,TN-72,false,
TNC-c5d49c5a3d8b,ARP-2014,تونس 2,,TN-11,false,
TNC-067080a8159f,ARP-2014,جندوبة,,TN-32,false,
TNC-3ec99e0eae36,ARP-2014,زغوان,,TN-22,false,
TNC-79a8fbd7e523,ARP-2014,سليانة,,TN-34,false,
TNC-45ef21daa360,ARP-2014,سوسة,,TN-51,false,
TNC-d540a481d4ec,ARP-2014,سيدي بوزيد,,TN-43,false,
TNC-4f3b2af02bf2,ARP-2014,صفاقس 2,,TN-61,false,
TNC-26721d64b672,ARP-2014,فرنسا 2,,TN-99,true,
TNC-0a6fa8fc89c0,ARP-2014,قابس,,TN-81,false,
TNC-a77f5ad1c2d7,ARP-2014,قبلي,,TN-73,false,
TNC-dc9e20ebd731,ARP-2014,قفصة,,TN-71,false,
