vote_id,assembly_id,vote_date,title,source_url,n_recorded,source_ids
VOT-d7c5477d1957,NCA-2011,2012-07-18,Arrêté présidentiel portant destitution du gouverneur en poste de la banque centrale de Tunisie,,209,MARSAD_ANC
VOT-6e875a7f26ef,NCA-2011,2012-07-24,Vote pour l'approbation de la nomination de Chadly Ayari comme nouveau gouverneur de la banque centrale,,209,MARSAD_ANC
VOT-3d1250d42169,NCA-2011,2012-11-08,Article 1,,210,MARSAD_ANC
VOT-503ef1d5c292,NCA-2011,2012-11-14,Article 3,,210,MARSAD_ANC
VOT-3437978feee0,NCA-2011,2012-11-14,Article 4,,210,MARSAD_ANC
VOT-3969ea48aafd,NCA-2011,2012-11-20,Article 5,,210,MARSAD_ANC
VOT-1da1790acbeb,NCA-2011,2012-11-27,Article 10,,210,MARSAD_ANC
VOT-7069ffc0755b,NCA-2011,2012-11-27,Article 11,,210,MARSAD_ANC
VOT-8f9d7785fdde,NCA-2011,2012-11-27,Article 12,,210,MARSAD_ANC
VOT-8f0f8c948b1f,NCA-2011,2012-11-27,Article 9,,210,MARSAD_ANC
VOT-ae80394aef7d,NCA-2011,2012-11-27,Article 13,,210,MARSAD_ANC
VOT-af15ab6354f9,NCA-2011,2012-11-27,Article 7,,210,MARSAD_ANC
VOT-55448cc5826a,NCA-2011,2012-11-28,Article 14,,210,MARSAD_ANC
VOT-6ab35ab3f3e3,NCA-2011,2012-11-29,Vote concernant le projet de loi N°72/2012 relatif à la ratification de l'accord du prêt complémentaire signé à Washington entre le gouvernement tunisien et la Banque Mondiale pour la reconstruction et l'approvisionnement du deuxième programme pour l'appui à l'économie tunisienne.,,210,MARSAD_ANC
VOT-41efe106ae95,NCA-2011,2012-11-29,Vote concernant le projet de loi N°71/2012 relatif à la ratification de l'accord du prêt entre le gouvernement tunisien et la Banque Africaine de Développement pour la participation dans le programme d'appui à l'économie tunisienne et au développement participatif,,210,MARSAD_ANC
VOT-2a90dceb3b50,NCA-2011,2012-12-04,Article 16,,210,MARSAD_ANC
VOT-3a1b64eb5797,NCA-2011,2012-12-04,Article 17,,210,MARSAD_ANC
VOT-8bc8cf5959fa,NCA-2011,2012-12-04,Article 15,,210,MARSAD_ANC
VOT-916040255147,NCA-2011,2012-12-04,Article 18,,210,MARSAD_ANC
VOT-8e9299d3ddc1,NCA-2011,2012-12-04,Article 19,,210,MARSAD_ANC
VOT-ce0b95b882d7,NCA-2011,2012-12-04,Article 20,,210,MARSAD_ANC
VOT-55f8801eee9a,NCA-2011,2012-12-05,Article 23,,210,MARSAD_ANC
VOT-361c7264184f,NCA-2011,2012-12-05,Article 22,,210,MARSAD_ANC
VOT-7c71738a8531,NCA-2011,2012-12-06,Article 21,,210,MARSAD_ANC
VOT-451e0087fc1b,NCA-2011,2012-12-06,Article 25,,210,MARSAD_ANC
VOT-f2cbcf6a3f80,NCA-2011,2012-12-06,Article 26,,210,MARSAD_ANC
VOT-884d81a58590,NCA-2011,2012-12-06,Article 27,,210,MARSAD_ANC
VOT-5ba8e1cb316a,NCA-2011,2012-12-06,Article 30,,210,MARSAD_ANC
VOT-6cf40e82ae19,NCA-2011,2012-12-06,Article 29,,210,MARSAD_ANC
VOT-8cafe0fc61b2,NCA-2011,2012-12-06,Article 31,,210,MARSAD_ANC
VOT-3700b830acdd,NCA-2011,2012-12-06,Article 33,,210,MARSAD_ANC
VOT-854b1f93f3fd,NCA-2011,2012-12-06,Article 34,,210,MARSAD_ANC
VOT-198a79eb5ac3,NCA-2011,2012-12-06,Article 35,,210,MARSAD_ANC
VOT-b5debb34a789,NCA-2011,2012-12-06,Article 36,,210,MARSAD_ANC
VOT-5fca904cbdcb,NCA-2011,2012-12-06,Article 32,,210,MARSAD_ANC
VOT-991f00cd46dd,NCA-2011,2012-12-12,Article 6,,210,MARSAD_ANC
VOT-5a437029137d,NCA-2011,2012-12-12,Ajout d'un article,,210,MARSAD_ANC
VOT-f01bb8ec52d9,NCA-2011,2012-12-12,vote sur la loi,,210,MARSAD_ANC
VOT-e0e9d62ef4c0,NCA-2011,2012-12-14,Vote sur le projet de loi N°48/2012 relatif à une convention de rachat,,210,MARSAD_ANC
VOT-c1fa073e49d8,NCA-2011,2012-12-14,Le projet de loi numéro 2012/65 avec la révision et l'achèvement de certaines dispositions de la loi n ° 1 pour l'année 2012 du 16 mai 2012 sur la loi de finances complémentaire pour l'année 2012.,,210,MARSAD_ANC
VOT-db35f1a0ef32,NCA-2011,2012-12-20,Vote pour la nomination de Ilyas Fakhfakh à la tête du ministère des finances,,210,MARSAD_ANC
VOT-4035af939290,NCA-2011,2012-12-24,Chapitre 2: Présidence de la République,,210,MARSAD_ANC
VOT-bc29a22d8a80,NCA-2011,2012-12-24,Chapitre 8: Ministère de la Défense,,210,MARSAD_ANC
VOT-1d82e49e3018,NCA-2011,2012-12-24,Chapitre 10: Ministère des Finances,,210,MARSAD_ANC
VOT-b2b470567209,NCA-2011,2012-12-24,Chapitre 12: Ministère du Développement Régional et de la Planification,,210,MARSAD_ANC
VOT-9e758bc1e2bf,NCA-2011,2012-12-24,Chapitre 14: Ministère de l'Agriculture,,210,MARSAD_ANC
VOT-99fd0184f377,NCA-2011,2012-12-24,Chapitre 15: Ministère de l’Environnement,,210,MARSAD_ANC
VOT-33f4775c431d,NCA-2011,2012-12-24,Chapitre 17: Ministère du Commerce et de l'Artisanat,,210,MARSAD_ANC
VOT-26586ec811e9,NCA-2011,2012-12-24,Chapitre 18: Ministère des Technologies de l'Information et de la Communication,,210,MARSAD_ANC
VOT-30dfb82c83c1,NCA-2011,2012-12-24,Chapitre 19: Ministère du Tourisme,,210,MARSAD_ANC
VOT-12c0af6ce7bd,NCA-2011,2012-12-24,Chapitre 29: Ministère de l'Emploi et de la Formation Professionnelle,,210,MARSAD_ANC
VOT-7271ba505da6,NCA-2011,2012-12-24,Chapitre 21: Ministère du Transport,,210,MARSAD_ANC
VOT-15ed9b749d53,NCA-2011,2012-12-24,Chapitre 22: Ministère de la Femme et de la Famille,,210,MARSAD_ANC
VOT-164356d49a71,NCA-2011,2012-12-24,Chapitre 23: Ministère de la Culture,,210,MARSAD_ANC
VOT-70a41fdf0db0,NCA-2011,2012-12-24,Chapitre 26: Ministère des Affaires Sociales,,210,MARSAD_ANC
VOT-278082bdc305,NCA-2011,2012-12-24,Chapitre 27: Ministère de l'Éducation,,210,MARSAD_ANC
VOT-b4cce5e5252a,NCA-2011,2012-12-24,Chapitre 1: Assemblée Nationale Constituante,,210,MARSAD_ANC
