office_id,person_id,assembly_id,office,office_label_ar,start_date,end_date,source_ids
OFC-542dba242278,TNP-00152,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالإصلاحات الكبرى,2026-01-15,,ARP_ODOO
OFC-93b71098d265,TNP-00154,ARP-2023,unknown,ممثّل عن النواب غير المنتمين إلى كتل في ندوة الرؤساء,2025-01-03,,ARP_ODOO
OFC-1db7aa6a24ca,TNP-00155,ARP-2023,speaker,رئيس مجلس نواب الشعب,2023-03-13,,ARP_ODOO
OFC-6e9a6d839894,TNP-00581,ANC-1956,speaker,رئيس المجلس القومي التأسيسي,1956-04-15,1959-06-01,WIKI_AR_ANC1956
OFC-506e3a1a15ce,TNP-00609,ANC-1956,speaker,رئيس المجلس القومي التأسيسي,1956-04-09,1956-04-15,WIKI_AR_ANC1956
OFC-6eccf98c624a,TNP-00581,NA-1959,speaker,رئيس مجلس النواب,1959-01-01,1964-12-31,REFERENCE
OFC-37194d4db857,TNP-00646,NA-1964,speaker,رئيس مجلس النواب,1964-01-01,1981-12-31,REFERENCE
OFC-dbf7fbc4d98b,TNP-00851,COD-1981,speaker,رئيس مجلس النواب,1981-01-01,1987-12-31,REFERENCE
OFC-f6f8031e34b3,TNP-00852,COD-1986,speaker,رئيس مجلس النواب,1987-01-01,1988-12-31,REFERENCE
OFC-508e16f2f7ab,TNP-00853,COD-1986,speaker,رئيس مجلس النواب,1988-01-01,1990-12-31,REFERENCE
OFC-198aa9051726,TNP-00854,COD-1989,speaker,رئيس مجلس النواب,1990-01-01,1991-12-31,REFERENCE
OFC-c747f6653471,TNP-00855,COD-1989,speaker,رئيس مجلس النواب,1991-01-01,1997-12-31,REFERENCE
OFC-6e9795ab1911,TNP-00856,COD-1994,speaker,رئيس مجلس النواب,1997-01-01,2011-12-31,REFERENCE
