office_id,person_id,assembly_id,office,office_label_ar,start_date,end_date,source_ids
OFC-c2a07cb628e1,TNP-00006,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالعلاقات مع المواطن ومع المجتمع المدني,2026-01-15,,ARP_ODOO
OFC-85cf0bacb108,TNP-00009,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بشؤون النواب,2025-01-02,2026-01-15,ARP_ODOO
OFC-5881879c858c,TNP-00011,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالعلاقات مع المواطن ومع المجتمع المدني,2025-01-02,2026-01-15,ARP_ODOO
OFC-5e09274c1658,TNP-00015,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بشؤون التشريع,2026-01-15,,ARP_ODOO
OFC-b8a0d2ee8c05,TNP-00019,ARP-2023,unknown,ممثّل عن النواب غير المنتمين إلى كتل في ندوة الرؤساء,2023-11-16,2025-01-02,ARP_ODOO
OFC-37bd02c494b9,TNP-00028,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالإعلام والاتصال,2026-01-15,,ARP_ODOO
OFC-4c6ab9c3e36a,TNP-00040,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالعلاقات مع المواطن ومع المجتمع المدني,2023-05-18,2025-01-02,ARP_ODOO
OFC-720971d0a452,TNP-00045,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بمتابعة العمل الرقابي,2026-01-15,,ARP_ODOO
OFC-b3bd8a79c917,TNP-00054,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالعلاقات الخارجية و التونسيين بالخارج و الهجرة,2026-01-15,,ARP_ODOO
OFC-9d790b4c209c,TNP-00061,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بشؤون النواب,2023-05-18,2025-01-02,ARP_ODOO
OFC-f28f03231c1d,TNP-00063,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالإصلاحات الكبرى,2025-01-02,2026-01-15,ARP_ODOO
OFC-123a75bcd6e2,TNP-00065,ARP-2023,speaker,نائب مساعد للرئيس مُكلّف بالعلاقة مع المجلس الوطني للجهات والأقاليم,2026-01-15,,ARP_ODOO
OFC-4eb9ce73080b,TNP-00072,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالعلاقات الخارجية و التونسيين بالخارج و الهجرة,2023-05-18,2025-01-02,ARP_ODOO
OFC-ceb7d79d5619,TNP-00075,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالإعلام والاتصال,2025-01-02,2026-01-15,ARP_ODOO
OFC-ac332223cd03,TNP-00076,ARP-2023,speaker,نائب مساعد للرئيس مُكلّف بالعلاقة مع المجلس الوطني للجهات والأقاليم,2025-01-02,2026-01-15,ARP_ODOO
OFC-77853fad7333,TNP-00085,ARP-2023,speaker,نائب مساعد للرئيس مُكلّف بالعلاقات مع الوظيفة القضائية والهيئات الدستورية والوطنية,2026-01-15,,ARP_ODOO
OFC-1ab7dfa7fab7,TNP-00089,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالعلاقات الخارجية و التونسيين بالخارج و الهجرة,2025-01-02,2026-01-15,ARP_ODOO
OFC-2a1374138f65,TNP-00099,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالإعلام والاتصال,2023-05-18,2025-01-02,ARP_ODOO
OFC-a5e86ba90953,TNP-00100,ARP-2023,vice_speaker,نائب رئيس مجلس نواب الشعب,2023-05-18,,ARP_ODOO
OFC-70e5351dd58b,TNP-00101,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بشؤون النواب,2026-01-15,,ARP_ODOO
OFC-2e73ea207b73,TNP-00105,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بمتابعة العمل الرقابي,2023-05-18,2025-01-02,ARP_ODOO
OFC-eb117517697b,TNP-00106,ARP-2023,unknown,ممثّل عن النواب غير المنتمين إلى كتل في ندوة الرؤساء,2023-11-16,2025-03-13,ARP_ODOO
OFC-4943bc457b17,TNP-00111,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالإصلاحات الكبرى,2023-05-18,2025-01-02,ARP_ODOO
OFC-b3f0f8d82c23,TNP-00114,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالتصرف العام,2025-01-02,2026-01-15,ARP_ODOO
OFC-2e3af3e6a302,TNP-00125,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بشؤون التشريع,2023-05-18,2026-01-15,ARP_ODOO
OFC-86ef532077d6,TNP-00128,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالتصرف العام,2026-01-15,,ARP_ODOO
OFC-c3ec03ad5864,TNP-00130,ARP-2023,unknown,ممثّل عن النواب غير المنتمين إلى كتل في ندوة الرؤساء,2025-01-03,2026-01-15,ARP_ODOO
OFC-0a34cf52c7b2,TNP-00134,ARP-2023,speaker,نائب مساعد للرئيس مُكلّف بالعلاقات مع الوظيفة القضائية والهيئات الدستورية والوطنية,2023-05-18,2025-01-02,ARP_ODOO
OFC-9a4bffd3d589,TNP-00140,ARP-2023,speaker,نائب مساعد للرئيس مُكلّف بالعلاقة مع المجلس الوطني للجهات والأقاليم,2023-05-18,2025-01-02,ARP_ODOO
OFC-8a4914131f94,TNP-00141,ARP-2023,vice_speaker,نائب رئيس مجلس نواب الشعب,2023-05-18,,ARP_ODOO
OFC-57c7938822de,TNP-00144,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بمتابعة العمل الرقابي,2025-01-02,2026-01-15,ARP_ODOO
OFC-558f043168c3,TNP-00147,ARP-2023,unknown,ممثّل عن النواب غير المنتمين إلى كتل في ندوة الرؤساء,2026-01-15,,ARP_ODOO
OFC-47e1e1245fe6,TNP-00147,ARP-2023,speaker,نائب مساعد للرئيس مُكلّف بالعلاقات مع الوظيفة القضائية والهيئات الدستورية والوطنية,2025-01-02,2026-01-15,ARP_ODOO
OFC-a2c825be0633,TNP-00148,ARP-2023,speaker,نائب مساعد للرئيس مكلّف بالتصرف العام,2023-05-18,2025-01-02,ARP_ODOO
