amendment_id,person_id,assembly_id,source_ids
AMD-e0e141cd8c4e,TNP-00277,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00370,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00376,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00381,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00402,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00405,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00423,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00429,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00435,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00437,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00447,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00463,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00478,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00481,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00488,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00493,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00496,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00502,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00516,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00534,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00551,NCA-2011,MARSAD_ANC
AMD-e0e141cd8c4e,TNP-00560,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00007,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00380,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00381,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00384,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00392,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00406,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00428,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00429,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00435,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00481,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00504,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00505,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00516,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00525,NCA-2011,MARSAD_ANC
AMD-88f8708ba94d,TNP-00562,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00141,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00367,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00370,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00384,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00390,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00405,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00415,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00419,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00426,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00428,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00450,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00457,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00463,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00482,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00493,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00502,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00503,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00521,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00522,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00527,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00533,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00534,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00544,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00548,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00551,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00553,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00554,NCA-2011,MARSAD_ANC
AMD-b74fedc4e21d,TNP-00564,NCA-2011,MARSAD_ANC
AMD-2247a8797ae5,TNP-00007,NCA-2011,MARSAD_ANC
