bloc_id,assembly_id,name_ar,name_lat,party_id,formed_date,dissolved_date,notes
BLC-06a0c0449bb5,ARP-2023,كتلة الوطنية المستقلة,,PTY-53e95bd9b3b4,2023-05-11,,
BLC-0e7903100c2b,ARP-2019,كتلة حركة النهضة (2019),,PTY-4559a54ac238,2019-11-13,,
BLC-139983161a87,ARP-2023,كتلة الأحرار,,PTY-e65de6155d31,2023-05-11,,
BLC-17fd84dbafa7,NCA-2011,الكتلة الديمقراطية,Bloc Démocrates,PTY-079b16e9b74d,2011-11-22,,
BLC-1eb74c1905cc,ARP-2014,الجبهة الشعبية,Front Populaire,PTY-df2e2fbfa81f,2015-03-06,,"bloc change located between 2015-03-06 and 2015-03-06; snapshot-derived, exact date unknown"
BLC-2593809b7dc2,ARP-2014,الإتحاد الوطني الحر,Union Patriotique Libre,PTY-9b0efa626777,2015-03-06,,"bloc change located between 2015-03-06 and 2015-03-06; snapshot-derived, exact date unknown"
BLC-2f472b0a03ed,ARP-2023,كتلة لينتصر الشعب,,PTY-47b910b57713,2023-05-11,,
BLC-30ebf47cb8e2,ARP-2019,كتلة الحزب الدستوري الحر (2019),,PTY-2e6681d42a4b,2019-11-13,,
BLC-4cf185ae72a6,ARP-2019,كتلة تحيا تونس (2019),,PTY-e2dde8867b6c,2019-11-13,,
BLC-56ac03f7fe82,NCA-2011,التحالف الديمقراطي,Alliance Démocratique,PTY-20b849ddfcb3,2011-11-22,,
BLC-585aa8882397,NCA-2011,كتلة المؤتمر من أجل الجمهورية,Congrès Pour La République,PTY-CPR,2011-11-22,,
BLC-592be052778e,ARP-2014,الكتلة الإجتماعية الديمقراطية,Bloc Social-Démocrate,PTY-dc4ed2228330,2015-03-06,,"bloc change located between 2015-03-06 and 2015-03-06; snapshot-derived, exact date unknown"
BLC-652eee77ed87,ARP-2014,الكتلة الوطنية,Bloc National,PTY-4c282d241960,2017-05-29,,"bloc change located between 2017-04-28 and 2017-05-29; snapshot-derived, exact date unknown"
BLC-66eb1e512f8a,ARP-2014,الائتلاف الوطني,Alliance nationale,PTY-7233741e1ec0,2018-10-12,,"bloc change located between 2017-12-30 and 2018-10-12; snapshot-derived, exact date unknown"
