career_id,person_id,seq,role_raw,role_en,organisation_raw,organisation_id,sector,is_ministerial,start_date,end_date,date_precision,relative_to_mandate,extraction_method,confidence,source_ids
CAR-4bc45b90c424,TNP-00521,2,professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-50454aa48dc2,TNP-00522,1,ministre Ahmed Ben Salah en 1969 puis par l'échec du congrès du part,,,,state_executive,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-15173e92ef08,TNP-00522,2,médecin,,,,health,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-f5057c72dce6,TNP-00522,3,professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-71f3c2cfdf2b,TNP-00523,1,ingénieur,,,,other,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-d7e20c6b8577,TNP-00525,1,fonctionnaire,,,,state_administration,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-0fdcd787e130,TNP-00529,1,journaliste,,,,media,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-069c5a83365d,TNP-00531,1,membre du bureau politique du parti,,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-3f0cd30fd37e,TNP-00531,2,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-8a9076a2bed1,TNP-00536,1,journaliste,,,,media,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-82c50ebbd6b5,TNP-00539,1,ingénieur,,Ingénieur,ORG-f6277e16693d,other,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-8b34210e9cdd,TNP-00543,1,avocat,,avocate,ORG-6c5601afbae3,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-c5f4387b250b,TNP-00543,2,juge,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-8329efc706fb,TNP-00007,1,membre du syndicat,,syndicaliste,ORG-90034a45a294,trade_union,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-b5cc31bb1784,TNP-00545,1,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-0af48f12d1e4,TNP-00546,1,membre du bureau politique du parti du congrès pour la république et aussi président d,,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-adf6a46f419e,TNP-00546,2,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-b9ca3ce7f091,TNP-00547,1,enseignant,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-347c39acac3c,TNP-00548,1,ingénieur,,,,other,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-2a0db35c73e3,TNP-00552,1,membre du bureau politique d’Ennahdha pour le gouvernorat de Tunis,,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-0e17aca80fcc,TNP-00553,1,membre du bureau politique du CPR en France responsable de la structuration et de la c,,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-924b9e94925a,TNP-00554,1,professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-9b97ac95766d,TNP-00555,1,professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-914be314795f,TNP-00558,1,professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-d63d4961fe05,TNP-00560,1,membre du bureau politique d’Ettakatol trésorier du parti lors du congrès de mai 2009,,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-8f3d1b7a3ddc,TNP-00560,2,ministre et député,,,,state_executive,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-7c672f06fd73,TNP-00562,1,enseignant,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-7d209a7f712e,TNP-00285,1,membre du syndicat,,UGTT,ORG-5b95d566da8b,trade_union,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-a26e4027236d,TNP-00285,2,Membre du bureau politique à la faculté des sciences Secrétaire Générale du syndicat p,,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-22e2da4ef143,TNP-00285,3,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-10d763f751a1,TNP-00563,1,institutrice,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-27c8e407ddff,TNP-00563,2,fonctionnaire,,,,state_administration,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-43355cdf0ca4,TNP-00564,1,membre du bureau politique d'Ettakatol,,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-a8d92c243fe0,TNP-00564,2,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
