vote_id,person_id,assembly_id,position,source_ids
VOT-d7c5477d1957,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-6e875a7f26ef,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-3d1250d42169,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-503ef1d5c292,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-3437978feee0,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-3969ea48aafd,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-1da1790acbeb,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-7069ffc0755b,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-8f9d7785fdde,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-8f0f8c948b1f,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-ae80394aef7d,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-af15ab6354f9,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-55448cc5826a,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-6ab35ab3f3e3,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-41efe106ae95,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-2a90dceb3b50,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-3a1b64eb5797,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-8bc8cf5959fa,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-916040255147,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-8e9299d3ddc1,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-ce0b95b882d7,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-55f8801eee9a,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-361c7264184f,TNP-00367,NCA-2011,abstenu,MARSAD_ANC
VOT-7c71738a8531,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-451e0087fc1b,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-f2cbcf6a3f80,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-884d81a58590,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-5ba8e1cb316a,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-6cf40e82ae19,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-8cafe0fc61b2,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-3700b830acdd,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-854b1f93f3fd,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-198a79eb5ac3,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-b5debb34a789,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-5fca904cbdcb,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-991f00cd46dd,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-5a437029137d,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-f01bb8ec52d9,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-e0e9d62ef4c0,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-c1fa073e49d8,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-db35f1a0ef32,TNP-00367,NCA-2011,abstenu,MARSAD_ANC
VOT-4035af939290,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-bc29a22d8a80,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-1d82e49e3018,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-b2b470567209,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-9e758bc1e2bf,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-99fd0184f377,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-33f4775c431d,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-26586ec811e9,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-30dfb82c83c1,TNP-00367,NCA-2011,contre,MARSAD_ANC
VOT-12c0af6ce7bd,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-7271ba505da6,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-15ed9b749d53,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-164356d49a71,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-70a41fdf0db0,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-278082bdc305,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-b4cce5e5252a,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-d252f005d096,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-7f962eedb481,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-8c3bfa9be7f9,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-abf34e846619,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-372273435ae4,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-03f789310999,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-878bc7c17c6a,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-f81da0a141da,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-215a75d5afd6,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-2a57082d00a1,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-e6f64db6f17a,TNP-00367,NCA-2011,contre,MARSAD_ANC
VOT-d13934a553c3,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-b50fb9aa8c08,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-a5799a537ca5,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-3c4dfd50cfe1,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-4e1c810cd76a,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-acdb88e7f5a0,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-3779c2d45253,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-2372755b1ef9,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-6cc25b6edf0b,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-bbcd807b0a8a,TNP-00367,NCA-2011,contre,MARSAD_ANC
VOT-4b4b2f6b00a7,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-dba2667b9fb3,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-e085ad64cf3c,TNP-00367,NCA-2011,contre,MARSAD_ANC
VOT-157e97350597,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-93309c20127f,TNP-00367,NCA-2011,contre,MARSAD_ANC
VOT-bdbae9b85007,TNP-00367,NCA-2011,contre,MARSAD_ANC
VOT-0294ac71af1a,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-3484c9f1bde9,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-fa481172574b,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-1b65503a33d3,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-68703094a094,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-103a07810086,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-1afd8b56f815,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-86aad248c43d,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-80525ba41abe,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-809248ca63b9,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-72fc2bab0fca,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-2dd8c3ee98b1,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-e6ae26fe6c92,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-9fb01eb71cb9,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-0a4355a14736,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-12afa7fdc58c,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-8bfbdfcf9968,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-79b38b06d0ec,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-b9b920f2a03e,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-5a56358424ae,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-d7707db92b1a,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-22739db3c96f,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-fdd23b0f90dd,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-ca84ff85c811,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-8b56234770a9,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-d46cda454dac,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-358568c06f4b,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-da8367aaaabf,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-1bf81b3ce779,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-461f696f665a,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-e816767a5661,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-a957d4d46c25,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-db4a5684c13c,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-b909b3abe77e,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-6d0de986c426,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-e2f8a061c630,TNP-00367,NCA-2011,abstenu,MARSAD_ANC
VOT-f3f1f5ac942a,TNP-00367,NCA-2011,abstenu,MARSAD_ANC
VOT-9e18e4256126,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-47f212a58846,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-323c5473f17a,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-2a919cddaa24,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-4d6853232f7e,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-46481a04c27d,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-10fb82ac3570,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-f2c7ac0a5d95,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-17543eeb7b65,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-5482bd1405fc,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-99869c19e19a,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-ef1ce86b3c2e,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-04c9162ab10d,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-d98e1927a769,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-022c7408a707,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-74f94420a597,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-5ee776d10421,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-890f2aa77ff0,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-433335a5b921,TNP-00367,NCA-2011,contre,MARSAD_ANC
VOT-ac68ff574583,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-ebc2aeb258bc,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-779f6180a12a,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-60b881cd3464,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-aa69bdc836ca,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-976ba5919631,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-db70ee5ccbd1,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-0ab6dc09c1b6,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-1a90741e0b53,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-955bf9304066,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-34e4fcb6b0b4,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-3a47f4a2a878,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-e5ff77ea6574,TNP-00367,NCA-2011,abstenu,MARSAD_ANC
VOT-860babad0e52,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-475c73a2f2ef,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-d535ec86903a,TNP-00367,NCA-2011,contre,MARSAD_ANC
VOT-8c739c764a7a,TNP-00367,NCA-2011,pour,MARSAD_ANC
VOT-0032f37272fe,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-5811ae9bbd30,TNP-00367,NCA-2011,absent,MARSAD_ANC
VOT-397d3d168b9b,TNP-00367,NCA-2011,absent,MARSAD_ANC
