governorate_id,name_ar,name_lat,name_fr,iso_3166_2,region,littoral,created_year
TN-11,تونس,Tunis,Tunis,TN-11,Grand Tunis,true,
TN-12,أريانة,Ariana,Ariana,TN-12,Grand Tunis,true,
TN-13,بن عروس,Ben Arous,Ben Arous,TN-13,Grand Tunis,true,
TN-14,منوبة,Manouba,La Manouba,TN-14,Grand Tunis,false,
TN-21,نابل,Nabeul,Nabeul,TN-21,North East,true,
TN-22,زغوان,Zaghouan,Zaghouan,TN-22,North East,false,
TN-23,بنزرت,Bizerte,Bizerte,TN-23,North East,true,
TN-31,باجة,Beja,Béja,TN-31,North West,true,
TN-32,جندوبة,Jendouba,Jendouba,TN-32,North West,true,
TN-33,الكاف,Kef,Le Kef,TN-33,North West,false,
TN-34,سليانة,Siliana,Siliana,TN-34,North West,false,
TN-41,القيروان,Kairouan,Kairouan,TN-41,Centre West,false,
TN-42,القصرين,Kasserine,Kasserine,TN-42,Centre West,false,
TN-43,سيدي بوزيد,Sidi Bouzid,Sidi Bouzid,TN-43,Centre West,false,
TN-51,سوسة,Sousse,Sousse,TN-51,Centre East,true,
TN-52,المنستير,Monastir,Monastir,TN-52,Centre East,true,
TN-53,المهدية,Mahdia,Mahdia,TN-53,Centre East,true,
TN-61,صفاقس,Sfax,Sfax,TN-61,Centre East,true,
TN-71,قفصة,Gafsa,Gafsa,TN-71,South West,false,
TN-72,توزر,Tozeur,Tozeur,TN-72,South West,false,
TN-73,قبلي,Kebili,Kébili,TN-73,South West,false,
TN-81,قابس,Gabes,Gabès,TN-81,South East,true,
TN-82,مدنين,Medenine,Médenine,TN-82,South East,true,
TN-83,تطاوين,Tataouine,Tataouine,TN-83,South East,false,
TN-99,خارج تونس,Abroad,Étranger,,abroad,false,
