layer,person_id,name_raw,script,surname_candidates,spine_candidates,period,subgroup,party_id,party_name,evidence
party_affiliations,TNP-00001,يوسف الطرشون,ar,الطرشون,TRSN,third_republic,كتلة الخط الوطني السيادي,PTY-afb20824a9f9,كتلة الخط الوطني السيادي,bloc
party_affiliations,TNP-00002,يوسف التومي,ar,التومي,TM,third_republic,كتلة الأحرار,PTY-e65de6155d31,كتلة الأحرار,bloc
party_affiliations,TNP-00003,يسري البواب,ar,البواب,B,third_republic,كتلة الأحرار,PTY-e65de6155d31,كتلة الأحرار,bloc
party_affiliations,TNP-00004,ياسين مامي,ar,مامي,M,third_republic,كتلة الوطنية المستقلة,PTY-53e95bd9b3b4,كتلة الوطنية المستقلة,bloc
party_affiliations,TNP-00005,ياسر قراري,ar,قراري,KR,third_republic,كتلة الخط الوطني السيادي,PTY-afb20824a9f9,كتلة الخط الوطني السيادي,bloc
party_affiliations,TNP-00006,وليد حاجي,ar,حاجي,HJ,third_republic,كتلة الأحرار,PTY-e65de6155d31,كتلة الأحرار,bloc
party_affiliations,TNP-00007,هشام حسني,ar,حسني,HSN,third_republic,Parti Populaire Progressiste,PTY-2b6219e30267,Parti Populaire Progressiste,affiliation
party_affiliations,TNP-00007,هشام حسني,ar,حسني,HSN,transition,Parti de la lutte progressiste,PTY-2b6219e30267,Parti de la lutte progressiste,list
party_affiliations,TNP-00007,هشام حسني,ar,حسني,HSN,third_republic,غير المنتمين إلى كتل,PTY-4784a167446a,غير المنتمين إلى كتل,bloc
party_affiliations,TNP-00008,هالة جاب الله,ar,جاب الله,JBL,third_republic,كتلة الأحرار,PTY-e65de6155d31,كتلة الأحرار,bloc
party_affiliations,TNP-00009,نورة الشبراك,ar,الشبراك,SBRK,third_republic,كتلة الوطنية المستقلة,PTY-53e95bd9b3b4,كتلة الوطنية المستقلة,bloc
party_affiliations,TNP-00010,نور الهدى سبائطي,ar,سبائطي,SBT,third_republic,كتلة الأمانة والعمل,PTY-d1e65beb3791,كتلة الأمانة والعمل,bloc
party_affiliations,TNP-00011,نزار الصديق,ar,الصديق,SDK,third_republic,كتلة صوت الجمهورية,PTY-e75657052675,كتلة صوت الجمهورية,bloc
party_affiliations,TNP-00012,نجيب عكرمي,ar,عكرمي,KRM,third_republic,كتلة لينتصر الشعب,PTY-47b910b57713,كتلة لينتصر الشعب,bloc
party_affiliations,TNP-00013,نجلاء اللحياني,ar,اللحياني,LHN,third_republic,كتلة الأحرار,PTY-e65de6155d31,كتلة الأحرار,bloc
party_affiliations,TNP-00014,نبيه ثابت,ar,ثابت,TBT,third_republic,كتلة صوت الجمهورية,PTY-e75657052675,كتلة صوت الجمهورية,bloc
party_affiliations,TNP-00015,نبيل حامدي,ar,حامدي,HMD,third_republic,كتلة صوت الجمهورية,PTY-e75657052675,كتلة صوت الجمهورية,bloc
party_affiliations,TNP-00016,مهى عامر,ar,عامر,MR,third_republic,كتلة الأحرار,PTY-e65de6155d31,كتلة الأحرار,bloc
party_affiliations,TNP-00017,منير الكموني,ar,الكموني,KMN,third_republic,غير المنتمين إلى كتل,PTY-4784a167446a,غير المنتمين إلى كتل,bloc
party_affiliations,TNP-00018,منصف المعلول,ar,المعلول,ML,third_republic,كتلة الأمانة والعمل,PTY-d1e65beb3791,كتلة الأمانة والعمل,bloc
party_affiliations,TNP-00019,منال بديدة,ar,بديدة,BD,third_republic,غير المنتمين إلى كتل,PTY-4784a167446a,غير المنتمين إلى كتل,bloc
party_affiliations,TNP-00019,منال بديدة,ar,بديدة,BD,third_republic,كتلة الأمانة والعمل,PTY-d1e65beb3791,كتلة الأمانة والعمل,bloc
