layer,person_id,name_raw,script,surname_candidates,spine_candidates,period,subgroup,assembly_id,coverage_status,entry_mode,gender
legislators,TNP-00677,عبد اللّه الكعبي,ar,الكعبي,KB,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00678,عبد الله القلال,ar,القلال,KL,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00679,عبد الله الزرامي,ar,الزرامي,ZRM,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00680,عبد الحميد الباش,ar,الباش,BS,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00681,عبد اللطيف عبد المؤمن,ar,عبد المؤمن|المؤمن,BDMN|MN,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00682,عبد اللطيف العكريمي,ar,العكريمي,KRM,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00683,عبد اللطيف لزرق,ar,لزرق,LZRK,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00684,عبد المجيد ملاسي,ar,ملاسي,MLS,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00685,عبد الوهاب الباهي,ar,الباهي,BH,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00686,عبد الوهاب المديني,ar,المديني,MDN,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00687,عبد الواحد الطرابلسي,ar,الطرابلسي,TRBLS,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00688,عبد الناصر البوهالي,ar,البوهالي,BHL,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00689,عبد النور الجليدي,ar,الجليدي,JLD,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00690,عبد الستار قريسة,ar,قريسة,KRS,ben_ali,,ADV-2005,partial,appointed,
legislators,TNP-00691,عادل بوصرصار,ar,بوصرصار,BSRSR,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00692,أحمد بن سالم,ar,بن سالم|سالم,BNSLM|SLM,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00693,أحمد الخزري,ar,الخزري,XZR,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00694,علي الحليوي,ar,الحليوي,HL,ben_ali,,ADV-2005,partial,elected,
legislators,TNP-00695,عمر عبد الباري,ar,عبد الباري|الباري,BDBR|BR,ben_ali,,ADV-2005,partial,elected,
