month,bloc,members
2016-03,No bloc,11
2016-03,Other blocs,52
2016-04,Nidaa Tounes,58
2016-04,Ennahdha,69
2016-04,National Coalition,0
2016-04,Al Horra,28
2016-04,Al Horra (Machrouu Tounes),0
2016-04,No bloc,15
2016-04,Other blocs,50
2016-05,Nidaa Tounes,61
2016-05,Ennahdha,69
2016-05,National Coalition,0
2016-05,Al Horra,27
2016-05,Al Horra (Machrouu Tounes),0
2016-05,No bloc,15
2016-05,Other blocs,48
2016-06,Nidaa Tounes,61
2016-06,Ennahdha,69
2016-06,National Coalition,0
2016-06,Al Horra,27
2016-06,Al Horra (Machrouu Tounes),0
2016-06,No bloc,15
2016-06,Other blocs,48
2016-07,Nidaa Tounes,65
2016-07,Ennahdha,69
2016-07,National Coalition,0
2016-07,Al Horra,25
2016-07,Al Horra (Machrouu Tounes),0
2016-07,No bloc,16
2016-07,Other blocs,45
2016-08,Nidaa Tounes,69
2016-08,Ennahdha,69
2016-08,National Coalition,0
2016-08,Al Horra,25
2016-08,Al Horra (Machrouu Tounes),0
2016-08,No bloc,12
2016-08,Other blocs,45
2016-09,Nidaa Tounes,67
2016-09,Ennahdha,69
2016-09,National Coalition,0
2016-09,Al Horra,25
2016-09,Al Horra (Machrouu Tounes),0
2016-09,No bloc,16
2016-09,Other blocs,43
2016-10,Nidaa Tounes,67
2016-10,Ennahdha,69
2016-10,National Coalition,0
2016-10,Al Horra,25
2016-10,Al Horra (Machrouu Tounes),0
2016-10,No bloc,15
2016-10,Other blocs,42
2016-11,Nidaa Tounes,69
2016-11,Ennahdha,69
2016-11,National Coalition,0
2016-11,Al Horra,25
2016-11,Al Horra (Machrouu Tounes),0
2016-11,No bloc,7
2016-11,Other blocs,48
2016-12,Nidaa Tounes,68
2016-12,Ennahdha,69
2016-12,National Coalition,0
2016-12,Al Horra,0
2016-12,Al Horra (Machrouu Tounes),23
2016-12,No bloc,10
2016-12,Other blocs,48
2017-01,Nidaa Tounes,67
2017-01,Ennahdha,69
2017-01,National Coalition,0
2017-01,Al Horra,0
2017-01,Al Horra (Machrouu Tounes),23
2017-01,No bloc,10
2017-01,Other blocs,48
2017-02,Nidaa Tounes,67
2017-02,Ennahdha,69
2017-02,National Coalition,0
2017-02,Al Horra,0
2017-02,Al Horra (Machrouu Tounes),23
2017-02,No bloc,10
2017-02,Other blocs,48
2017-03,Nidaa Tounes,67
2017-03,Ennahdha,69
2017-03,National Coalition,0
2017-03,Al Horra,0
2017-03,Al Horra (Machrouu Tounes),23
2017-03,No bloc,10
2017-03,Other blocs,48
2017-04,Nidaa Tounes,63
2017-04,Ennahdha,69
2017-04,National Coalition,0
2017-04,Al Horra,0
2017-04,Al Horra (Machrouu Tounes),21
2017-04,No bloc,17
2017-04,Other blocs,48
2017-05,Nidaa Tounes,62
2017-05,Ennahdha,69
2017-05,National Coalition,0
2017-05,Al Horra,0
2017-05,Al Horra (Machrouu Tounes),21
2017-05,No bloc,11
2017-05,Other blocs,55
2017-06,Nidaa Tounes,62
2017-06,Ennahdha,69
2017-06,National Coalition,0
2017-06,Al Horra,0
2017-06,Al Horra (Machrouu Tounes),21
2017-06,No bloc,11
2017-06,Other blocs,55
2017-07,Nidaa Tounes,58
2017-07,Ennahdha,69
2017-07,National Coalition,0
2017-07,Al Horra,0
2017-07,Al Horra (Machrouu Tounes),23
2017-07,No bloc,12
2017-07,Other blocs,56
2017-08,Nidaa Tounes,56
2017-08,Ennahdha,68
2017-08,National Coalition,0
2017-08,Al Horra,0
2017-08,Al Horra (Machrouu Tounes),21
2017-08,No bloc,11
2017-08,Other blocs,56
2017-09,Nidaa Tounes,56
2017-09,Ennahdha,68
2017-09,National Coalition,0
2017-09,Al Horra,0
2017-09,Al Horra (Machrouu Tounes),21
2017-09,No bloc,11
2017-09,Other blocs,56
2017-10,Nidaa Tounes,56
2017-10,Ennahdha,68
2017-10,National Coalition,0
2017-10,Al Horra,0
2017-10,Al Horra (Machrouu Tounes),21
2017-10,No bloc,11
2017-10,Other blocs,56
2017-11,Nidaa Tounes,56
2017-11,Ennahdha,68
2017-11,National Coalition,0
2017-11,Al Horra,0
2017-11,Al Horra (Machrouu Tounes),21
2017-11,No bloc,11
2017-11,Other blocs,56
2017-12,Nidaa Tounes,56
2017-12,Ennahdha,68
2017-12,National Coalition,0
2017-12,Al Horra,0
2017-12,Al Horra (Machrouu Tounes),21
2017-12,No bloc,13
2017-12,Other blocs,58
2018-01,Nidaa Tounes,55
2018-01,Ennahdha,68
2018-01,National Coalition,0
2018-01,Al Horra,0
2018-01,Al Horra (Machrouu Tounes),20
2018-01,No bloc,13
2018-01,Other blocs,58
2018-02,Nidaa Tounes,55
2018-02,Ennahdha,68
2018-02,National Coalition,0
2018-02,Al Horra,0
2018-02,Al Horra (Machrouu Tounes),20
2018-02,No bloc,13
2018-02,Other blocs,58
2018-03,Nidaa Tounes,55
2018-03,Ennahdha,68
2018-03,National Coalition,0
2018-03,Al Horra,0
2018-03,Al Horra (Machrouu Tounes),20
2018-03,No bloc,13
2018-03,Other blocs,58
2018-04,Nidaa Tounes,55
2018-04,Ennahdha,68
2018-04,National Coalition,0
2018-04,Al Horra,0
2018-04,Al Horra (Machrouu Tounes),20
2018-04,No bloc,13
2018-04,Other blocs,58
2018-05,Nidaa Tounes,55
2018-05,Ennahdha,68
2018-05,National Coalition,0
2018-05,Al Horra,0
2018-05,Al Horra (Machrouu Tounes),20
2018-05,No bloc,13
2018-05,Other blocs,58
2018-06,Nidaa Tounes,55
2018-06,Ennahdha,68
2018-06,National Coalition,0
2018-06,Al Horra,0
2018-06,Al Horra (Machrouu Tounes),20
2018-06,No bloc,13
2018-06,Other blocs,58
2018-07,Nidaa Tounes,55
2018-07,Ennahdha,68
2018-07,National Coalition,0
2018-07,Al Horra,0
2018-07,Al Horra (Machrouu Tounes),20
2018-07,No bloc,13
2018-07,Other blocs,58
2018-08,Nidaa Tounes,55
2018-08,Ennahdha,68
2018-08,National Coalition,0
2018-08,Al Horra,0
2018-08,Al Horra (Machrouu Tounes),20
2018-08,No bloc,13
2018-08,Other blocs,58
2018-09,Nidaa Tounes,55
2018-09,Ennahdha,68
2018-09,National Coalition,0
2018-09,Al Horra,0
2018-09,Al Horra (Machrouu Tounes),20
2018-09,No bloc,13
2018-09,Other blocs,58
2018-10,Nidaa Tounes,43
2018-10,Ennahdha,68
2018-10,National Coalition,47
2018-10,Al Horra,0
2018-10,Al Horra (Machrouu Tounes),14
2018-10,No bloc,8
2018-10,Other blocs,37
2018-11,Nidaa Tounes,43
2018-11,Ennahdha,67
2018-11,National Coalition,47
2018-11,Al Horra,0
2018-11,Al Horra (Machrouu Tounes),13
2018-11,No bloc,8
2018-11,Other blocs,37
2018-12,Nidaa Tounes,43
2018-12,Ennahdha,67
2018-12,National Coalition,47
2018-12,Al Horra,0
2018-12,Al Horra (Machrouu Tounes),13
2018-12,No bloc,8
2018-12,Other blocs,37
2019-01,Nidaa Tounes,43
2019-01,Ennahdha,67
2019-01,National Coalition,47
2019-01,Al Horra,0
2019-01,Al Horra (Machrouu Tounes),13
2019-01,No bloc,8
2019-01,Other blocs,37
2019-02,Nidaa Tounes,43
2019-02,Ennahdha,67
2019-02,National Coalition,47
2019-02,Al Horra,0
2019-02,Al Horra (Machrouu Tounes),13
2019-02,No bloc,8
2019-02,Other blocs,37
2019-03,Nidaa Tounes,43
2019-03,Ennahdha,67
2019-03,National Coalition,47
2019-03,Al Horra,0
2019-03,Al Horra (Machrouu Tounes),13
2019-03,No bloc,8
2019-03,Other blocs,37
2019-04,Nidaa Tounes,43
2019-04,Ennahdha,67
2019-04,National Coalition,47
2019-04,Al Horra,0
2019-04,Al Horra (Machrouu Tounes),13
2019-04,No bloc,8
2019-04,Other blocs,37
2019-05,Nidaa Tounes,38
2019-05,Ennahdha,68
2019-05,National Coalition,44
2019-05,Al Horra,0
2019-05,Al Horra (Machrouu Tounes),16
2019-05,No bloc,14
2019-05,Other blocs,37
2019-06,Nidaa Tounes,38
2019-06,Ennahdha,68
2019-06,National Coalition,44
2019-06,Al Horra,0
2019-06,Al Horra (Machrouu Tounes),16
2019-06,No bloc,14
2019-06,Other blocs,37
2019-07,Nidaa Tounes,38
2019-07,Ennahdha,68
2019-07,National Coalition,44
2019-07,Al Horra,0
2019-07,Al Horra (Machrouu Tounes),16
2019-07,No bloc,14
2019-07,Other blocs,37
2019-08,Nidaa Tounes,38
2019-08,Ennahdha,68
2019-08,National Coalition,44
2019-08,Al Horra,0
2019-08,Al Horra (Machrouu Tounes),16
2019-08,No bloc,14
2019-08,Other blocs,37
2019-09,Nidaa Tounes,38
2019-09,Ennahdha,68
2019-09,National Coalition,44
2019-09,Al Horra,0
2019-09,Al Horra (Machrouu Tounes),16
2019-09,No bloc,14
2019-09,Other blocs,37
2019-10,Nidaa Tounes,38
2019-10,Ennahdha,68
2019-10,National Coalition,44
2019-10,Al Horra,0
2019-10,Al Horra (Machrouu Tounes),16
2019-10,No bloc,14
2019-10,Other blocs,37
