bloc_left,bloc_joined,moves
Nidaa Tounes,Al Horra,28
Al Horra,Al Horra (Machrouu Tounes),23
Nidaa Tounes,National Coalition,21
Nidaa Tounes,No bloc,16
No bloc,Democratic Bloc,12
No bloc,Nidaa Tounes,11
UPL,National Coalition,11
Afek Tounes + national movement,Afek Tounes + diaspora,10
National Coalition,No bloc,9
No bloc,Loyalty to the Nation,8
Afek Tounes,Afek Tounes + national movement,8
National Bloc,National Coalition,8
Social Democratic Bloc,No bloc,7
Afek Tounes + diaspora,National Coalition,7
No bloc,National Bloc,7
Al Horra (Machrouu Tounes),National Coalition,6
Al Horra (Machrouu Tounes),No bloc,5
National Coalition,Nidaa Tounes,4
UPL,No bloc,4
No bloc,National Coalition,3
Al Horra,No bloc,3
No bloc,Al Horra (Machrouu Tounes),3
Social Democratic Bloc,Democratic Bloc,2
Democratic Bloc,No bloc,2
No bloc,Social Democratic Bloc,2
Al Horra,Nidaa Tounes,2
Afek Tounes + diaspora,No bloc,2
No bloc,Afek Tounes + national movement,2
UPL,Nidaa Tounes,2
Nidaa Tounes,National Bloc,2
No bloc,UPL,1
Nidaa Tounes,Al Horra (Machrouu Tounes),1
Nidaa Tounes,Loyalty to the Nation,1
Loyalty to the Nation,Al Horra (Machrouu Tounes),1
National Bloc,No bloc,1
Ennahdha,No bloc,1
Afek Tounes + diaspora,Loyalty to the Nation,1
Afek Tounes + national movement,No bloc,1
Al Horra (Machrouu Tounes),Nidaa Tounes,1
UPL,Loyalty to the Nation,1
