bloc,members,divisions_scored,median_rice,mean_rice,share_unanimous
Democratic Alliance,10,999,1.0,0.9131,0.8268
Ettakatol,12,1268,1.0,0.8799,0.7689
Democratic Bloc,18,1391,1.0,0.8576,0.6743
CPR,14,1565,1.0,0.8409,0.6652
Democratic Transition,14,1438,1.0,0.8227,0.6481
Loyalty to the Revolution,10,686,1.0,0.8107,0.6472
Ennahdha,87,1724,1.0,0.9198,0.5795
No bloc,52,1705,0.8261,0.6978,0.3337
