person_id,name_lat,bloc,n_committees,committee_ids,committee_labels,degree_full_graph,degree_backbone,weighted_degree_newman
TNP-00065,Ouled jebril Imed,Nidaa Tounes,9,CMT-3a051620fd33 CMT-47b4ceeab70a CMT-535731ec7ffd CMT-5863460337e8 CMT-7858621d9962 CMT-8d6af35d5cb4 CMT-90ddb75794d7 CMT-a48500711e9b CMT-f7166b323046,Standing 4 | Standing 16 | Standing 1 | Standing 10 | Standing 14 | Special 1 | Standing 5 | Standing 11 | Standing 3,182,19,7.9448
TNP-00853,Issam Matoussi,National Coalition,8,CMT-3e7af871322d CMT-47b4ceeab70a CMT-8a5b9ec83476 CMT-8d6af35d5cb4 CMT-90ddb75794d7 CMT-b9e5e4367488 CMT-c19410caa909 CMT-cab87800ef44,Standing 7 | Standing 16 | Standing 2 | Special 1 | Standing 5 | Standing 17 | Standing 6 | Standing 12,175,23,7.7111
TNP-00548,Hela Hammi,Ennahdha,8,CMT-4633b2874c88 CMT-535731ec7ffd CMT-601d95a949aa CMT-79ca761acaf6 CMT-8a5b9ec83476 CMT-b9e5e4367488 CMT-cab87800ef44 CMT-e5dff9bf0bca,Standing 9 | Standing 1 | Standing 13 | Special 3 | Standing 2 | Standing 17 | Standing 12 | Special 2,173,13,7.2307
TNP-00927,Ons Hattab,Nidaa Tounes,8,CMT-2bc1cee50ba8 CMT-3e7af871322d CMT-535731ec7ffd CMT-601d95a949aa CMT-879180464a95 CMT-8a5b9ec83476 CMT-a9259327aabc CMT-f7166b323046,Standing 8 | Standing 7 | Standing 1 | Standing 13 | Special 4 | Standing 2 | Standing 18 | Standing 3,167,19,7.5371
TNP-00908,Mohamed Troudi,Al Horra (Machrouu Tounes),8,CMT-3a051620fd33 CMT-3e7af871322d CMT-79ca761acaf6 CMT-894b8d7f301d CMT-8a5b9ec83476 CMT-8d6af35d5cb4 CMT-90ddb75794d7 CMT-c19410caa909,Standing 4 | Standing 7 | Special 3 | Standing 15 | Standing 2 | Special 1 | Standing 5 | Standing 6,153,11,6.3832
TNP-00822,Chahida Fraj,Ennahdha,7,CMT-5863460337e8 CMT-601d95a949aa CMT-7858621d9962 CMT-879180464a95 CMT-894b8d7f301d CMT-a48500711e9b CMT-b9e5e4367488,Standing 10 | Standing 13 | Standing 14 | Special 4 | Standing 15 | Standing 11 | Standing 17,158,2,5.574
TNP-00944,Sana Salhi,National Coalition,7,CMT-4633b2874c88 CMT-47b4ceeab70a CMT-535731ec7ffd CMT-601d95a949aa CMT-8d6af35d5cb4 CMT-a48500711e9b CMT-cab87800ef44,Standing 9 | Standing 16 | Standing 1 | Standing 13 | Special 1 | Standing 11 | Standing 12,150,15,6.1109
TNP-00949,Tahar Fdhil,National Coalition,7,CMT-3a051620fd33 CMT-4633b2874c88 CMT-601d95a949aa CMT-79ca761acaf6 CMT-90ddb75794d7 CMT-c19410caa909 CMT-e5dff9bf0bca,Standing 4 | Standing 9 | Standing 13 | Special 3 | Standing 5 | Standing 6 | Special 2,140,14,6.0016
TNP-00350,Tarek Fetiti,No bloc,7,CMT-2bc1cee50ba8 CMT-879180464a95 CMT-894b8d7f301d CMT-8d6af35d5cb4 CMT-c19410caa909 CMT-e1fb561ef6b9 CMT-f7166b323046,Standing 8 | Special 4 | Standing 15 | Special 1 | Standing 6 | Special 5 | Standing 3,134,9,6.4747
TNP-00904,Mohamed Rachdi Bouguerra,National Coalition,6,CMT-3e7af871322d CMT-535731ec7ffd CMT-5863460337e8 CMT-894b8d7f301d CMT-cab87800ef44 CMT-f7166b323046,Standing 7 | Standing 1 | Standing 10 | Standing 15 | Standing 12 | Standing 3,165,6,5.4768
