profession_en,members,share_of_coded_pct,drawn_as
Lawyer,36,16.1,Lawyer
Secondary teacher,22,9.9,Secondary teacher
Company director,20,9.0,Company director
University professor,19,8.5,University professor
Private-sector employee,14,6.3,Private-sector employee
Doctor,13,5.8,Doctor
Other / unclassified,12,5.4,Other / unclassified
Senior civil servant,12,5.4,Senior civil servant
Retired,11,4.9,Retired
Primary teacher,8,3.6,Primary teacher
Civil servant,8,3.6,Civil servant
Senior private-sector manager,8,3.6,Senior private-sector manager
Academic researcher,6,2.7,Academic researcher
Student,5,2.2,All other categories
Unclassified,5,2.2,All other categories
Engineer,5,2.2,Engineer
Public-sector manager,3,1.3,All other categories
Senior banking manager,3,1.3,All other categories
Civil-society representative,3,1.3,All other categories
Journalist,2,0.9,All other categories
Farmer,2,0.9,All other categories
Assistante contractuelle à l’…,1,0.4,All other categories
Professeur de théâtre,1,0.4,All other categories
Maître de conférences en droi…,1,0.4,All other categories
Professeur d’enseignement sec…,1,0.4,All other categories
Directeur d’école primaire,1,0.4,All other categories
Accountant,1,0.4,All other categories
