sector,roles,confidence_medium,confidence_low
education,46,46,0
judiciary,36,36,0
academia,23,23,0
party,16,16,0
trade_union,13,13,0
other,9,9,0
state_executive,8,8,0
health,7,7,0
military,3,0,3
business,3,3,0
state_administration,2,2,0
religious,2,2,0
media,2,2,0
civil_society,1,1,0
