person_id,name_lat,bloc,bloc_mean_dim1,dim1,dim2,votes_cast
TNP-00007,Hichem Hosni,No bloc,-7.8227,-13.742,4.2061,433
TNP-00141,Anouar Marzouki,Democratic Transition,-2.6368,-1.1502,4.0201,666
TNP-00174,Ameur Laraiedh,Ennahdha,10.1575,-4.4911,0.794,178
TNP-00199,Fathi Ayadi,Ennahdha,10.1575,6.2547,-3.1526,583
TNP-00247,Latifa Habachi,Ennahdha,10.1575,12.3066,-7.2717,789
TNP-00264,Mehdi Ben Gharbia,Democratic Alliance,-7.6087,-8.1593,-0.8391,209
TNP-00267,Moez Belhaj Rhouma,Ennahdha,10.1575,6.2711,3.4149,577
TNP-00277,Mohamed Karim Krifa,No bloc,-7.8227,-8.8285,-4.7821,504
TNP-00285,Mohamed Zrig,Ennahdha,10.1575,8.6832,-6.2579,654
TNP-00289,Mongi Rahoui,Democratic Bloc,-11.7711,-12.7616,-4.4484,480
TNP-00301,Neji Jmal,Ennahdha,10.1575,12.9891,-3.1658,759
TNP-00324,Sahbi Atig,Ennahdha,10.1575,11.8437,-7.3947,762
TNP-00332,Samia Abbou,CPR,-3.9455,-13.5948,1.7212,599
TNP-00357,Yamina Zoghlami,Ennahdha,10.1575,11.6028,-5.838,798
TNP-00364,Zied Laadhari,Ennahdha,10.1575,7.9325,-1.8283,603
TNP-00367,Ibrahim Hamdi,Loyalty to the Revolution,-5.8125,-6.1662,7.9162,440
TNP-00368,Ibrahim Kassas,No bloc,-7.8227,-10.1308,7.9922,216
TNP-00369,Ahmed Mechergui,Ennahdha,10.1575,7.1367,0.942,566
TNP-00370,Ahmed Essefi,No bloc,-7.8227,-14.6112,-2.9837,506
TNP-00371,Ahmed Smiai,Ennahdha,10.1575,4.6495,6.9823,652
TNP-00372,Ahmed Brahim,Democratic Bloc,-11.7711,-11.571,-4.4212,368
TNP-00373,Ahmed Nejib Chebbi,No bloc,-7.8227,-7.5669,1.0799,177
TNP-00374,Azed Badi,Loyalty to the Revolution,-5.8125,0.4874,7.2968,539
TNP-00375,Oussama Al Saghir,Ennahdha,10.1575,11.8067,-3.2104,726
TNP-00376,Iskander Bouallagui,No bloc,-7.8227,-8.356,7.7809,349
TNP-00377,Essia Naffati,Ennahdha,10.1575,11.5085,-2.6101,759
TNP-00378,Ikbel Msadaa,CPR,-3.9455,-7.1335,3.0546,564
TNP-00379,Lazhar Chamli,CPR,-3.9455,-2.2918,9.4181,664
TNP-00380,Bechir Chammem,Ennahdha,10.1575,7.7012,5.5456,617
TNP-00381,Jdidi Essbouîi,No bloc,-7.8227,-8.001,6.644,256
TNP-00382,Habib Ellouz,Ennahdha,10.1575,5.7134,3.8103,536
TNP-00383,Habib Khedher,Ennahdha,10.1575,12.8072,-6.3265,798
TNP-00384,Hasni Badri,Democratic Transition,-2.6368,-4.5188,4.6738,449
TNP-00385,Zohra Smida,Ennahdha,10.1575,11.7792,0.6209,764
TNP-00386,Sadok Chourou,Ennahdha,10.1575,2.3392,3.1571,395
TNP-00387,Tahar Hmila,No bloc,-7.8227,-0.6989,0.3867,701
TNP-00388,Arbi Abid,Ettakatol,-3.2234,-3.2551,-0.9761,332
TNP-00389,Ferjani Doghmane,Ennahdha,10.1575,6.782,-0.0057,615
TNP-00390,Moncef Cherni,Democratic Transition,-2.6368,1.3786,5.4139,751
TNP-00391,Mouldi Riahi,Ettakatol,-3.2234,4.3981,-7.6435,741
TNP-00392,Naceur Brahmi,No bloc,-7.8227,-11.256,-5.47,433
TNP-00393,Nafti Mahdhi,Ennahdha,10.1575,11.3319,3.473,763
TNP-00394,Hedi Ben Braham,Ennahdha,10.1575,15.9463,-3.7859,864
TNP-00395,Hedi Chaouech,No bloc,-7.8227,-4.4811,-4.441,778
TNP-00396,Walid Bennani,Ennahdha,10.1575,11.8747,-2.9079,728
TNP-00397,Amel Azzouz,Ennahdha,10.1575,13.7903,-3.6222,804
TNP-00398,Amel Ghouil,Ennahdha,10.1575,7.123,-6.0393,640
TNP-00399,Amira Marzouk,No bloc,-7.8227,-6.3338,-6.2509,519
TNP-00400,Iyed Dahmani,No bloc,-7.8227,-11.8183,-8.5632,615
TNP-00401,Imen Ben Mhamed,Ennahdha,10.1575,10.805,-4.0881,774
TNP-00402,Aymen Zouaghi,No bloc,-7.8227,-10.3325,9.8247,258
TNP-00403,Badreddine Abdelkafi,Ennahdha,10.1575,12.6477,-4.7137,813
TNP-00404,Basma Jebali,Ennahdha,10.1575,12.0102,-0.5461,705
TNP-00405,Bechir Lazzem,Ennahdha,10.1575,16.2315,-2.6648,915
TNP-00406,Baya Jaouadi,Ennahdha,10.1575,5.0302,0.3908,589
