vote_id,votes_cast,margin,near_unanimous
VOT-2d281659ee95,112,0.0,False
VOT-30246e1f85e0,84,0.0,False
VOT-8c42e44b3533,172,0.0,False
VOT-a55fb2bbf457,58,0.0,False
VOT-cbd9b431d6af,126,0.0,False
VOT-d13f985a0fa1,153,0.0065,False
VOT-f93ba43ee2f6,89,0.0112,False
VOT-fd79e2d163c4,87,0.0115,False
VOT-d2ab0aae5ed7,136,0.0147,False
VOT-543578d1531c,132,0.0152,False
VOT-2dbda31e4ec3,161,0.0186,False
VOT-a535412cf153,90,0.0222,False
VOT-b8274112d0c4,125,0.024,False
VOT-f927d7b86bc0,82,0.0244,False
VOT-e9f2962fae7b,119,0.0252,False
VOT-fcd2b951df7b,148,0.027,False
VOT-6e875a7f26ef,175,0.0286,False
VOT-a229e235717e,140,0.0286,False
VOT-eed633d154d8,105,0.0286,False
VOT-bf478e10ea7c,62,0.0323,False
VOT-704a8d01d5ab,110,0.0364,False
VOT-8ce241d9ec7d,106,0.0377,False
VOT-e0c8eaf795f1,129,0.0388,False
VOT-43a01ce28090,154,0.039,False
VOT-e085ad64cf3c,121,0.0413,False
VOT-1ebf66a67542,96,0.0417,False
VOT-3b2e52dc9688,142,0.0423,False
VOT-0db7266b01b9,93,0.0538,False
VOT-3134cb622c8e,89,0.0562,False
VOT-8de98b272f09,87,0.0575,False
VOT-96d8415878ef,98,0.0612,False
VOT-b99e19fa5d15,143,0.0629,False
VOT-96c187e1ef61,159,0.0692,False
VOT-feb6146adfb1,134,0.0746,False
VOT-f6ba3f6e40c3,80,0.075,False
VOT-95dfac47c18d,106,0.0755,False
VOT-7f7a343f6afd,119,0.0756,False
VOT-7addffce8d76,156,0.0769,False
VOT-f985c817f768,76,0.0789,False
VOT-0c8d9d93425d,159,0.0818,False
VOT-c2e2c8fc1e80,72,0.0833,False
VOT-41f729ce0adb,70,0.0857,False
VOT-38424eeb4e81,151,0.0861,False
VOT-072755e96afa,149,0.0872,False
VOT-0f52a4d1509b,160,0.0875,False
VOT-904d066f39b5,114,0.0877,False
VOT-c4edb9553544,156,0.0897,False
VOT-fe83c0439fde,167,0.0898,False
VOT-b8471f4797ee,84,0.0952,False
