assembly_id,sex,memberships,chair,vice_chair,rapporteur,assistant_rapporteur,member,leading_share,ci_low,ci_high
NCA-2011,female,138,3,6,6,12,111,0.0652,0.0347,0.1193
ARP-2014,female,373,11,17,19,38,288,0.0751,0.0524,0.1064
ARP-2019,female,111,11,0,17,0,83,0.0991,0.0562,0.1688
ARP-2023,female,54,1,7,8,0,38,0.1481,0.077,0.266
NCA-2011,male,299,18,12,11,24,234,0.1003,0.0712,0.1396
ARP-2014,male,612,25,29,18,38,502,0.0882,0.0683,0.1134
ARP-2019,male,246,14,11,10,21,190,0.1016,0.0698,0.1457
ARP-2023,male,270,34,30,23,0,183,0.237,0.1902,0.2912
