person_id,name_lat,bloc,closest_allies_in_own_bloc,closest_ally,closest_ally_bloc,closest_ally_agreement,mean_agreement_of_top3,times_chosen_by_others,bloc_observed_share,bloc_chance_share,bloc_lift
TNP-00378,Ikbel Msadaa,CPR,3,Mabrouka Mbarek,CPR,0.968,0.9407,7,0.7857,0.0602,13.055
TNP-00379,Lazhar Chamli,CPR,3,Bechir Nefzi,CPR,0.8294,0.8235,0,0.7857,0.0602,13.055
TNP-00380,Bechir Chammem,Ennahdha,3,Salha Ben Aicha,Ennahdha,0.9543,0.9469,3,0.9272,0.3981,2.329
TNP-00381,Jdidi Essbouîi,No bloc,3,Said Kharchoufi,No bloc,0.8581,0.8447,2,0.5897,0.2361,2.498
TNP-00382,Habib Ellouz,Ennahdha,3,Nafti Mahdhi,Ennahdha,0.9559,0.934,2,0.9272,0.3981,2.329
TNP-00383,Habib Khedher,Ennahdha,3,Mohamed Zrig,Ennahdha,0.9782,0.9771,0,0.9272,0.3981,2.329
TNP-00384,Hasni Badri,Democratic Transition,1,Mustapha Ben Jaafar,Ettakatol,0.8561,0.8468,0,0.4048,0.0602,6.725
TNP-00385,Zohra Smida,Ennahdha,3,Samia Ferchichi,Ennahdha,0.954,0.9515,2,0.9272,0.3981,2.329
TNP-00386,Sadok Chourou,Ennahdha,3,Basma Jebali,Ennahdha,0.961,0.9572,1,0.9272,0.3981,2.329
TNP-00387,Tahar Hmila,No bloc,0,Salma Nazih Znaidi,Ettakatol,0.8713,0.831,0,0.5897,0.2361,2.498
TNP-00388,Arbi Abid,Ettakatol,1,Meherzia Labidi,Ennahdha,0.9773,0.9618,2,0.6667,0.0509,13.091
TNP-00389,Ferjani Doghmane,Ennahdha,3,Salha Ben Aicha,Ennahdha,0.9444,0.9423,0,0.9272,0.3981,2.329
TNP-00390,Moncef Cherni,Democratic Transition,3,Tarek Bouaziz,Democratic Transition,0.9312,0.8983,2,0.4048,0.0602,6.725
TNP-00391,Mouldi Riahi,Ettakatol,3,Mustapha Ben Jaafar,Ettakatol,0.9818,0.9739,3,0.6667,0.0509,13.091
TNP-00392,Naceur Brahmi,No bloc,0,Samir Bettaieb,Democratic Bloc,0.9407,0.8973,1,0.5897,0.2361,2.498
TNP-00393,Nafti Mahdhi,Ennahdha,3,Habib Ellouz,Ennahdha,0.9559,0.9485,3,0.9272,0.3981,2.329
TNP-00394,Hedi Ben Braham,Ennahdha,3,Mahmoud Gouiaa,Ennahdha,0.9898,0.9847,6,0.9272,0.3981,2.329
TNP-00395,Hedi Chaouech,No bloc,3,Mohamed Karim Krifa,No bloc,0.9312,0.9157,3,0.5897,0.2361,2.498
TNP-00396,Walid Bennani,Ennahdha,3,Basma Jebali,Ennahdha,0.9803,0.9795,2,0.9272,0.3981,2.329
TNP-00397,Amel Azzouz,Ennahdha,3,Mahmoud Gouiaa,Ennahdha,0.9767,0.9764,0,0.9272,0.3981,2.329
TNP-00398,Amel Ghouil,Ennahdha,2,Ameur Laraiedh,Ennahdha,0.986,0.9775,1,0.9272,0.3981,2.329
TNP-00399,Amira Marzouk,No bloc,3,Fadhel Elouej,No bloc,0.9623,0.9343,3,0.5897,0.2361,2.498
TNP-00400,Iyed Dahmani,No bloc,3,Issam Chebbi,No bloc,0.9043,0.8909,2,0.5897,0.2361,2.498
TNP-00401,Imen Ben Mhamed,Ennahdha,3,Nabila Askri Snoussi,Ennahdha,0.9589,0.9575,0,0.9272,0.3981,2.329
TNP-00402,Aymen Zouaghi,No bloc,3,Said Kharchoufi,No bloc,0.882,0.8729,4,0.5897,0.2361,2.498
TNP-00403,Badreddine Abdelkafi,Ennahdha,3,Samia Ferchichi,Ennahdha,0.982,0.9806,4,0.9272,0.3981,2.329
TNP-00404,Basma Jebali,Ennahdha,3,Walid Bennani,Ennahdha,0.9803,0.98,14,0.9272,0.3981,2.329
TNP-00405,Bechir Lazzem,Ennahdha,3,Samia Ferchichi,Ennahdha,0.9766,0.9764,0,0.9272,0.3981,2.329
TNP-00406,Baya Jaouadi,Ennahdha,2,Mustapha Ben Jaafar,Ettakatol,0.9748,0.9587,7,0.9272,0.3981,2.329
TNP-00407,Jalel Farhat,Democratic Transition,0,Jamel Touir,Ettakatol,0.9004,0.8929,6,0.4048,0.0602,6.725
TNP-00408,Jalel Bouzid,Ettakatol,2,Lobna Jeribi,Ettakatol,0.9829,0.9701,3,0.6667,0.0509,13.091
TNP-00409,Jamel Gargouri,Democratic Alliance,3,Najla Bourial,Democratic Alliance,0.9316,0.9255,5,0.7,0.0417,16.8
TNP-00410,Jamel Touir,Ettakatol,2,Meherzia Labidi,Ennahdha,0.9447,0.9351,2,0.6667,0.0509,13.091
TNP-00411,Jawhara Tiss,Ennahdha,3,Mohamed Zrig,Ennahdha,0.9741,0.9729,0,0.9272,0.3981,2.329
TNP-00412,Hatem Klaii,No bloc,1,Mohamed Nizar Kacem,No bloc,0.8916,0.8736,1,0.5897,0.2361,2.498
TNP-00413,Hafedh Ibrahim Lassoued,Ennahdha,3,Samia Ferchichi,Ennahdha,0.9805,0.9798,7,0.9272,0.3981,2.329
TNP-00414,Habiba Triki,Ennahdha,3,Farida Labidi,Ennahdha,0.9818,0.9803,7,0.9272,0.3981,2.329
TNP-00415,Hassan Radhouani,No bloc,1,Salma Nazih Znaidi,Ettakatol,0.85,0.8377,0,0.5897,0.2361,2.498
TNP-00416,Hasna Mersit,No bloc,1,Salma Nazih Znaidi,Ettakatol,0.8852,0.8486,0,0.5897,0.2361,2.498
TNP-00417,Hattab Barakati,No bloc,3,Fadhel Saghraoui,No bloc,0.8897,0.8741,4,0.5897,0.2361,2.498
TNP-00418,Halima Guenni,Ennahdha,3,Zohra Smida,Ennahdha,0.9433,0.9396,1,0.9272,0.3981,2.329
TNP-00419,Hanène Sassi,Democratic Transition,1,Salma Nazih Znaidi,Ettakatol,0.875,0.8688,0,0.4048,0.0602,6.725
TNP-00420,Khmais Ksila,No bloc,1,Ahmed Brahim,Democratic Bloc,0.8947,0.8881,3,0.5897,0.2361,2.498
TNP-00421,Khira Sghairi,Ennahdha,2,Baya Jaouadi,Ennahdha,0.9507,0.948,3,0.9272,0.3981,2.329
TNP-00422,Dalila Babba,Ennahdha,3,Habiba Triki,Ennahdha,0.9699,0.9666,0,0.9272,0.3981,2.329
TNP-00423,Dalila Bouain,Ennahdha,3,Habiba Triki,Ennahdha,0.9725,0.967,0,0.9272,0.3981,2.329
TNP-00424,Rabeh Khraifi,No bloc,2,Issam Chebbi,No bloc,0.883,0.8776,1,0.5897,0.2361,2.498
TNP-00425,Rabiî Abdi,Loyalty to the Revolution,2,Abderraouf Ayadi,Loyalty to the Revolution,0.8842,0.8647,3,0.4333,0.0417,10.4
TNP-00426,Rabiaa Najlaoui,No bloc,3,Mohamed Abdelmonem Krir,No bloc,0.9161,0.8773,1,0.5897,0.2361,2.498
TNP-00427,Rafik Tlili,Loyalty to the Revolution,2,Mabrouka Mbarek,CPR,0.8608,0.8456,3,0.4333,0.0417,10.4
TNP-00428,Romdhane Doghmani,Democratic Transition,0,Mohamed Nizar Kacem,No bloc,0.9342,0.9173,2,0.4048,0.0602,6.725
TNP-00429,Rim Thairi,No bloc,3,Mohamed Ben Youssef Hamdi,No bloc,0.9217,0.8882,4,0.5897,0.2361,2.498
TNP-00430,Rim Mahjoub,Democratic Bloc,3,Samira Merai,Democratic Bloc,0.9426,0.9204,6,0.6481,0.0787,8.235
TNP-00431,Zied Doulatli,Ennahdha,2,Mustapha Ben Jaafar,Ettakatol,0.9907,0.9827,3,0.9272,0.3981,2.329
TNP-00432,Samia Ferchichi,Ennahdha,2,Mustapha Ben Jaafar,Ettakatol,0.9873,0.9857,25,0.9272,0.3981,2.329
TNP-00433,Souad Abderrahim,Ennahdha,2,Mustapha Ben Jaafar,Ettakatol,0.9832,0.967,3,0.9272,0.3981,2.329
TNP-00434,Saâd Bouaïche,Democratic Transition,1,Mohamed Nizar Kacem,No bloc,0.8719,0.8498,2,0.4048,0.0602,6.725
TNP-00435,Said Kharchoufi,No bloc,3,Aymen Zouaghi,No bloc,0.882,0.8683,3,0.5897,0.2361,2.498
TNP-00436,Salma Baccar,Democratic Bloc,3,Samir Bettaieb,Democratic Bloc,0.9408,0.9213,5,0.6481,0.0787,8.235
TNP-00437,Salma Sarsout,Ennahdha,3,Samia Ferchichi,Ennahdha,0.9599,0.9504,0,0.9272,0.3981,2.329
TNP-00438,Salma Hedia Mabrouk,Democratic Bloc,3,Nadia Chaabane,Democratic Bloc,0.8649,0.8601,0,0.6481,0.0787,8.235
TNP-00439,Slim Ben Hmidane,CPR,2,Hichem Ben Jemaa,CPR,0.8944,0.8826,2,0.7857,0.0602,13.055
TNP-00440,Selim Ben Abdessalam,No bloc,1,Karima Souid,Democratic Bloc,0.9186,0.909,6,0.5897,0.2361,2.498
TNP-00441,Slimane Hlal,Ennahdha,2,Mustapha Ben Jaafar,Ettakatol,0.9593,0.9486,0,0.9272,0.3981,2.329
TNP-00442,Samir Ben Amor,CPR,2,Abdelwahab Maatar,CPR,0.8671,0.8537,2,0.7857,0.0602,13.055
TNP-00443,Samir Bettaieb,Democratic Bloc,2,Salma Baccar,Democratic Bloc,0.9408,0.9383,5,0.6481,0.0787,8.235
TNP-00444,Samira Merai,Democratic Bloc,3,Rim Mahjoub,Democratic Bloc,0.9426,0.9263,7,0.6481,0.0787,8.235
TNP-00445,Sana Mersni,Ennahdha,3,Hajer Mnifi,Ennahdha,0.9771,0.9722,0,0.9272,0.3981,2.329
TNP-00446,Sana Haddad,Ennahdha,3,Nabiha Torjmane,Ennahdha,0.9445,0.9403,0,0.9272,0.3981,2.329
TNP-00447,Sonia Toumia,Ennahdha,2,Mustapha Ben Jaafar,Ettakatol,0.9515,0.9271,0,0.9272,0.3981,2.329
TNP-00448,Chokri Yaich,Democratic Alliance,2,Jamel Gargouri,Democratic Alliance,0.9228,0.9141,4,0.7,0.0417,16.8
TNP-00449,Chokri Kastalli,Democratic Alliance,2,Salma Nazih Znaidi,Ettakatol,0.8953,0.8678,0,0.7,0.0417,16.8
TNP-00450,Chokri Arfaoui,Democratic Transition,2,Jalel Farhat,Democratic Transition,0.8831,0.8807,3,0.4048,0.0602,6.725
TNP-00451,Salah Chouaib,No bloc,0,Saâd Bouaïche,Democratic Transition,0.8306,0.8111,0,0.5897,0.2361,2.498
TNP-00452,Salha Ben Aicha,Ennahdha,3,Basma Jebali,Ennahdha,0.9663,0.9659,15,0.9272,0.3981,2.329
TNP-00453,Slaheddine Zahaf,Democratic Bloc,0,Jamel Gargouri,Democratic Alliance,0.8976,0.8962,1,0.6481,0.0787,8.235
TNP-00454,Slaheddine Elhiba,Ennahdha,2,Mustapha Ben Jaafar,Ettakatol,0.9885,0.9792,0,0.9272,0.3981,2.329
TNP-00455,Dhamir Mannai,No bloc,1,Nafissa Marzouki,Ettakatol,0.8858,0.8786,4,0.5897,0.2361,2.498
TNP-00456,Tarek Labidi,Ettakatol,3,Abderrahmane Ladgham,Ettakatol,0.9504,0.8572,1,0.6667,0.0509,13.091
TNP-00457,Tarek Bouaziz,Democratic Transition,3,Moncef Cherni,Democratic Transition,0.9312,0.874,1,0.4048,0.0602,6.725
TNP-00458,Adel Ben Attia,Ennahdha,2,Mustapha Ben Jaafar,Ettakatol,0.9706,0.9669,5,0.9272,0.3981,2.329
TNP-00459,Aicha Dhaouadi,Ennahdha,3,Mahmoud Gouiaa,Ennahdha,0.9767,0.9753,0,0.9272,0.3981,2.329
TNP-00460,Abdelbasset Becheikh,Ennahdha,2,Mustapha Ben Jaafar,Ettakatol,0.9527,0.9515,1,0.9272,0.3981,2.329
TNP-00461,Abdelhalim Zouari,Ennahdha,3,Samia Ferchichi,Ennahdha,0.9725,0.9705,0,0.9272,0.3981,2.329
TNP-00462,Abderrahmane Ladgham,Ettakatol,3,Tarek Labidi,Ettakatol,0.9504,0.8594,1,0.6667,0.0509,13.091
TNP-00463,Abderrazak Khallouli,Democratic Transition,2,Mohamed Salah Chairat,Democratic Transition,0.7976,0.7949,0,0.4048,0.0602,6.725
TNP-00464,Abderraouf Ayadi,Loyalty to the Revolution,2,Rabiî Abdi,Loyalty to the Revolution,0.8842,0.863,4,0.4333,0.0417,10.4
TNP-00465,Abdessattar Dhifi,Loyalty to the Revolution,0,Sadok Chourou,Ennahdha,0.8964,0.8953,1,0.4333,0.0417,10.4
TNP-00466,Abdessalem Chaabane,CPR,3,Ikbel Msadaa,CPR,0.9194,0.9013,5,0.7857,0.0602,13.055
TNP-00467,Abdelaziz Chaabane,Ennahdha,3,Salha Ben Aicha,Ennahdha,0.9013,0.8995,0,0.9272,0.3981,2.329
TNP-00468,Abdelaziz Kotti,No bloc,1,Ahmed Brahim,Democratic Bloc,0.8795,0.8781,1,0.5897,0.2361,2.498
TNP-00469,Abdelkader Ben Khmis,Democratic Bloc,0,Moncef Cheikhrouhou,Democratic Alliance,0.881,0.8758,0,0.6481,0.0787,8.235
TNP-00470,Abdelkader Kadri,Ennahdha,3,Samia Ferchichi,Ennahdha,0.9859,0.9794,6,0.9272,0.3981,2.329
TNP-00471,Abdelmajid Najar,Ennahdha,3,Mahmoud Gouiaa,Ennahdha,0.9812,0.9792,4,0.9272,0.3981,2.329
TNP-00472,Abdelwahab Maatar,CPR,1,Samir Ben Amor,CPR,0.8671,0.8292,1,0.7857,0.0602,13.055
TNP-00473,Issam Chebbi,No bloc,3,Maya Jeribi,No bloc,0.9223,0.9032,3,0.5897,0.2361,2.498
TNP-00474,Ali Bechrifa,Democratic Bloc,1,Selim Ben Abdessalam,No bloc,0.9139,0.8893,2,0.6481,0.0787,8.235
TNP-00475,Ali Fares,Ennahdha,2,Mustapha Ben Jaafar,Ettakatol,0.9703,0.9569,5,0.9272,0.3981,2.329
TNP-00476,Ali Houiji,Loyalty to the Revolution,2,Abderraouf Ayadi,Loyalty to the Revolution,0.8068,0.8027,0,0.4333,0.0417,10.4
TNP-00477,Imed Hammami,Ennahdha,3,Mohamed Zrig,Ennahdha,0.9715,0.9674,0,0.9272,0.3981,2.329
