person_id,name_lat,bloc,closest_allies_in_own_bloc,closest_ally,closest_ally_bloc,closest_ally_agreement,mean_agreement_of_top3,times_chosen_by_others,bloc_observed_share,bloc_chance_share,bloc_lift
TNP-00544,Noureddine Mrabti,Democratic Transition,0,Meherzia Labidi,Ennahdha,0.9262,0.8959,0,0.4048,0.0602,6.725
TNP-00545,Naoufel Ghribi,CPR,1,Samir Ben Amor,CPR,0.8556,0.8509,3,0.7857,0.0602,13.055
TNP-00546,Hajer Mnifi,Ennahdha,3,Nabila Askri Snoussi,Ennahdha,0.9865,0.9856,7,0.9272,0.3981,2.329
TNP-00547,Hajer Azaiez,Ennahdha,3,Farida Labidi,Ennahdha,0.9383,0.9361,0,0.9272,0.3981,2.329
TNP-00548,Hela Hammi,Ennahdha,2,Mustapha Ben Jaafar,Ettakatol,0.9718,0.9654,0,0.9272,0.3981,2.329
TNP-00549,Hichem Ben Jemaa,CPR,1,Slim Ben Hmidane,CPR,0.8944,0.8785,2,0.7857,0.0602,13.055
TNP-00550,Haythem Belgacem,CPR,2,Meherzia Labidi,Ennahdha,0.9045,0.8902,0,0.7857,0.0602,13.055
TNP-00551,Wissem Yassine,No bloc,1,Mohamed Nizar Kacem,No bloc,0.9477,0.8877,6,0.5897,0.2361,2.498
TNP-00552,Kamel Ben Romdhane,Ennahdha,3,Salha Ben Aicha,Ennahdha,0.9586,0.9394,0,0.9272,0.3981,2.329
TNP-00553,Soulef Ksantini,Ennahdha,3,Adel Ben Attia,Ennahdha,0.9321,0.926,0,0.9272,0.3981,2.329
TNP-00554,Souhir Dardouri,Democratic Transition,0,Mabrouka Mbarek,CPR,0.875,0.8617,1,0.4048,0.0602,6.725
TNP-00555,Mokhtar Lamouchi,Ennahdha,3,Oussama Al Saghir,Ennahdha,0.9513,0.9475,0,0.9272,0.3981,2.329
TNP-00556,Habib Bribech,Ennahdha,3,Moufida Marzouki,Ennahdha,0.911,0.9079,0,0.9272,0.3981,2.329
TNP-00557,Bechir Nefzi,CPR,3,Mabrouka Mbarek,CPR,0.93,0.9129,6,0.7857,0.0602,13.055
TNP-00558,Noura Ben Hassen,CPR,3,Mabrouka Mbarek,CPR,0.9556,0.9128,3,0.7857,0.0602,13.055
TNP-00559,Jamal Bouajaja,Ennahdha,3,Samia Ferchichi,Ennahdha,0.9643,0.9583,0,0.9272,0.3981,2.329
TNP-00560,Frej Ben Amor,Ennahdha,3,Hajer Mnifi,Ennahdha,0.9599,0.9577,0,0.9272,0.3981,2.329
TNP-00561,Khalid Belhaj,No bloc,1,Farah Nsibi,No bloc,0.9287,0.9228,1,0.5897,0.2361,2.498
TNP-00562,Nafissa Marzouki,Ettakatol,1,Mustapha Ben Jaafar,Ettakatol,0.8993,0.8818,1,0.6667,0.0509,13.091
TNP-00563,Warda Turki,Ennahdha,3,Hajer Mnifi,Ennahdha,0.9779,0.9762,1,0.9272,0.3981,2.329
TNP-00564,Mohamed Mondher Ben Rahal,Ettakatol,1,Meherzia Labidi,Ennahdha,0.9138,0.8861,2,0.6667,0.0509,13.091
TNP-00565,Manel Kadri,No bloc,1,Karima Souid,Democratic Bloc,0.9083,0.8975,6,0.5897,0.2361,2.498
TNP-00566,Fadhel Saghraoui,No bloc,3,Hattab Barakati,No bloc,0.8897,0.8716,3,0.5897,0.2361,2.498
TNP-00567,Monia Ben Nasr Ayadi,Democratic Bloc,1,Manel Kadri,No bloc,0.8898,0.8798,4,0.6481,0.0787,8.235
TNP-00568,Salma Nazih Znaidi,Ettakatol,3,Mustapha Ben Jaafar,Ettakatol,1.0,0.9665,19,0.6667,0.0509,13.091
