series,pattern,people,chambers,sat_out_a_chamber,consecutive_returners,gap_returners,members
career_pattern,NCA-2011 → ARP-2014,19,2,False,,,
career_pattern,NCA-2011 → ARP-2014 → ARP-2019,12,3,False,,,
career_pattern,NCA-2011 → ARP-2019,1,2,True,,,
career_pattern,NCA-2011 → ARP-2023,2,2,True,,,
career_pattern,ARP-2014 → ARP-2019,36,2,False,,,
career_pattern,ARP-2014 → ARP-2019 → ARP-2023,2,3,False,,,
career_pattern,ARP-2014 → ARP-2023,3,2,True,,,
career_pattern,ARP-2019 → ARP-2023,3,2,False,,,
returners_by_chamber,ARP-2014,,,,31,0,246
returners_by_chamber,ARP-2019,,,,50,1,216
returners_by_chamber,ARP-2023,,,,5,5,155
excluded,multi-chamber careers touching a pre-2011 chamber (presiding officers only),7,,,,,
