party,members_lost,members_gained,net,drawn_as
Alliance Démocratique,0,11,11,Alliance Démocratique
Al Massar,0,10,10,Al Massar
Indépendant,6,14,8,Indépendant
Al Jomhouri,0,7,7,Al Jomhouri
Courant de l'amour,0,7,7,Courant de l'amour
Mouvement Wafa,0,6,6,Mouvement Wafa
Nidaa Tounes,0,6,6,Nidaa Tounes
Parti El Amen,0,5,5,Parti El Amen
Courant Démocratique,0,4,4,Courant Démocratique
La Voix du Peuple de Tunisie,0,4,4,La Voix du Peuple de Tunisie
Mouvement de la République,0,4,4,Mouvement de la République
Parti l'initiative,0,4,4,Parti l'initiative
Parti de la Construction Patriotique,0,3,3,Parti de la Construction Patriotique
Parti des travailleurs,0,3,3,Parti des travailleurs
Courant Populaire,0,2,2,Other parties
La Voix du peuple de Tunisie,0,2,2,Other parties
Union Patriotique Libre,0,2,2,Other parties
Front National Tunisien,0,1,1,Other parties
Mouvement Tunisien pour la Liberté et la Dignité,0,1,1,Other parties
Mouvement de Décollage vers l'Avenir,0,1,1,Other parties
Mouvement des Patriotes Démocrates,0,1,1,Other parties
Parti Populaire Progressiste,0,1,1,Other parties
Parti Républicain Maghrébin,0,1,1,Other parties
Parti de la réforme et du développement,0,1,1,Other parties
Troisième Alternative,0,1,1,Other parties
Afek Tounes,1,0,-1,Other parties
Mouvement des patriotes démocrates,1,0,-1,Other parties
Parti de la justice et l'égalité,1,0,-1,Other parties
Parti de la lutte progressiste,1,0,-1,Other parties
Parti de la nation culturel et unioniste,1,0,-1,Other parties
Parti libéral maghrébin,1,0,-1,Other parties
Parti néo-destour,1,0,-1,Other parties
Parti républicain pour la liberté et la justice,1,0,-1,Other parties
l'Union Patriotique Libre,1,0,-1,Other parties
Mouvement des démocrates socialistes,2,0,-2,Other parties
Mouvement du peuple,2,0,-2,Other parties
Mouvement Nahdha,3,0,-3,Mouvement Nahdha
Parti communiste des ouvriers de Tunisie,3,0,-3,Parti communiste des ouvriers de Tunisie
L'Initiative,5,0,-5,L'Initiative
Pôle démocratique moderniste,5,0,-5,Pôle démocratique moderniste
Forum démocratique pour le travail et les libertés,10,2,-8,Forum démocratique pour le travail et les libertés
Parti démocratique progressiste,16,0,-16,Parti démocratique progressiste
Congrès pour la république,18,1,-17,Congrès pour la république
"Pétition populaire pour la liberté, la justice et le développement",26,0,-26,"Pétition populaire pour la liberté, la justice et le développement"
