person_id,name_lat,bloc,degree,cross_bloc_share,expected_share,residual
TNP-00007,Hichem Hosni,No bloc,2,0.0,0.7639,-0.7639
TNP-00402,Aymen Zouaghi,No bloc,6,0.0,0.7639,-0.7639
TNP-00429,Rim Thairi,No bloc,7,0.0,0.7639,-0.7639
TNP-00435,Said Kharchoufi,No bloc,7,0.0,0.7639,-0.7639
TNP-00516,Mohamed Ben Youssef Hamdi,No bloc,7,0.0,0.7639,-0.7639
TNP-00529,Mouna Ben Nasr,No bloc,3,0.0,0.7639,-0.7639
TNP-00376,Iskander Bouallagui,No bloc,10,0.1,0.7639,-0.6639
TNP-00381,Jdidi Essbouîi,No bloc,8,0.125,0.7639,-0.6389
TNP-00558,Noura Ben Hassen,CPR,15,0.4,0.9398,-0.5398
TNP-00417,Hattab Barakati,No bloc,8,0.25,0.7639,-0.5139
TNP-00534,Mouldi Zidi,No bloc,4,0.25,0.7639,-0.5139
TNP-00464,Abderraouf Ayadi,Loyalty to the Revolution,10,0.5,0.9583,-0.4583
TNP-00556,Habib Bribech,Ennahdha,101,0.1485,0.6019,-0.4533
TNP-00371,Ahmed Smiai,Ennahdha,97,0.1546,0.6019,-0.4472
TNP-00540,Nejib Mrad,Ennahdha,100,0.16,0.6019,-0.4419
TNP-00438,Salma Hedia Mabrouk,Democratic Bloc,25,0.48,0.9213,-0.4413
TNP-00467,Abdelaziz Chaabane,Ennahdha,103,0.165,0.6019,-0.4368
TNP-00567,Monia Ben Nasr Ayadi,Democratic Bloc,24,0.5,0.9213,-0.4213
TNP-00547,Hajer Azaiez,Ennahdha,104,0.1827,0.6019,-0.4192
TNP-00552,Kamel Ben Romdhane,Ennahdha,107,0.1963,0.6019,-0.4056
TNP-00476,Ali Houiji,Loyalty to the Revolution,9,0.5556,0.9583,-0.4028
TNP-00481,Faiza Kadoussi,No bloc,11,0.3636,0.7639,-0.4003
TNP-00386,Sadok Chourou,Ennahdha,108,0.2037,0.6019,-0.3981
TNP-00474,Ali Bechrifa,Democratic Bloc,28,0.5357,0.9213,-0.3856
TNP-00510,Mohamed Saidi,Ennahdha,110,0.2182,0.6019,-0.3837
TNP-00477,Imed Hammami,Ennahdha,109,0.2202,0.6019,-0.3817
TNP-00462,Abderrahmane Ladgham,Ettakatol,7,0.5714,0.9491,-0.3776
TNP-00382,Habib Ellouz,Ennahdha,112,0.2321,0.6019,-0.3697
TNP-00324,Sahbi Atig,Ennahdha,114,0.2456,0.6019,-0.3562
TNP-00494,Kamel Ammar,Ennahdha,114,0.2456,0.6019,-0.3562
TNP-00531,Monia Gasri,Ennahdha,114,0.2456,0.6019,-0.3562
TNP-00482,Fathi Eltaif,No bloc,17,0.4118,0.7639,-0.3521
TNP-00397,Amel Azzouz,Ennahdha,115,0.2522,0.6019,-0.3497
TNP-00459,Aicha Dhaouadi,Ennahdha,115,0.2522,0.6019,-0.3497
TNP-00538,Nabiha Torjmane,Ennahdha,115,0.2522,0.6019,-0.3497
TNP-00559,Jamal Bouajaja,Ennahdha,115,0.2522,0.6019,-0.3497
TNP-00247,Latifa Habachi,Ennahdha,116,0.2586,0.6019,-0.3432
TNP-00369,Ahmed Mechergui,Ennahdha,116,0.2586,0.6019,-0.3432
TNP-00411,Jawhara Tiss,Ennahdha,116,0.2586,0.6019,-0.3432
TNP-00446,Sana Haddad,Ennahdha,116,0.2586,0.6019,-0.3432
TNP-00563,Warda Turki,Ennahdha,116,0.2586,0.6019,-0.3432
TNP-00491,Karima Souid,Democratic Bloc,38,0.5789,0.9213,-0.3423
TNP-00463,Abderrazak Khallouli,Democratic Transition,10,0.6,0.9398,-0.3398
TNP-00383,Habib Khedher,Ennahdha,117,0.265,0.6019,-0.3369
TNP-00422,Dalila Babba,Ennahdha,117,0.265,0.6019,-0.3369
TNP-00423,Dalila Bouain,Ennahdha,117,0.265,0.6019,-0.3369
TNP-00447,Sonia Toumia,Ennahdha,117,0.265,0.6019,-0.3369
TNP-00471,Abdelmajid Najar,Ennahdha,117,0.265,0.6019,-0.3369
TNP-00513,Mohamed Essghaier,Ennahdha,117,0.265,0.6019,-0.3369
TNP-00377,Essia Naffati,Ennahdha,118,0.2712,0.6019,-0.3307
TNP-00396,Walid Bennani,Ennahdha,118,0.2712,0.6019,-0.3307
TNP-00530,Monia Ibrahim,Ennahdha,118,0.2712,0.6019,-0.3307
TNP-00560,Frej Ben Amor,Ennahdha,118,0.2712,0.6019,-0.3307
TNP-00267,Moez Belhaj Rhouma,Ennahdha,119,0.2773,0.6019,-0.3245
TNP-00364,Zied Laadhari,Ennahdha,119,0.2773,0.6019,-0.3245
TNP-00484,Farida Labidi,Ennahdha,119,0.2773,0.6019,-0.3245
TNP-00332,Samia Abbou,CPR,13,0.6154,0.9398,-0.3244
