assembly_a,assembly_b,members_in_common,members_a,members_b
ANC-1956,COD-1986,0,108,3
ANC-1956,COD-1989,0,108,3
ANC-1956,COD-1994,0,108,2
ANC-1956,ADV-2005,0,108,113
ANC-1956,NCA-2011,0,108,217
ANC-1956,ARP-2014,0,108,246
ANC-1956,ARP-2019,0,108,216
ANC-1956,ARP-2023,0,108,155
COD-1986,COD-1989,1,3,3
COD-1986,COD-1994,0,3,2
COD-1986,ADV-2005,1,3,113
COD-1986,NCA-2011,0,3,217
COD-1986,ARP-2014,0,3,246
COD-1986,ARP-2019,0,3,216
COD-1986,ARP-2023,0,3,155
COD-1989,COD-1994,1,3,2
COD-1989,ADV-2005,0,3,113
COD-1989,NCA-2011,0,3,217
COD-1989,ARP-2014,0,3,246
COD-1989,ARP-2019,0,3,216
COD-1989,ARP-2023,0,3,155
COD-1994,ADV-2005,0,2,113
COD-1994,NCA-2011,0,2,217
COD-1994,ARP-2014,0,2,246
COD-1994,ARP-2019,0,2,216
COD-1994,ARP-2023,0,2,155
ADV-2005,NCA-2011,0,113,217
ADV-2005,ARP-2014,0,113,246
ADV-2005,ARP-2019,0,113,216
ADV-2005,ARP-2023,0,113,155
NCA-2011,ARP-2014,31,217,246
NCA-2011,ARP-2019,13,217,216
NCA-2011,ARP-2023,2,217,155
ARP-2014,ARP-2019,50,246,216
ARP-2014,ARP-2023,5,246,155
ARP-2019,ARP-2023,5,216,155
