field_name,table_name,values,n_sources,MARSAD_ANC,ARP_ODOO,MARSAD_ARP2014,MARSAD_MAJLES,WIKI_AR_ANC1956
name_ar,persons,942,5,217,155,246,216,108
assembly_id,mandates,942,5,217,155,246,216,108
name_lat,persons,834,4,217,155,246,216,0
gender,persons,834,4,217,155,246,216,0
occupation_raw,persons,272,2,0,0,223,49,0
biography_ar,persons,217,1,217,0,0,0,0
birth_date,persons,156,1,156,0,0,0,0
given_name_ar,persons,155,1,0,155,0,0,0
given_name_lat,persons,155,1,0,155,0,0,0
family_name_lat,persons,155,1,0,155,0,0,0
family_name_ar,persons,154,1,0,154,0,0,0
birth_place_ar,persons,114,1,114,0,0,0,0
marital_status,persons,62,1,62,0,0,0,0
languages,persons,47,1,47,0,0,0,0
