person_id,name_lat,bloc,window,strong_ties,strong_ties_cross_bloc
TNP-00405,Bechir Lazzem,Ennahdha,before,95,12
TNP-00406,Baya Jaouadi,Ennahdha,before,97,13
TNP-00408,Jalel Bouzid,Ettakatol,before,86,81
TNP-00410,Jamel Touir,Ettakatol,before,31,30
TNP-00411,Jawhara Tiss,Ennahdha,before,100,16
TNP-00412,Hatem Klaii,No bloc,before,3,3
TNP-00413,Hafedh Ibrahim Lassoued,Ennahdha,before,100,16
TNP-00414,Habiba Triki,Ennahdha,before,96,12
TNP-00415,Hassan Radhouani,No bloc,before,2,2
TNP-00416,Hasna Mersit,No bloc,before,1,1
TNP-00417,Hattab Barakati,No bloc,before,1,0
TNP-00418,Halima Guenni,Ennahdha,before,98,14
TNP-00419,Hanène Sassi,Democratic Transition,before,13,12
TNP-00420,Khmais Ksila,No bloc,before,1,1
TNP-00421,Khira Sghairi,Ennahdha,before,95,12
TNP-00422,Dalila Babba,Ennahdha,before,101,17
TNP-00423,Dalila Bouain,Ennahdha,before,95,12
TNP-00424,Rabeh Khraifi,No bloc,before,8,3
TNP-00425,Rabiî Abdi,Loyalty to the Revolution,before,5,4
TNP-00426,Rabiaa Najlaoui,No bloc,before,0,0
TNP-00427,Rafik Tlili,Loyalty to the Revolution,before,0,0
TNP-00428,Romdhane Doghmani,Democratic Transition,before,99,99
TNP-00429,Rim Thairi,No bloc,before,0,0
TNP-00430,Rim Mahjoub,Democratic Bloc,before,18,12
TNP-00431,Zied Doulatli,Ennahdha,before,92,11
TNP-00432,Samia Ferchichi,Ennahdha,before,99,15
TNP-00433,Souad Abderrahim,Ennahdha,before,90,14
TNP-00434,Saâd Bouaïche,Democratic Transition,before,2,1
TNP-00435,Said Kharchoufi,No bloc,before,0,0
TNP-00436,Salma Baccar,Democratic Bloc,before,6,3
TNP-00437,Salma Sarsout,Ennahdha,before,98,14
TNP-00438,Salma Hedia Mabrouk,Democratic Bloc,before,5,2
TNP-00440,Selim Ben Abdessalam,No bloc,before,6,3
TNP-00441,Slimane Hlal,Ennahdha,before,96,12
TNP-00442,Samir Ben Amor,CPR,before,12,7
TNP-00443,Samir Bettaieb,Democratic Bloc,before,7,4
TNP-00444,Samira Merai,Democratic Bloc,before,9,3
TNP-00445,Sana Mersni,Ennahdha,before,99,15
TNP-00446,Sana Haddad,Ennahdha,before,88,8
TNP-00447,Sonia Toumia,Ennahdha,before,99,15
TNP-00448,Chokri Yaich,Democratic Alliance,before,6,6
TNP-00449,Chokri Kastalli,Democratic Alliance,before,2,2
TNP-00450,Chokri Arfaoui,Democratic Transition,before,14,12
TNP-00451,Salah Chouaib,No bloc,before,2,0
TNP-00452,Salha Ben Aicha,Ennahdha,before,96,12
TNP-00453,Slaheddine Zahaf,Democratic Bloc,before,0,0
TNP-00454,Slaheddine Elhiba,Ennahdha,before,96,12
