series,members,total_activity,gini,median_per_member,max_per_member,share_from_busiest_tenth
"Amendments tabled, 2011 assembly",203,3646,0.4264,14,78,0.2597
"Written questions filed, 2023 chamber",154,6603,0.5142,27,201,0.3415
