person_id,name_lat,bloc,community,community_size,modularity_detected,modularity_blocs
TNP-00436,Salma Sarsout,Ennahdha,1,95,0.2132,0.1169
TNP-00438,Slim Ben Hmidane,CPR,1,95,0.2132,0.1169
TNP-00440,Slimane Hlal,Ennahdha,1,95,0.2132,0.1169
TNP-00441,Samir Ben Amor,CPR,1,95,0.2132,0.1169
TNP-00444,Sana Mersni,Ennahdha,1,95,0.2132,0.1169
TNP-00445,Sana Haddad,Ennahdha,1,95,0.2132,0.1169
TNP-00446,Sonia Toumia,Ennahdha,1,95,0.2132,0.1169
TNP-00451,Salha Ben Aicha,Ennahdha,1,95,0.2132,0.1169
TNP-00453,Slaheddine Elhiba,Ennahdha,1,95,0.2132,0.1169
TNP-00458,Aicha Dhaouadi,Ennahdha,1,95,0.2132,0.1169
TNP-00459,Abdelbasset Becheikh,Ennahdha,1,95,0.2132,0.1169
TNP-00460,Abdelhalim Zouari,Ennahdha,1,95,0.2132,0.1169
TNP-00464,Abdessattar Dhifi,Loyalty to the Revolution,1,95,0.2132,0.1169
TNP-00466,Abdelaziz Chaabane,Ennahdha,1,95,0.2132,0.1169
TNP-00469,Abdelkader Kadri,Ennahdha,1,95,0.2132,0.1169
TNP-00470,Abdelmajid Najar,Ennahdha,1,95,0.2132,0.1169
TNP-00476,Imed Hammami,Ennahdha,1,95,0.2132,0.1169
TNP-00481,Farah Nsibi,No bloc,1,95,0.2132,0.1169
TNP-00482,Fattoum Lassoued,Ennahdha,1,95,0.2132,0.1169
TNP-00483,Fattouma Attia,Ennahdha,1,95,0.2132,0.1169
TNP-00488,Kalthoum Badreddine,Ennahdha,1,95,0.2132,0.1169
TNP-00489,Kamel Saadaoui,No bloc,1,95,0.2132,0.1169
TNP-00490,Kamel Ammar,Ennahdha,1,95,0.2132,0.1169
TNP-00491,Kamel Ben Amara,Ennahdha,1,95,0.2132,0.1169
TNP-00492,Kaouther Ladgham,Ennahdha,1,95,0.2132,0.1169
TNP-00497,Mohsen Kaabi,Ennahdha,1,95,0.2132,0.1169
TNP-00501,Mohamed Tahar Tlili,Ennahdha,1,95,0.2132,0.1169
TNP-00505,Mohamed Neji Gharsalli,No bloc,1,95,0.2132,0.1169
TNP-00506,Mohamed Saidi,Ennahdha,1,95,0.2132,0.1169
TNP-00509,Mohamed Essghaier,Ennahdha,1,95,0.2132,0.1169
TNP-00517,Mohamed Nejib Hosni,No bloc,1,95,0.2132,0.1169
TNP-00519,Mahmoud Gouiaa,Ennahdha,1,95,0.2132,0.1169
TNP-00524,Moufida Marzouki,Ennahdha,1,95,0.2132,0.1169
TNP-00526,Monia Ibrahim,Ennahdha,1,95,0.2132,0.1169
TNP-00527,Monia Gasri,Ennahdha,1,95,0.2132,0.1169
TNP-00528,Mounir Ben Hnia,Ennahdha,1,95,0.2132,0.1169
TNP-00529,Mounira Omri,Ennahdha,1,95,0.2132,0.1169
TNP-00533,Nabila Askri Snoussi,Ennahdha,1,95,0.2132,0.1169
TNP-00534,Nabiha Torjmane,Ennahdha,1,95,0.2132,0.1169
TNP-00536,Nejib Mrad,Ennahdha,1,95,0.2132,0.1169
TNP-00537,Nejiba Beryoul,Ennahdha,1,95,0.2132,0.1169
TNP-00541,Naoufel Ghribi,CPR,1,95,0.2132,0.1169
TNP-00542,Hajer Mnifi,Ennahdha,1,95,0.2132,0.1169
TNP-00543,Hajer Azaiez,Ennahdha,1,95,0.2132,0.1169
TNP-00544,Hela Hammi,Ennahdha,1,95,0.2132,0.1169
TNP-00548,Kamel Ben Romdhane,Ennahdha,1,95,0.2132,0.1169
TNP-00549,Soulef Ksantini,Ennahdha,1,95,0.2132,0.1169
TNP-00551,Mokhtar Lamouchi,Ennahdha,1,95,0.2132,0.1169
TNP-00552,Habib Bribech,Ennahdha,1,95,0.2132,0.1169
TNP-00555,Jamal Bouajaja,Ennahdha,1,95,0.2132,0.1169
TNP-00556,Frej Ben Amor,Ennahdha,1,95,0.2132,0.1169
TNP-00557,Khalid Belhaj,No bloc,1,95,0.2132,0.1169
TNP-00559,Warda Turki,Ennahdha,1,95,0.2132,0.1169
TNP-00007,Hichem Hosni,No bloc,2,67,0.2132,0.1169
TNP-00193,Fadhel Ouej,No bloc,2,67,0.2132,0.1169
TNP-00205,Foued Thameur,Democratic Bloc,2,67,0.2132,0.1169
TNP-00264,Mehdi Ben Gharbia,Democratic Alliance,2,67,0.2132,0.1169
TNP-00277,Mohamed Karim Krifa,No bloc,2,67,0.2132,0.1169
TNP-00289,Mongi Rahoui,Democratic Bloc,2,67,0.2132,0.1169
TNP-00370,Ahmed Essefi,No bloc,2,67,0.2132,0.1169
TNP-00372,Ahmed Brahim,Democratic Bloc,2,67,0.2132,0.1169
TNP-00373,Ahmed Nejib Chebbi,No bloc,2,67,0.2132,0.1169
TNP-00386,Tahar Hmila,No bloc,2,67,0.2132,0.1169
TNP-00387,Arbi Abid,Ettakatol,2,67,0.2132,0.1169
TNP-00391,Naceur Brahmi,No bloc,2,67,0.2132,0.1169
TNP-00394,Hedi Chaouech,No bloc,2,67,0.2132,0.1169
TNP-00398,Amira Marzouk,No bloc,2,67,0.2132,0.1169
TNP-00399,Iyed Dahmani,No bloc,2,67,0.2132,0.1169
TNP-00407,Jalel Bouzid,Ettakatol,2,67,0.2132,0.1169
TNP-00408,Jamel Gargouri,Democratic Alliance,2,67,0.2132,0.1169
TNP-00414,Hassan Radhouani,No bloc,2,67,0.2132,0.1169
TNP-00415,Hasna Mersit,No bloc,2,67,0.2132,0.1169
TNP-00416,Hattab Barakati,No bloc,2,67,0.2132,0.1169
TNP-00419,Khmais Ksila,No bloc,2,67,0.2132,0.1169
TNP-00423,Rabeh Khraifi,No bloc,2,67,0.2132,0.1169
TNP-00425,Rabiaa Najlaoui,No bloc,2,67,0.2132,0.1169
TNP-00429,Rim Mahjoub,Democratic Bloc,2,67,0.2132,0.1169
TNP-00435,Salma Baccar,Democratic Bloc,2,67,0.2132,0.1169
TNP-00437,Salma Hedia Mabrouk,Democratic Bloc,2,67,0.2132,0.1169
TNP-00439,Selim Ben Abdessalam,No bloc,2,67,0.2132,0.1169
TNP-00442,Samir Bettaieb,Democratic Bloc,2,67,0.2132,0.1169
TNP-00443,Samira Merai,Democratic Bloc,2,67,0.2132,0.1169
TNP-00447,Chokri Yaich,Democratic Alliance,2,67,0.2132,0.1169
TNP-00448,Chokri Kastalli,Democratic Alliance,2,67,0.2132,0.1169
TNP-00450,Salah Chouaib,No bloc,2,67,0.2132,0.1169
TNP-00452,Slaheddine Zahaf,Democratic Bloc,2,67,0.2132,0.1169
TNP-00454,Dhamir Mannai,No bloc,2,67,0.2132,0.1169
TNP-00467,Abdelaziz Kotti,No bloc,2,67,0.2132,0.1169
TNP-00468,Abdelkader Ben Khmis,Democratic Bloc,2,67,0.2132,0.1169
TNP-00472,Issam Chebbi,No bloc,2,67,0.2132,0.1169
TNP-00473,Ali Bechrifa,Democratic Bloc,2,67,0.2132,0.1169
TNP-00478,Fatma Gharbi,No bloc,2,67,0.2132,0.1169
TNP-00480,Fathi Eltaif,No bloc,2,67,0.2132,0.1169
TNP-00485,Kais Mokhtar,No bloc,2,67,0.2132,0.1169
TNP-00486,Karim Bouabdelli,Democratic Bloc,2,67,0.2132,0.1169
TNP-00487,Karima Souid,Democratic Bloc,2,67,0.2132,0.1169
TNP-00493,Lobna Jeribi,Ettakatol,2,67,0.2132,0.1169
TNP-00496,Meherzia Labidi,Ennahdha,2,67,0.2132,0.1169
TNP-00500,Mohamed Tahar Ilahi,No bloc,2,67,0.2132,0.1169
TNP-00502,Mohamed Elarbi Fadhel Moussa,Democratic Bloc,2,67,0.2132,0.1169
TNP-00504,Moncef Cheikhrouhou,Democratic Alliance,2,67,0.2132,0.1169
TNP-00507,Mohamed Ben Mabrouk Hamdi,Democratic Alliance,2,67,0.2132,0.1169
TNP-00508,Mahmoud El May,No bloc,2,67,0.2132,0.1169
TNP-00510,Mohamed Gahbich,Democratic Alliance,2,67,0.2132,0.1169
TNP-00511,Mohamed Nejib Khila,No bloc,2,67,0.2132,0.1169
TNP-00514,Mohamed Abdelmonem Krir,No bloc,2,67,0.2132,0.1169
TNP-00515,Mohamed Ali Nasri,No bloc,2,67,0.2132,0.1169
TNP-00516,Mohamed Lotfi Ben Mesbah,Democratic Bloc,2,67,0.2132,0.1169
TNP-00520,Mahmoud Baroudi,Democratic Alliance,2,67,0.2132,0.1169
TNP-00521,Mourad Amdouni,No bloc,2,67,0.2132,0.1169
TNP-00522,Mustapha Ben Jaafar,Ettakatol,2,67,0.2132,0.1169
TNP-00531,Maya Jeribi,No bloc,2,67,0.2132,0.1169
TNP-00532,Nadia Chaabane,Democratic Bloc,2,67,0.2132,0.1169
TNP-00535,Najla Bourial,Democratic Alliance,2,67,0.2132,0.1169
TNP-00539,Noômane Fehri,Democratic Bloc,2,67,0.2132,0.1169
TNP-00558,Nafissa Marzouki,Ettakatol,2,67,0.2132,0.1169
TNP-00561,Manel Kadri,No bloc,2,67,0.2132,0.1169
TNP-00562,Fadhel Saghraoui,No bloc,2,67,0.2132,0.1169
TNP-00563,Monia Ben Nasr Ayadi,Democratic Bloc,2,67,0.2132,0.1169
TNP-00564,Salma Nazih Znaidi,Ettakatol,2,67,0.2132,0.1169
TNP-00141,Anouar Marzouki,Democratic Transition,3,55,0.2132,0.1169
TNP-00238,Jedidi Sboui,No bloc,3,55,0.2132,0.1169
TNP-00332,Samia Abbou,CPR,3,55,0.2132,0.1169
TNP-00367,Ibrahim Hamdi,Loyalty to the Revolution,3,55,0.2132,0.1169
TNP-00368,Ibrahim Kassas,No bloc,3,55,0.2132,0.1169
TNP-00376,Iskander Bouallagui,No bloc,3,55,0.2132,0.1169
TNP-00378,Ikbel Msadaa,CPR,3,55,0.2132,0.1169
TNP-00379,Lazhar Chamli,CPR,3,55,0.2132,0.1169
TNP-00383,Hasni Badri,Democratic Transition,3,55,0.2132,0.1169
TNP-00389,Moncef Cherni,Democratic Transition,3,55,0.2132,0.1169
TNP-00401,Aymen Zouaghi,No bloc,3,55,0.2132,0.1169
TNP-00406,Jalel Farhat,Democratic Transition,3,55,0.2132,0.1169
TNP-00409,Jamel Touir,Ettakatol,3,55,0.2132,0.1169
TNP-00411,Hatem Klaii,No bloc,3,55,0.2132,0.1169
TNP-00424,Rabiî Abdi,Loyalty to the Revolution,3,55,0.2132,0.1169
TNP-00426,Rafik Tlili,Loyalty to the Revolution,3,55,0.2132,0.1169
TNP-00427,Romdhane Doghmani,Democratic Transition,3,55,0.2132,0.1169
TNP-00428,Rim Thairi,No bloc,3,55,0.2132,0.1169
TNP-00432,Souad Abderrahim,Ennahdha,3,55,0.2132,0.1169
TNP-00433,Saâd Bouaïche,Democratic Transition,3,55,0.2132,0.1169
TNP-00434,Said Kharchoufi,No bloc,3,55,0.2132,0.1169
TNP-00449,Chokri Arfaoui,Democratic Transition,3,55,0.2132,0.1169
TNP-00455,Tarek Labidi,Ettakatol,3,55,0.2132,0.1169
TNP-00456,Tarek Bouaziz,Democratic Transition,3,55,0.2132,0.1169
TNP-00457,Adel Ben Attia,Ennahdha,3,55,0.2132,0.1169
TNP-00461,Abderrahmane Ladgham,Ettakatol,3,55,0.2132,0.1169
TNP-00462,Abderrazak Khallouli,Democratic Transition,3,55,0.2132,0.1169
TNP-00463,Abderraouf Ayadi,Loyalty to the Revolution,3,55,0.2132,0.1169
TNP-00465,Abdessalem Chaabane,CPR,3,55,0.2132,0.1169
TNP-00471,Abdelwahab Maatar,CPR,3,55,0.2132,0.1169
TNP-00474,Ali Fares,Ennahdha,3,55,0.2132,0.1169
TNP-00475,Ali Houiji,Loyalty to the Revolution,3,55,0.2132,0.1169
TNP-00477,Omar Chetoui,CPR,3,55,0.2132,0.1169
TNP-00479,Faiza Kadoussi,No bloc,3,55,0.2132,0.1169
TNP-00484,Faiçal Jadlaoui,No bloc,3,55,0.2132,0.1169
TNP-00494,Mabrouk Hrizi,Loyalty to the Revolution,3,55,0.2132,0.1169
TNP-00495,Mabrouka Mbarek,CPR,3,55,0.2132,0.1169
TNP-00498,Mohamed Habib Harguem,Ettakatol,3,55,0.2132,0.1169
TNP-00499,Mohamed Salah Chairat,Democratic Transition,3,55,0.2132,0.1169
TNP-00503,Mohamed Karray Jerbi,Loyalty to the Revolution,3,55,0.2132,0.1169
TNP-00512,Mohamed Ben Youssef Hamdi,No bloc,3,55,0.2132,0.1169
TNP-00513,Mohamed Chafik Zorkin,Democratic Alliance,3,55,0.2132,0.1169
TNP-00518,Mohamed Nizar Kacem,No bloc,3,55,0.2132,0.1169
TNP-00523,Moez Kammoun,Democratic Transition,3,55,0.2132,0.1169
TNP-00525,Mouna Ben Nasr,No bloc,3,55,0.2132,0.1169
TNP-00530,Mouldi Zidi,No bloc,3,55,0.2132,0.1169
TNP-00538,Nizar Makhloufi,Loyalty to the Revolution,3,55,0.2132,0.1169
TNP-00540,Noureddine Mrabti,Democratic Transition,3,55,0.2132,0.1169
TNP-00545,Hichem Ben Jemaa,CPR,3,55,0.2132,0.1169
TNP-00546,Haythem Belgacem,CPR,3,55,0.2132,0.1169
TNP-00547,Wissem Yassine,No bloc,3,55,0.2132,0.1169
TNP-00550,Souhir Dardouri,Democratic Transition,3,55,0.2132,0.1169
TNP-00553,Bechir Nefzi,CPR,3,55,0.2132,0.1169
TNP-00554,Noura Ben Hassen,CPR,3,55,0.2132,0.1169
TNP-00560,Mohamed Mondher Ben Rahal,Ettakatol,3,55,0.2132,0.1169
