person_id,name_lat,bloc,community,community_size,modularity_detected,modularity_blocs
TNP-00174,Ameur Laraiedh,Ennahdha,1,95,0.2132,0.1169
TNP-00199,Fathi Ayadi,Ennahdha,1,95,0.2132,0.1169
TNP-00204,Ferida Laabidi,Ennahdha,1,95,0.2132,0.1169
TNP-00247,Latifa Habachi,Ennahdha,1,95,0.2132,0.1169
TNP-00267,Moez Belhaj Rhouma,Ennahdha,1,95,0.2132,0.1169
TNP-00285,Mohamed Zrig,Ennahdha,1,95,0.2132,0.1169
TNP-00301,Neji Jmal,Ennahdha,1,95,0.2132,0.1169
TNP-00324,Sahbi Atig,Ennahdha,1,95,0.2132,0.1169
TNP-00357,Yamina Zoghlami,Ennahdha,1,95,0.2132,0.1169
TNP-00364,Zied Laadhari,Ennahdha,1,95,0.2132,0.1169
TNP-00369,Ahmed Mechergui,Ennahdha,1,95,0.2132,0.1169
TNP-00371,Ahmed Smiai,Ennahdha,1,95,0.2132,0.1169
TNP-00374,Azed Badi,Loyalty to the Revolution,1,95,0.2132,0.1169
TNP-00375,Oussama Al Saghir,Ennahdha,1,95,0.2132,0.1169
TNP-00377,Essia Naffati,Ennahdha,1,95,0.2132,0.1169
TNP-00380,Bechir Chammem,Ennahdha,1,95,0.2132,0.1169
TNP-00381,Habib Ellouz,Ennahdha,1,95,0.2132,0.1169
TNP-00382,Habib Khedher,Ennahdha,1,95,0.2132,0.1169
TNP-00384,Zohra Smida,Ennahdha,1,95,0.2132,0.1169
TNP-00385,Sadok Chourou,Ennahdha,1,95,0.2132,0.1169
TNP-00388,Ferjani Doghmane,Ennahdha,1,95,0.2132,0.1169
TNP-00390,Mouldi Riahi,Ettakatol,1,95,0.2132,0.1169
TNP-00392,Nafti Mahdhi,Ennahdha,1,95,0.2132,0.1169
TNP-00393,Hedi Ben Braham,Ennahdha,1,95,0.2132,0.1169
TNP-00395,Walid Bennani,Ennahdha,1,95,0.2132,0.1169
TNP-00396,Amel Azzouz,Ennahdha,1,95,0.2132,0.1169
TNP-00397,Amel Ghouil,Ennahdha,1,95,0.2132,0.1169
TNP-00400,Imen Ben Mhamed,Ennahdha,1,95,0.2132,0.1169
TNP-00402,Badreddine Abdelkafi,Ennahdha,1,95,0.2132,0.1169
TNP-00403,Basma Jebali,Ennahdha,1,95,0.2132,0.1169
TNP-00404,Bechir Lazzem,Ennahdha,1,95,0.2132,0.1169
TNP-00405,Baya Jaouadi,Ennahdha,1,95,0.2132,0.1169
TNP-00410,Jawhara Tiss,Ennahdha,1,95,0.2132,0.1169
TNP-00412,Hafedh Ibrahim Lassoued,Ennahdha,1,95,0.2132,0.1169
TNP-00413,Habiba Triki,Ennahdha,1,95,0.2132,0.1169
TNP-00417,Halima Guenni,Ennahdha,1,95,0.2132,0.1169
TNP-00418,Hanène Sassi,Democratic Transition,1,95,0.2132,0.1169
TNP-00420,Khira Sghairi,Ennahdha,1,95,0.2132,0.1169
TNP-00421,Dalila Babba,Ennahdha,1,95,0.2132,0.1169
TNP-00422,Dalila Bouain,Ennahdha,1,95,0.2132,0.1169
TNP-00430,Zied Doulatli,Ennahdha,1,95,0.2132,0.1169
TNP-00431,Samia Ferchichi,Ennahdha,1,95,0.2132,0.1169
