person_id,name_lat,bloc,degree,cross_bloc_ties,cross_bloc_share
TNP-00500,Meherzia Labidi,Ennahdha,171,85,0.4971
TNP-00433,Souad Abderrahim,Ennahdha,163,78,0.4785
TNP-00526,Mustapha Ben Jaafar,Ettakatol,156,146,0.9359
TNP-00522,Mohamed Nizar Kacem,No bloc,151,133,0.8808
TNP-00497,Lobna Jeribi,Ettakatol,149,140,0.9396
TNP-00403,Badreddine Abdelkafi,Ennahdha,144,58,0.4028
TNP-00532,Mounir Ben Hnia,Ennahdha,144,58,0.4028
TNP-00568,Salma Nazih Znaidi,Ettakatol,144,134,0.9306
TNP-00388,Arbi Abid,Ettakatol,143,133,0.9301
TNP-00406,Baya Jaouadi,Ennahdha,142,56,0.3944
TNP-00475,Ali Fares,Ennahdha,142,56,0.3944
TNP-00502,Mohamed Habib Harguem,Ettakatol,140,131,0.9357
TNP-00391,Mouldi Riahi,Ettakatol,139,130,0.9353
TNP-00408,Jalel Bouzid,Ettakatol,139,130,0.9353
TNP-00458,Adel Ben Attia,Ennahdha,139,53,0.3813
TNP-00544,Noureddine Mrabti,Democratic Transition,139,127,0.9137
TNP-00428,Romdhane Doghmani,Democratic Transition,138,127,0.9203
TNP-00398,Amel Ghouil,Ennahdha,132,46,0.3485
TNP-00432,Samia Ferchichi,Ennahdha,131,45,0.3435
TNP-00485,Fattoum Lassoued,Ennahdha,131,45,0.3435
TNP-00549,Hichem Ben Jemaa,CPR,131,119,0.9084
TNP-00375,Oussama Al Saghir,Ennahdha,130,44,0.3385
TNP-00393,Nafti Mahdhi,Ennahdha,130,44,0.3385
TNP-00508,Moncef Cheikhrouhou,Democratic Alliance,130,122,0.9385
TNP-00407,Jalel Farhat,Democratic Transition,129,117,0.907
TNP-00505,Mohamed Tahar Tlili,Ennahdha,129,43,0.3333
TNP-00441,Slimane Hlal,Ennahdha,128,42,0.3281
TNP-00460,Abdelbasset Becheikh,Ennahdha,128,42,0.3281
TNP-00548,Hela Hammi,Ennahdha,128,42,0.3281
TNP-00419,Hanène Sassi,Democratic Transition,127,119,0.937
TNP-00437,Salma Sarsout,Ennahdha,127,41,0.3228
TNP-00493,Kamel Saadaoui,No bloc,127,117,0.9213
TNP-00357,Yamina Zoghlami,Ennahdha,126,40,0.3175
TNP-00410,Jamel Touir,Ettakatol,126,117,0.9286
TNP-00413,Hafedh Ibrahim Lassoued,Ennahdha,126,40,0.3175
TNP-00537,Nabila Askri Snoussi,Ennahdha,126,40,0.3175
TNP-00405,Bechir Lazzem,Ennahdha,125,39,0.312
TNP-00421,Khira Sghairi,Ennahdha,125,39,0.312
TNP-00431,Zied Doulatli,Ennahdha,125,39,0.312
TNP-00454,Slaheddine Elhiba,Ennahdha,125,39,0.312
TNP-00466,Abdessalem Chaabane,CPR,125,112,0.896
TNP-00470,Abdelkader Kadri,Ennahdha,125,39,0.312
TNP-00523,Mahmoud Gouiaa,Ennahdha,125,39,0.312
TNP-00553,Soulef Ksantini,Ennahdha,125,39,0.312
TNP-00555,Mokhtar Lamouchi,Ennahdha,125,39,0.312
TNP-00389,Ferjani Doghmane,Ennahdha,124,38,0.3065
TNP-00401,Imen Ben Mhamed,Ennahdha,124,38,0.3065
TNP-00404,Basma Jebali,Ennahdha,123,37,0.3008
TNP-00414,Habiba Triki,Ennahdha,123,37,0.3008
TNP-00461,Abdelhalim Zouari,Ennahdha,123,37,0.3008
TNP-00541,Nejiba Beryoul,Ennahdha,123,37,0.3008
TNP-00174,Ameur Laraiedh,Ennahdha,122,38,0.3115
TNP-00199,Fathi Ayadi,Ennahdha,122,36,0.2951
TNP-00380,Bechir Chammem,Ennahdha,122,36,0.2951
TNP-00418,Halima Guenni,Ennahdha,122,36,0.2951
TNP-00452,Salha Ben Aicha,Ennahdha,122,36,0.2951
