person_id,name_lat,bloc,degree,cross_bloc_ties,cross_bloc_share
TNP-00496,Kaouther Ladgham,Ennahdha,122,36,0.2951
TNP-00528,Moufida Marzouki,Ennahdha,122,36,0.2951
TNP-00546,Hajer Mnifi,Ennahdha,122,36,0.2951
TNP-00561,Khalid Belhaj,No bloc,122,115,0.9426
TNP-00301,Neji Jmal,Ennahdha,121,35,0.2893
TNP-00385,Zohra Smida,Ennahdha,121,35,0.2893
TNP-00394,Hedi Ben Braham,Ennahdha,121,35,0.2893
TNP-00486,Fattouma Attia,Ennahdha,121,35,0.2893
TNP-00495,Kamel Ben Amara,Ennahdha,121,35,0.2893
TNP-00285,Mohamed Zrig,Ennahdha,120,35,0.2917
TNP-00445,Sana Mersni,Ennahdha,120,34,0.2833
TNP-00492,Kalthoum Badreddine,Ennahdha,120,34,0.2833
TNP-00501,Mohsen Kaabi,Ennahdha,120,34,0.2833
TNP-00533,Mounira Omri,Ennahdha,120,34,0.2833
TNP-00267,Moez Belhaj Rhouma,Ennahdha,119,33,0.2773
TNP-00364,Zied Laadhari,Ennahdha,119,33,0.2773
TNP-00484,Farida Labidi,Ennahdha,119,33,0.2773
TNP-00489,Kais Mokhtar,No bloc,119,103,0.8655
TNP-00521,Mohamed Nejib Hosni,No bloc,119,111,0.9328
TNP-00377,Essia Naffati,Ennahdha,118,32,0.2712
TNP-00396,Walid Bennani,Ennahdha,118,32,0.2712
TNP-00530,Monia Ibrahim,Ennahdha,118,32,0.2712
TNP-00560,Frej Ben Amor,Ennahdha,118,32,0.2712
TNP-00383,Habib Khedher,Ennahdha,117,31,0.265
TNP-00422,Dalila Babba,Ennahdha,117,31,0.265
TNP-00423,Dalila Bouain,Ennahdha,117,31,0.265
TNP-00447,Sonia Toumia,Ennahdha,117,31,0.265
TNP-00471,Abdelmajid Najar,Ennahdha,117,31,0.265
TNP-00513,Mohamed Essghaier,Ennahdha,117,31,0.265
TNP-00247,Latifa Habachi,Ennahdha,116,30,0.2586
TNP-00369,Ahmed Mechergui,Ennahdha,116,30,0.2586
TNP-00411,Jawhara Tiss,Ennahdha,116,30,0.2586
TNP-00446,Sana Haddad,Ennahdha,116,30,0.2586
TNP-00455,Dhamir Mannai,No bloc,116,91,0.7845
TNP-00483,Farah Nsibi,No bloc,116,109,0.9397
TNP-00509,Mohamed Neji Gharsalli,No bloc,116,107,0.9224
TNP-00563,Warda Turki,Ennahdha,116,30,0.2586
TNP-00390,Moncef Cherni,Democratic Transition,115,103,0.8957
TNP-00397,Amel Azzouz,Ennahdha,115,29,0.2522
TNP-00459,Aicha Dhaouadi,Ennahdha,115,29,0.2522
TNP-00538,Nabiha Torjmane,Ennahdha,115,29,0.2522
TNP-00559,Jamal Bouajaja,Ennahdha,115,29,0.2522
TNP-00324,Sahbi Atig,Ennahdha,114,28,0.2456
TNP-00494,Kamel Ammar,Ennahdha,114,28,0.2456
TNP-00531,Monia Gasri,Ennahdha,114,28,0.2456
TNP-00550,Haythem Belgacem,CPR,114,104,0.9123
TNP-00520,Mohamed Lotfi Ben Mesbah,Democratic Bloc,113,109,0.9646
TNP-00382,Habib Ellouz,Ennahdha,112,26,0.2321
TNP-00442,Samir Ben Amor,CPR,112,104,0.9286
TNP-00374,Azed Badi,Loyalty to the Revolution,111,105,0.9459
TNP-00465,Abdessattar Dhifi,Loyalty to the Revolution,111,109,0.982
TNP-00510,Mohamed Saidi,Ennahdha,110,24,0.2182
TNP-00477,Imed Hammami,Ennahdha,109,24,0.2202
TNP-00386,Sadok Chourou,Ennahdha,108,22,0.2037
TNP-00488,Faiçal Jadlaoui,No bloc,107,94,0.8785
TNP-00552,Kamel Ben Romdhane,Ennahdha,107,21,0.1963
TNP-00439,Slim Ben Hmidane,CPR,104,95,0.9135
TNP-00547,Hajer Azaiez,Ennahdha,104,19,0.1827
TNP-00467,Abdelaziz Chaabane,Ennahdha,103,17,0.165
TNP-00556,Habib Bribech,Ennahdha,101,15,0.1485
TNP-00540,Nejib Mrad,Ennahdha,100,16,0.16
TNP-00371,Ahmed Smiai,Ennahdha,97,15,0.1546
TNP-00551,Wissem Yassine,No bloc,92,81,0.8804
TNP-00450,Chokri Arfaoui,Democratic Transition,91,80,0.8791
TNP-00514,Mohamed Gahbich,Democratic Alliance,85,76,0.8941
TNP-00545,Naoufel Ghribi,CPR,85,78,0.9176
TNP-00457,Tarek Bouaziz,Democratic Transition,80,69,0.8625
TNP-00264,Mehdi Ben Gharbia,Democratic Alliance,76,68,0.8947
TNP-00564,Mohamed Mondher Ben Rahal,Ettakatol,72,61,0.8472
TNP-00420,Khmais Ksila,No bloc,69,42,0.6087
TNP-00399,Amira Marzouk,No bloc,67,50,0.7463
TNP-00141,Anouar Marzouki,Democratic Transition,66,54,0.8182
TNP-00409,Jamel Gargouri,Democratic Alliance,66,58,0.8788
TNP-00562,Nafissa Marzouki,Ettakatol,66,58,0.8788
TNP-00511,Mohamed Ben Mabrouk Hamdi,Democratic Alliance,65,57,0.8769
TNP-00524,Mahmoud Baroudi,Democratic Alliance,65,57,0.8769
TNP-00503,Mohamed Salah Chairat,Democratic Transition,59,48,0.8136
TNP-00424,Rabeh Khraifi,No bloc,57,42,0.7368
TNP-00448,Chokri Yaich,Democratic Alliance,57,49,0.8596
TNP-00453,Slaheddine Zahaf,Democratic Bloc,57,42,0.7368
TNP-00504,Mohamed Tahar Ilahi,No bloc,57,38,0.6667
TNP-00519,Mohamed Ali Nasri,No bloc,56,33,0.5893
TNP-00539,Najla Bourial,Democratic Alliance,56,48,0.8571
TNP-00412,Hatem Klaii,No bloc,55,42,0.7636
TNP-00506,Mohamed Elarbi Fadhel Moussa,Democratic Bloc,55,39,0.7091
TNP-00289,Mongi Rahoui,Democratic Bloc,53,37,0.6981
TNP-00384,Hasni Badri,Democratic Transition,53,43,0.8113
TNP-00443,Samir Bettaieb,Democratic Bloc,53,38,0.717
TNP-00469,Abdelkader Ben Khmis,Democratic Bloc,53,42,0.7925
TNP-00543,Noômane Fehri,Democratic Bloc,53,38,0.717
TNP-00436,Salma Baccar,Democratic Bloc,51,35,0.6863
TNP-00472,Abdelwahab Maatar,CPR,51,43,0.8431
TNP-00512,Mahmoud El May,No bloc,51,35,0.6863
TNP-00444,Samira Merai,Democratic Bloc,49,33,0.6735
TNP-00277,Mohamed Karim Krifa,No bloc,47,29,0.617
TNP-00392,Naceur Brahmi,No bloc,46,29,0.6304
TNP-00372,Ahmed Brahim,Democratic Bloc,45,29,0.6444
TNP-00478,Omar Chetoui,CPR,45,36,0.8
TNP-00487,Foued Thamer,Democratic Bloc,45,30,0.6667
TNP-00430,Rim Mahjoub,Democratic Bloc,44,27,0.6136
TNP-00440,Selim Ben Abdessalam,No bloc,44,28,0.6364
TNP-00490,Karim Bouabdelli,Democratic Bloc,43,30,0.6977
TNP-00395,Hedi Chaouech,No bloc,42,27,0.6429
TNP-00468,Abdelaziz Kotti,No bloc,42,25,0.5952
TNP-00449,Chokri Kastalli,Democratic Alliance,41,33,0.8049
TNP-00479,Fadhel Elouej,No bloc,41,26,0.6341
TNP-00527,Moez Kammoun,Democratic Transition,40,29,0.725
TNP-00536,Nadia Chaabane,Democratic Bloc,40,25,0.625
TNP-00517,Mohamed Chafik Zorkin,Democratic Alliance,39,38,0.9744
TNP-00518,Mohamed Abdelmonem Krir,No bloc,39,22,0.5641
TNP-00491,Karima Souid,Democratic Bloc,38,22,0.5789
TNP-00535,Maya Jeribi,No bloc,38,22,0.5789
TNP-00565,Manel Kadri,No bloc,38,23,0.6053
TNP-00387,Tahar Hmila,No bloc,36,29,0.8056
TNP-00426,Rabiaa Najlaoui,No bloc,36,21,0.5833
TNP-00542,Nizar Makhloufi,Loyalty to the Revolution,35,34,0.9714
TNP-00415,Hassan Radhouani,No bloc,34,26,0.7647
TNP-00480,Fatma Gharbi,No bloc,34,20,0.5882
TNP-00373,Ahmed Nejib Chebbi,No bloc,32,26,0.8125
TNP-00378,Ikbel Msadaa,CPR,32,20,0.625
TNP-00557,Bechir Nefzi,CPR,32,20,0.625
TNP-00416,Hasna Mersit,No bloc,31,25,0.8065
TNP-00499,Mabrouka Mbarek,CPR,31,20,0.6452
TNP-00566,Fadhel Saghraoui,No bloc,31,19,0.6129
TNP-00400,Iyed Dahmani,No bloc,30,19,0.6333
TNP-00525,Mourad Amdouni,No bloc,30,14,0.4667
TNP-00425,Rabiî Abdi,Loyalty to the Revolution,29,24,0.8276
TNP-00434,Saâd Bouaïche,Democratic Transition,28,18,0.6429
TNP-00474,Ali Bechrifa,Democratic Bloc,28,15,0.5357
TNP-00507,Mohamed Karray Jerbi,Loyalty to the Revolution,26,20,0.7692
TNP-00379,Lazhar Chamli,CPR,25,16,0.64
TNP-00438,Salma Hedia Mabrouk,Democratic Bloc,25,12,0.48
TNP-00515,Mohamed Nejib Khila,No bloc,25,16,0.64
TNP-00567,Monia Ben Nasr Ayadi,Democratic Bloc,24,12,0.5
TNP-00473,Issam Chebbi,No bloc,23,14,0.6087
TNP-00554,Souhir Dardouri,Democratic Transition,23,22,0.9565
TNP-00370,Ahmed Essefi,No bloc,19,10,0.5263
TNP-00482,Fathi Eltaif,No bloc,17,7,0.4118
TNP-00558,Noura Ben Hassen,CPR,15,6,0.4
TNP-00456,Tarek Labidi,Ettakatol,14,9,0.6429
TNP-00332,Samia Abbou,CPR,13,8,0.6154
TNP-00481,Faiza Kadoussi,No bloc,11,4,0.3636
TNP-00498,Mabrouk Hrizi,Loyalty to the Revolution,11,9,0.8182
TNP-00376,Iskander Bouallagui,No bloc,10,1,0.1
TNP-00427,Rafik Tlili,Loyalty to the Revolution,10,7,0.7
TNP-00451,Salah Chouaib,No bloc,10,5,0.5
TNP-00463,Abderrazak Khallouli,Democratic Transition,10,6,0.6
TNP-00464,Abderraouf Ayadi,Loyalty to the Revolution,10,5,0.5
TNP-00476,Ali Houiji,Loyalty to the Revolution,9,5,0.5556
TNP-00381,Jdidi Essbouîi,No bloc,8,1,0.125
TNP-00417,Hattab Barakati,No bloc,8,2,0.25
TNP-00429,Rim Thairi,No bloc,7,0,0.0
TNP-00435,Said Kharchoufi,No bloc,7,0,0.0
TNP-00462,Abderrahmane Ladgham,Ettakatol,7,4,0.5714
TNP-00516,Mohamed Ben Youssef Hamdi,No bloc,7,0,0.0
TNP-00402,Aymen Zouaghi,No bloc,6,0,0.0
TNP-00367,Ibrahim Hamdi,Loyalty to the Revolution,4,4,1.0
TNP-00534,Mouldi Zidi,No bloc,4,1,0.25
TNP-00529,Mouna Ben Nasr,No bloc,3,0,0.0
TNP-00007,Hichem Hosni,No bloc,2,0,0.0
TNP-00368,Ibrahim Kassas,No bloc,2,1,0.5
