month,effective_number_of_blocs,blocs_with_members,members_assigned
2015-03,3.625,7,217
2015-04,3.625,7,217
2015-05,3.625,7,217
2015-06,3.625,7,217
2015-07,3.625,7,217
2015-08,3.625,7,217
2015-09,3.625,7,217
2015-10,3.625,7,217
2015-11,3.625,7,217
2015-12,3.625,7,217
2016-01,3.61,7,218
2016-02,4.627,8,218
2016-03,4.638,8,220
2016-04,4.947,8,220
2016-05,4.826,8,220
2016-06,4.826,8,220
2016-07,4.649,8,220
2016-08,4.467,8,220
2016-09,4.553,8,220
2016-10,4.486,8,218
2016-11,4.406,8,218
2016-12,4.482,8,218
2017-01,4.498,8,217
2017-02,4.498,8,217
2017-03,4.498,8,217
2017-04,4.729,8,218
2017-05,4.846,9,218
2017-06,4.846,9,218
2017-07,5.028,9,218
2017-08,5.007,9,212
2017-09,5.007,9,212
2017-10,5.007,9,212
2017-11,5.007,9,212
2017-12,5.147,9,216
2018-01,5.139,9,214
2018-02,5.139,9,214
2018-03,5.139,9,214
2018-04,5.139,9,214
2018-05,5.139,9,214
2018-06,5.139,9,214
2018-07,5.139,9,214
2018-08,5.139,9,214
2018-09,5.139,9,214
2018-10,5.004,8,217
2018-11,4.998,8,215
2018-12,4.998,8,215
2019-01,4.998,8,215
2019-02,4.998,8,215
2019-03,4.998,8,215
2019-04,4.998,8,215
2019-05,5.276,8,217
2019-06,5.276,8,217
2019-07,5.276,8,217
2019-08,5.276,8,217
2019-09,5.276,8,217
2019-10,5.276,8,217
