person_id,name_lat,bloc,n_committees,committee_ids,committee_labels,degree_full_graph,degree_backbone,weighted_degree_newman
TNP-00205,Foued Thameur,Democratic Bloc,2,CMT-4e91930c5e8b CMT-8978fc995f04,Constituent 2 | Legislative 5,39,1,2.0
TNP-00517,Mohamed Nejib Hosni,No bloc,2,CMT-336c11e63d66 CMT-4d57513fbffc,Special 2 | Constituent 5,39,2,2.0
TNP-00412,Hafedh Ibrahim Lassoued,Ennahdha,2,CMT-3b890b1f160a CMT-c6c8260db7f4,Special 4 | Constituent 4,39,2,2.0
TNP-00478,Fatma Gharbi,No bloc,2,CMT-545e8558a206 CMT-e6b2fac8e5c7,Constituent 3 | Legislative 6,39,1,2.0
TNP-00377,Essia Naffati,Ennahdha,2,CMT-178580c40e35 CMT-8978fc995f04,Constituent 1 | Legislative 5,39,1,2.0
TNP-00479,Faiza Kadoussi,No bloc,2,CMT-178580c40e35 CMT-8978fc995f04,Constituent 1 | Legislative 5,39,1,2.0
TNP-00475,Ali Houiji,Loyalty to the Revolution,2,CMT-3b890b1f160a CMT-545e8558a206,Special 4 | Constituent 3,39,2,2.0
TNP-00403,Basma Jebali,Ennahdha,2,CMT-52252f4274f6 CMT-c6c8260db7f4,Legislative 3 | Constituent 4,39,2,2.0
TNP-00537,Nejiba Beryoul,Ennahdha,2,CMT-52252f4274f6 CMT-c6c8260db7f4,Legislative 3 | Constituent 4,39,2,2.0
TNP-00405,Baya Jaouadi,Ennahdha,2,CMT-499d23e8523f CMT-4e91930c5e8b,Special 6 | Constituent 2,39,1,2.0
TNP-00480,Fathi Eltaif,No bloc,2,CMT-400b91a3bed5 CMT-52252f4274f6,Special 5 | Legislative 3,39,1,2.0
TNP-00469,Abdelkader Kadri,Ennahdha,2,CMT-4d57513fbffc CMT-52252f4274f6,Constituent 5 | Legislative 3,39,1,2.0
TNP-00503,Mohamed Karray Jerbi,Loyalty to the Revolution,2,CMT-400b91a3bed5 CMT-7249209246b3,Special 5 | Constituent 6,39,1,2.0
TNP-00524,Moufida Marzouki,Ennahdha,2,CMT-3b890b1f160a CMT-52252f4274f6,Special 4 | Legislative 3,39,1,2.0
