rank,person_id,name_lat,written_questions
1,TNP-00032,Mohamed Ali Fennira,201
2,TNP-00030,Mahmoud El Amri,199
3,TNP-00152,Ahmed Saidani,199
4,TNP-00144,Nouri Jridi,169
5,TNP-00133,Basma Hammami,151
6,TNP-00153,Ahmed Bannour,149
7,TNP-00052,Fayçal Sghaier,146
8,TNP-00122,Hassen Jarboui,144
9,TNP-00002,Youssef Toumi,141
10,TNP-00076,Abdelaziz Chaabani,140
11,TNP-00077,Abdessalem Dahmani,138
12,TNP-00010,Nourelhouda Sbaiti,132
13,TNP-00089,Dhouha Selmi,130
14,TNP-00008,Hela Jaballa,109
15,TNP-00060,Ghassen Yamoun,107
16,TNP-00026,Mariem Cherif,106
17,TNP-00126,Hatem Labbaoui,105
18,TNP-00110,Rym Sghaier,104
19,TNP-00084,Adel Dhief,95
20,TNP-00009,Noura Chabrak,92
21,TNP-00019,Manel Bdida,88
22,TNP-00006,Walid Hajji,87
23,TNP-00058,Msedi Fatma,84
24,TNP-00150,Tahar Ben Mansour,84
25,TNP-00094,Sabeur Masmoudi,81
26,TNP-00151,Asma Derouiche,81
27,TNP-00070,Issam Bahri Jebri,77
28,TNP-00013,Najla Lahiani,75
29,TNP-00136,Bedis Belhadj Ali,72
30,TNP-00031,Mohamed Mejdi,71
31,TNP-00012,Nejib Akremi,68
32,TNP-00040,Mohamed Amine Ouerghi,68
33,TNP-00128,Jalel khedmi,63
34,TNP-00042,Mohamed Elhedi Allani,60
35,TNP-00125,Houssem Mahjoub,60
36,TNP-00146,Mokhtar Abdelmoula,59
37,TNP-00064,Ammar Idoudi,58
38,TNP-00101,Sonia Ben Mabrouk,58
39,TNP-00016,Maha Ameur,57
40,TNP-00025,Messaoud Grira,57
41,TNP-00114,Ramzi Chetoui,57
42,TNP-00061,Awatef Cheniti,54
43,TNP-00098,Cyrine Boussandel,54
44,TNP-00102,Sofien Ben hlima,52
45,TNP-00028,Mokhtar Ifaoui,51
46,TNP-00011,Nizar Seddik,49
47,TNP-00062,Amor Ben Amor,48
48,TNP-00138,Aymen Ben Salah,48
49,TNP-00071,Aziz Ben Lakhdher,47
50,TNP-00096,Chokri Ben Bahri,46
51,TNP-00113,Raouf Fekiri,46
52,TNP-00142,Amel Meddeb,45
53,TNP-00024,Mustapha Boubakri,44
54,TNP-00039,Mohamed Amine Mbarki,44
55,TNP-00081,Abdelhalim  Boussema,44
56,TNP-00029,Mahmoud Chalghaf,42
57,TNP-00027,Mourad khezami,41
58,TNP-00109,Rim Maachaoui,41
59,TNP-00048,Lotfi Hammami,40
60,TNP-00135,Boutheina Ghanmi,40
61,TNP-00108,Zina Jiballah,39
62,TNP-00065,Ouled jebril Imed,38
63,TNP-00055,Fakhreddine Fadhloun,37
64,TNP-00083,Abdel jalil El Heni,35
65,TNP-00066,Imededdine Sdiri,34
