period,first_division,last_division,divisions,members,ties,cross_bloc_ties,cross_bloc_share,nodes_outside_frame
1,2012-07-18,2013-12-29,248,206,11295,6936,0.6141,5
2,2013-12-29,2014-01-23,248,206,7811,3753,0.4805,4
3,2014-01-23,2014-04-29,248,206,8564,4478,0.5229,3
4,2014-04-29,2014-09-25,249,206,9491,5460,0.5753,5
