person_id,name_lat,bloc,degree_full_graph,degree_backbone,weighted_degree_newman
TNP-00320,Ridha Jaouadi,Independent,54,4,3.0
TNP-00327,Salem Ketata,Democratic Bloc,54,4,3.0
TNP-00186,Belgacem Hssan,Ennahdha,52,8,3.0
TNP-00322,Safa Ghribi,National Bloc,52,7,3.0
TNP-00209,Hajer Naifer,PDL,51,5,3.0
TNP-00230,Issam Bargougui,Independent,51,5,3.0
TNP-00249,Leila Haddad,Democratic Bloc,50,9,3.0
TNP-00268,Mohamed Affas,Al Karama,50,9,3.0
TNP-00259,Mariem Ben Belgacem,Ennahdha,50,6,3.0
TNP-00315,Rabeb Ben Letaief,Ennahdha,50,6,3.0
TNP-00349,Tarek Brahmi,Reform Bloc,50,4,3.0
TNP-00331,Sameh Dammak,Qalb Tounes,50,10,3.0
TNP-00205,Foued Thameur,Qalb Tounes,50,8,3.0
TNP-00295,Mustapha Ben Ahmed,Tahya Tounes,49,5,3.0
TNP-00194,Faiza Bouhlel,Ennahdha,48,5,3.0
TNP-00293,Mounira Ayari,Democratic Bloc,48,11,3.0
TNP-00300,Neji Jarahi,PDL,44,3,3.0
TNP-00195,Faker Chouikhi,National Bloc,42,5,3.0
TNP-00188,Chiraz Chebbi,Qalb Tounes,40,2,3.0
TNP-00357,Yamina Zoghlami,Ennahdha,40,2,3.0
TNP-00254,Mahbouba Ben Dhifallah,Ennahdha,40,1,3.0
TNP-00309,Noureddine Bhiri,Ennahdha,40,1,2.0
TNP-00200,Fathi Belgacem,Ennahdha,40,1,2.0
TNP-00157,Abdelhamid Marzouki,Qalb Tounes,39,1,2.0
TNP-00294,Moussa Ben Ahmed,Ennahdha,39,1,2.0
TNP-00180,Awatef Griche Abid,PDL,39,1,2.0
TNP-00297,Nabil Hajji,Democratic Bloc,39,1,2.0
TNP-00226,Hussein Jenayah,Tahya Tounes,39,1,2.0
TNP-00215,Hatem Mansi,Reform Bloc,39,2,2.0
TNP-00220,Hedi Makni,Tahya Tounes,39,2,2.0
TNP-00285,Mohamed Zrig,Ennahdha,39,2,2.0
TNP-00245,Lamia Jaidane,Independent,39,2,2.0
TNP-00271,Mohamed Bouneni,Democratic Bloc,39,2,2.0
TNP-00310,Noussaiba Ben Ali,Ennahdha,39,2,2.0
TNP-00217,Hayet Omri,Ennahdha,39,0,2.0
TNP-00165,Ahmed Belgacem,Ennahdha,39,0,2.0
TNP-00164,Adnene Ben Brahim,Independent,38,1,2.0
TNP-00248,Lazher Chamli,Democratic Bloc,38,1,2.0
TNP-00166,Ahmed Ben Ayed,Al Karama,38,1,2.0
TNP-00288,Mondher Ben Attia,Al Karama,38,1,2.0
TNP-00169,Ali Ben Aoun,Democratic Bloc,38,2,3.0
TNP-00172,Amal Saidi,Democratic Bloc,38,2,2.0
