assembly_id,region,members,share_pct,chamber_members_with_constituency
NCA-2011,Grand Tunis,25,15.0,167
NCA-2011,North East,14,8.4,167
NCA-2011,North West,26,15.6,167
NCA-2011,Centre East,27,16.2,167
NCA-2011,Centre West,25,15.0,167
NCA-2011,South East,20,12.0,167
NCA-2011,South West,16,9.6,167
NCA-2011,abroad,14,8.4,167
ARP-2014,Grand Tunis,48,19.8,242
ARP-2014,North East,32,13.2,242
ARP-2014,North West,30,12.4,242
ARP-2014,Centre East,46,19.0,242
ARP-2014,Centre West,29,12.0,242
ARP-2014,South East,21,8.7,242
ARP-2014,South West,17,7.0,242
ARP-2014,abroad,19,7.9,242
ARP-2019,Grand Tunis,42,19.9,211
ARP-2019,North East,27,12.8,211
ARP-2019,North West,25,11.8,211
ARP-2019,Centre East,43,20.4,211
ARP-2019,Centre West,24,11.4,211
ARP-2019,South East,20,9.5,211
ARP-2019,South West,16,7.6,211
ARP-2019,abroad,14,6.6,211
ARP-2023,Grand Tunis,34,21.9,155
ARP-2023,North East,22,14.2,155
ARP-2023,North West,15,9.7,155
ARP-2023,Centre East,36,23.2,155
ARP-2023,Centre West,19,12.3,155
ARP-2023,South East,15,9.7,155
ARP-2023,South West,11,7.1,155
ARP-2023,abroad,3,1.9,155
