person_id,name_lat,bloc,plenary_attendance_rate,vote_participation_rate,gap_attendance_minus_voting
TNP-00316,Rached Ghannouchi,Ennahdha,0.9381,0.3731,0.565
TNP-00293,Mounira Ayari,Democratic Bloc,0.8304,0.3463,0.4841
TNP-00255,Maher Madhioub,Ennahdha,0.6518,0.1881,0.4637
TNP-00065,Ouled jebril Imed,National Bloc,0.9107,0.4478,0.4629
TNP-00203,Faycel Tebini,Independent,0.8214,0.3791,0.4423
TNP-00342,Seifedine Makhlouf,Al Karama,0.9115,0.4776,0.4339
TNP-00190,Chokri Dhouibi,Democratic Bloc,0.7589,0.3254,0.4335
TNP-00134,badreddine gammoudi,Democratic Bloc,0.6814,0.2567,0.4247
TNP-00343,Sihem Chrigui,Qalb Tounes,0.7768,0.3612,0.4156
TNP-00359,Yosri Dali,Al Karama,0.8393,0.4328,0.4065
TNP-00363,Zied Hechmi,Al Karama,0.6964,0.2955,0.4009
TNP-00297,Nabil Hajji,Democratic Bloc,0.9375,0.5493,0.3882
TNP-00218,Haykel Mekki,Democratic Bloc,0.7699,0.403,0.3669
TNP-00341,Seifeddine Mergheni,Qalb Tounes,0.6071,0.2478,0.3593
TNP-00235,Jamila Debbech,Ennahdha,0.7589,0.4119,0.347
TNP-00188,Chiraz Chebbi,Qalb Tounes,0.8761,0.5313,0.3448
TNP-00249,Leila Haddad,Democratic Bloc,0.9115,0.5672,0.3443
TNP-00281,Mohamed Sadok Kahbich,Reform Bloc,0.8393,0.4985,0.3408
TNP-00289,Mongi Rahoui,Independent,0.7611,0.4209,0.3402
TNP-00332,Samia Abbou,Democratic Bloc,0.9469,0.609,0.3379
TNP-00220,Hedi Makni,Tahya Tounes,0.5804,0.2478,0.3326
TNP-00326,Said Jaziri,Independent,0.4779,0.1701,0.3078
TNP-00291,Mouadh Ben Dhiaf,Independent,0.7321,0.4358,0.2963
TNP-00207,Habib Ben Sid’hom,Al Karama,0.7589,0.4657,0.2932
TNP-00253,Mabrouk Korchid,National Bloc,0.9204,0.6299,0.2905
TNP-00292,Mounir Balti Hamdi,Qalb Tounes,0.4911,0.206,0.2851
TNP-00243,Khaled Qsouma,Independent,0.4107,0.1284,0.2823
TNP-00358,Yassine Ayari,Independent,0.75,0.4687,0.2813
