target,article_number,amendments,1-4_sponsors,5-19,20_or_more,in_figure
Preamble,0,19,1,16,2,True
Article 39,39,9,1,6,2,True
Article 127,127,8,1,4,3,True
Article 6,6,7,0,7,0,True
Article 46,46,7,1,5,1,True
Article 10,10,6,0,5,1,True
Article 37,37,6,1,4,1,True
Article 109,109,6,1,4,1,True
Article 124,124,6,1,5,0,True
Article 1,1,5,1,4,0,True
Article 12,12,4,0,4,0,True
Article 31,31,4,2,1,1,True
Article 43,43,4,0,4,0,True
Article 44,44,4,0,3,1,True
Article 51,51,4,0,4,0,True
Article 52,52,4,0,4,0,True
Article 73,73,4,2,2,0,True
Article 100,100,4,0,2,2,True
Article 146,146,4,1,3,0,False
Article 2,2,3,1,2,0,False
Article 7,7,3,1,2,0,False
Article 18,18,3,1,2,0,False
Article 19,19,3,0,2,1,False
Article 38,38,3,0,3,0,False
Article 45,45,3,1,2,0,False
Article 47,47,3,0,3,0,False
Article 61,61,3,0,3,0,False
Article 64,64,3,0,1,2,False
Article 74,74,3,1,2,0,False
Article 76,76,3,2,0,1,False
Article 107,107,3,0,3,0,False
Article 112,112,3,1,1,1,False
Article 122,122,3,0,3,0,False
Article 126,126,3,0,3,0,False
Article 138,138,3,0,2,1,False
Article 9,9,2,0,1,1,False
Article 14,14,2,0,2,0,False
Article 15,15,2,0,2,0,False
Article 21,21,2,1,1,0,False
Article 30,30,2,1,1,0,False
Article 32,32,2,0,2,0,False
Article 34,34,2,2,0,0,False
Article 35,35,2,0,2,0,False
Article 36,36,2,1,0,1,False
Article 40,40,2,1,1,0,False
Article 48,48,2,1,0,1,False
Article 49,49,2,0,1,1,False
Article 58,58,2,0,2,0,False
Article 59,59,2,1,1,0,False
Article 69,69,2,0,2,0,False
Article 79,79,2,1,1,0,False
Article 80,80,2,1,1,0,False
Article 81,81,2,1,1,0,False
Article 88,88,2,1,1,0,False
Article 108,108,2,0,1,1,False
Article 114,114,2,0,2,0,False
Article 117,117,2,1,1,0,False
Article 125,125,2,0,1,1,False
Article 139,139,2,0,1,1,False
Article 144,144,2,0,2,0,False
Article 4,4,1,0,1,0,False
Article 5,5,1,0,1,0,False
Article 8,8,1,0,1,0,False
Article 11,11,1,0,1,0,False
Article 13,13,1,0,1,0,False
Article 17,17,1,0,1,0,False
Article 20,20,1,0,1,0,False
Article 23,23,1,1,0,0,False
Article 28,28,1,0,1,0,False
Article 29,29,1,0,1,0,False
Article 33,33,1,0,1,0,False
Article 41,41,1,0,1,0,False
Article 54,54,1,0,1,0,False
Article 55,55,1,0,1,0,False
Article 60,60,1,0,0,1,False
Article 63,63,1,0,1,0,False
Article 65,65,1,0,1,0,False
Article 66,66,1,0,1,0,False
Article 71,71,1,0,1,0,False
Article 77,77,1,1,0,0,False
Article 91,91,1,1,0,0,False
Article 92,92,1,0,1,0,False
Article 94,94,1,0,0,1,False
Article 96,96,1,1,0,0,False
Article 97,97,1,1,0,0,False
Article 102,102,1,0,0,1,False
Article 103,103,1,0,1,0,False
Article 105,105,1,0,1,0,False
Article 111,111,1,0,1,0,False
Article 115,115,1,1,0,0,False
Article 121,121,1,0,1,0,False
Article 123,123,1,0,1,0,False
Article 132,132,1,0,0,1,False
Article 133,133,1,0,1,0,False
Article 136,136,1,0,1,0,False
Article 137,137,1,0,0,1,False
Article 141,141,1,1,0,0,False
Article 145,145,1,1,0,0,False
