party_id,name_ar,name_fr,name_en,abbrev,family,founded_date,dissolved_date,predecessor_party_id,wikidata_qid,notes
PTY-NEODESTOUR,الحزب الحر الدستوري الجديد,Néo-Destour,Neo-Destour Party,Neo-Destour,destourian,1934-03-02,1964-10-22,,,
PTY-PSD,الحزب الاشتراكي الدستوري,Parti socialiste destourien,Socialist Destourian Party,PSD,destourian,1964-10-22,1988-02-27,PTY-NEODESTOUR,,
PTY-RCD,التجمع الدستوري الديمقراطي,Rassemblement constitutionnel démocratique,Democratic Constitutional Rally,RCD,destourian,1988-02-27,2011-03-09,PTY-PSD,,
PTY-CPT,الحزب الشيوعي التونسي,Parti communiste tunisien,Tunisian Communist Party,PCT,left,1920-01-01,1993-04-23,,,
PTY-ETTAJDID,حركة التجديد,Mouvement Ettajdid,Ettajdid Movement,Ettajdid,left,1993-04-23,2012-04-01,PTY-CPT,,
PTY-MDS,حركة الديمقراطيين الاشتراكيين,Mouvement des démocrates socialistes,Movement of Socialist Democrats,MDS,social_democratic,1978-06-10,,,,
PTY-PUP,حزب الوحدة الشعبية,Parti de l'unité populaire,Popular Unity Party,PUP,left,1981-01-01,,,,
PTY-UDU,الاتحاد الديمقراطي الوحدوي,Union démocratique unioniste,Unionist Democratic Union,UDU,arab_nationalist,1988-01-01,,,,
PTY-ENNAHDHA,حركة النهضة,Mouvement Ennahdha,Ennahdha Movement,Ennahdha,islamist,1981-06-06,,,,
PTY-CPR,المؤتمر من أجل الجمهورية,Congrès pour la République,Congress for the Republic,CPR,social_democratic,2001-07-25,,,,
PTY-ETTAKATOL,التكتل الديمقراطي من أجل العمل والحريات,Forum démocratique pour le travail et les libertés,Democratic Forum for Labour and Liberties,Ettakatol,social_democratic,1994-04-09,,,,
PTY-ARIDHA,العريضة الشعبية,Pétition populaire,Popular Petition,Aridha Chaabia,other,2011-01-01,,,,
PTY-NIDAA,نداء تونس,Nidaa Tounes,Nidaa Tounes,Nidaa,national_conservative,2012-06-16,,,,
PTY-JOMHOURI,الحزب الجمهوري,Parti républicain,Republican Party,Al Joumhouri,liberal,2012-04-09,,,,
PTY-MACHROU,حركة مشروع تونس,Machrouû Tounes,Machrouu Tounes,Machrouu,social_democratic,2016-03-20,,PTY-NIDAA,,
PTY-TAHYA,تحيا تونس,Tahya Tounes,Tahya Tounes,Tahya,liberal,2019-01-27,,,,
PTY-QALB,قلب تونس,Qalb Tounes,Heart of Tunisia,Qalb Tounes,liberal,2019-06-01,,,,
PTY-PDL,الحزب الدستوري الحر,Parti destourien libre,Free Destourian Party,PDL,destourian,2013-01-01,,,,
PTY-KARAMA,ائتلاف الكرامة,Coalition Al Karama,Al Karama Coalition,Al Karama,islamist,2019-01-01,,,,
PTY-ECHAAB,حركة الشعب,Mouvement du peuple,People's Movement,Echaab,arab_nationalist,2011-01-01,,,,
PTY-INDEPENDENT,مستقل,Indépendant,Independent,Ind.,independent,,,,,
