person_id,name_ar,name_lat,gender,birth_year,birth_date_precision,birth_governorate_id,n_mandates,first_assembly_id,last_assembly_id,first_mandate_start,constituency_id,constituency_name_ar,governorate_id,governorate_name_lat,region,littoral,party_id_last,party_family_last,occupation_raw,career_sectors,vote_participation_rate,plenary_attendance_rate,n_written_questions
TNP-00019,منال بديدة,Manel Bdida,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-e0f768103a48,بئر على بن خليفة,TN-61,Sfax,Centre East,true,,,,,,,88
TNP-00020,مليك كمون,Melik Kammoun,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-38a2e4de653e,ساقية الزيت,TN-61,Sfax,Centre East,true,,,,,,,7
TNP-00021,معز بن يوسف,Moez Ben Youssef,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-194c2f978000,القلعة الكبرى - سيدي بوعلي - كندار,TN-51,Sousse,Centre East,true,,,,,,,8
TNP-00022,معز برك الله,Moez Barkallah,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-d55061cfbd6d,صفاقس المدينة,TN-61,Sfax,Centre East,true,,,,,,,3
TNP-00023,معز الرياحي,Moez Riahi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-bd258f20740f,مجاز الباب -قبلاط - تستور,TN-31,Beja,North West,true,,,,,,,22
TNP-00024,مصطفى بوبكري,Mustapha Boubakri,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-ad0c3f3d6d4c,تطاوين الجنوبية - بئر الاحمر - غمراسن,TN-83,Tataouine,South East,false,,,,,,,44
TNP-00025,مسعود قريرة,Messaoud Grira,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-5654d7843ced,جرجيس,TN-82,Medenine,South East,true,,,,,,,57
TNP-00026,مريم الشريف,Mariem Cherif,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-68b73ad04616,وادي الليل,TN-14,Manouba,Grand Tunis,false,,,,,,,106
TNP-00027,مراد الخزامي,Mourad khezami,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-7f66d79de45a,فوشانة,TN-13,Ben Arous,Grand Tunis,true,,,,,,,41
TNP-00028,مختار عيفاوي,Mokhtar Ifaoui,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-97283f3f5a30,بوحجلة,TN-41,Kairouan,Centre West,false,,,,,,,51
TNP-00029,محمود شلغاف,Mahmoud Chalghaf,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-b28eb5bac2c3,قرقنة,TN-61,Sfax,Centre East,true,,,,,,,42
TNP-00030,محمود العامري,Mahmoud El Amri,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-ad8b17b74a07,سيدي الهاني - القلعة الصغرى,TN-51,Sousse,Centre East,true,,,,,,,199
TNP-00031,محمد ماجدي,Mohamed Mejdi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-05ac35562067,أم العرائس - سيدي بوبكر - الرديف - المتلوي,TN-71,Gafsa,South West,false,,,,,,,71
TNP-00032,محمد علي فنيرة,Mohamed Ali Fennira,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-8379cffb063c,قرمبالية,TN-21,Nabeul,North East,true,,,,,,,201
TNP-00033,محمد علي,Mohamed Ali,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-7f7812d38ee6,قفصة الجنوبية,TN-71,Gafsa,South West,false,,,,,,,29
TNP-00034,محمد ضو,Mohamed Dhaw,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-e20cd1fd3ef6,مدنين الجنوبية - سيدي مخلوف,TN-82,Medenine,South East,true,,,,,,,15
TNP-00035,محمد شعباني,Mohamed Chaabani,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-b64fb365aa08,ماجل بلعباس - فريانة,TN-42,Kasserine,Centre West,false,,,,,,,29
TNP-00036,محمد زياد الماهر,Mohamed Zied El Maher,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-c233dbf56b62,جمال,TN-52,Monastir,Centre East,true,,,,,,,11
TNP-00037,محمد بن سعيد,Mohamed Ben Said,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-b2fd9c292b6e,الهوارية - تاكلسة,TN-21,Nabeul,North East,true,,,,,,,14
TNP-00038,محمد بن حسين,Mohamed Ben Hassine,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-cd938f96d548,الرجيش - قصور الساف - البرادعة,TN-53,Mahdia,Centre East,true,,,,,,,22
TNP-00039,محمد أمين مباركي,Mohamed Amine Mbarki,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-4de2fe165838,سبيبة - جدليان - العيون,TN-42,Kasserine,Centre West,false,,,,,,,44
TNP-00040,محمد امين الورغي,Mohamed Amine Ouerghi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-d34d70f08aad,الوردية - جبل الجلود,TN-11,Tunis,Grand Tunis,true,,,,,,,68
TNP-00041,محمد اليحياوي,Mohamed Yahyaoui,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-7c6d7dbc6a9b,طبرقة - عين دراهم,TN-32,Jendouba,North West,true,,,,,,,9
TNP-00042,محمد الهادي العلاني,Mohamed Elhedi Allani,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-8141dbb00e1a,مكثر - الروحية - كسرى,TN-34,Siliana,North West,false,,,,,,,60
TNP-00043,محمد أحمد,mohamed Ahmed,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-6dc00e736f7c,النفيضة - بوفيشة - هرقلة,TN-51,Sousse,Centre East,true,,,,,,,21
TNP-00044,محسن هرمي,Mohsen Hermi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-9ee9f6d7bd1d,جندوبة الشمالية - فرنانة,TN-32,Jendouba,North West,true,,,,,,,6
TNP-00045,ماهر بوبكر الحضري,Maher Boubaker Hadhri,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-20b5e8134910,المروج - بئر القصعة,TN-13,Ben Arous,Grand Tunis,true,,,,,,,8
TNP-00046,ماهر الكتاري,Maher Ketari,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-dfe4fa6603d1,قرطاج - المرسى,TN-11,Tunis,Grand Tunis,true,,,,,,,1
TNP-00047,ماجدة الورغي,Majda Ouerghi,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-9acb0786de96,منزل بورقيبة - تينجة,TN-23,Bizerte,North East,true,,,,,,,12
TNP-00048,لطفي الهمامي,Lotfi Hammami,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-518851453bca,العمران - العمران الأعلى,TN-11,Tunis,Grand Tunis,true,,,,,,,40
TNP-00049,لطفي السعداوي,Lotfi Saadaoui,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-f699f9312353,الشبيكة - حفوز,TN-41,Kairouan,Centre West,false,,,,,,,13
TNP-00050,كمال كرعاني,Kamel Keraani,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-7bbf718e4e8b,نصر الله - منزل مهيري - الشراردة,TN-41,Kairouan,Centre West,false,,,,,,,28
TNP-00051,كمال فراح,Kamel Farrah,male,,,,1,ARP-2023,ARP-2023,2023-03-23,TNC-f5f308069583,بومهل البساتين - الزهراء,TN-13,Ben Arous,Grand Tunis,true,,,,,,,12
TNP-00052,فيصل الصغير,Fayçal Sghaier,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-20d51e4bae5b,قلعة الأندلس- سيدي ثابت,TN-12,Ariana,Grand Tunis,true,,,,,,,146
TNP-00053,فوزي دعاس,Faouzi Daas,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-79ba08e0dbb3,الحامة - الحامة الغربية,TN-81,Gabes,South East,true,,,,,,,18
TNP-00054,فخري عبد الخالق,Fakhri Abdelkhalek,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-14ad6d65e418,المحمدية,TN-13,Ben Arous,Grand Tunis,true,,,,,,,13
TNP-00055,فخر الدين فضلون,Fakhreddine Fadhloun,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-02f1a4d77309,قصر هلال - قصيبة المديوني,TN-52,Monastir,Centre East,true,,,,,,,37
TNP-00056,فتحي رجب,Fethi Rjeb,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-fbde56c631a9,الجم,TN-53,Mahdia,Centre East,true,,,,,,,12
TNP-00057,فتحي المشرقي,Fethi Mechrgui,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-d2660afac4df,بنزرت الجنوبية,TN-23,Bizerte,North East,true,,,,,,,32
TNP-00058,فاطمة المسدي,Msedi Fatma,female,,,,2,ARP-2014,ARP-2023,2014-12-02,TNC-a4e5396dad26,صفاقس الجنوبية,TN-61,Sfax,Centre East,true,,,Assistante contractuelle à l’université,,,,84
TNP-00059,فاتن النصيبي,Faten Ncibi,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-93c97f9de2b6,دائرة سكرة 2,TN-12,Ariana,Grand Tunis,true,,,,,,,5
TNP-00060,غسان يامون,Ghassen Yamoun,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-a5bf3742892c,جربة حومة السوق,TN-82,Medenine,South East,true,,,,,,,107
TNP-00061,عواطف الشنيتي,Awatef Cheniti,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-3532c3d2627d,باجة الجنوبية - تيبار - تبرسق,TN-31,Beja,North West,true,,,,,,,54
TNP-00062,عمر بن عمر,Amor Ben Amor,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-e3874327c558,زرمدين - بني حسان,TN-52,Monastir,Centre East,true,,,,,,,48
TNP-00063,عمر برهومي,Amor Barhoumi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-f7ca812f36b8,فرنسا 2,TN-99,Abroad,abroad,false,,,,,,,4
TNP-00064,عمار عيدودي,Ammar Idoudi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-537aae7f6fb8,تالة - حيدرة - فوسانة,TN-42,Kasserine,Centre West,false,,,,,,,58
TNP-00065,عماد أولاد جبريل,Ouled jebril Imed,male,,,,3,ARP-2014,ARP-2023,2014-12-02,TNC-d06f4b4a5ffb,بومرداس - السواسي,TN-53,Mahdia,Centre East,true,,,Professeur de théâtre,,,,38
TNP-00066,عماد الدين سديري,Imededdine Sdiri,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-e974df701f88,نبر - الطويرف -  ساقية سيدي يوسف - تاجروين,TN-33,Kef,North West,false,,,,,,,34
TNP-00067,علي زغدود,Ali Zaghdoud,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-ff761d317cf3,بن قردان,TN-82,Medenine,South East,true,,,,,,,24
TNP-00068,علي بوزوزية,Ali Bouzouzia,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-29554f9e6c50,دوار هيشر,TN-14,Manouba,Grand Tunis,false,,,,,,,11
TNP-00069,عصام شوشان,Issam Chouchen,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-f6f83e60ab39,الحنشة,TN-61,Sfax,Centre East,true,,,,,,,20
TNP-00070,عصام البحري الجابري,Issam Bahri Jebri,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-61225d8ed449,قابس المدينة - قابس الغربية,TN-81,Gabes,South East,true,,,,,,,77
TNP-00071,عزيز بن الاخضر,Aziz Ben Lakhdher,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-7e23f213e78a,مرناق,TN-13,Ben Arous,Grand Tunis,true,,,,,,,47
TNP-00072,عزالدين التايب,Ezzeddine Tayeb,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-e391d8d14901,الحرائرية,TN-11,Tunis,Grand Tunis,true,,,,,,,6
TNP-00073,عدنان العلوش,Adnen Allouche,male,1972,day,,1,ARP-2023,ARP-2023,2025-10-07,TNC-107b743b8617,بنزرت الشمالية,TN-23,Bizerte,North East,true,,,,,,,10
TNP-00074,عبد القادر عمار,Abdelkader Ammar,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-519c5d80c21e,سوسة المدينة - سيدي عبد الحميد,TN-51,Sousse,Centre East,true,,,,,,,34
TNP-00075,عبد القادر بن زينب,Abdelkader Ben Zineb,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-7c5e40f75e31,سليمان,TN-21,Nabeul,North East,true,,,,,,,1
TNP-00076,عبد العزيز شعباني,Abdelaziz Chaabani,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-5e968e03f073,القصرين الجنوبية - حاسي الفريد,TN-42,Kasserine,Centre West,false,,,,,,,140
TNP-00077,عبد السلام الدحماني,Abdessalem Dahmani,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-2a6258192a34,مارث - دخيلة توجان - مطماطة - مطماطة الجديدة,TN-81,Gabes,South East,true,,,,,,,138
TNP-00078,عبد السلام الحمروني,Abdessalem Hamrouni,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-7850681ddbef,بني خداش,TN-82,Medenine,South East,true,,,,,,,16
TNP-00079,عبد الستار الزارعي,Abdessattar Zarai,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-d8a6f449dff6,سيدي بوزيد الشرقية - سوق الجديد,TN-43,Sidi Bouzid,Centre West,false,,,,,,,17
TNP-00080,عبد الرزاق عويدات,Abderrazek Aouidet,male,,,,2,ARP-2019,ARP-2023,2019-11-13,TNC-1e4f122360f8,الجديدة - طبربة - البطان,TN-14,Manouba,Grand Tunis,false,,,,,,,12
TNP-00081,عبد الحليم بوسمة,Abdelhalim  Boussema,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-1b36e55999ff,دائرة رواد 2,TN-12,Ariana,Grand Tunis,true,,,,,,,44
TNP-00082,عبد الحافظ الوحيشي,Abdelhafedh Louhichi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-dbc65d43affb,جبنيانة - العامرة,TN-61,Sfax,Centre East,true,,,,,,,4
TNP-00083,عبد الجليل الهاني,Abdel jalil El Heni,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-8e374d1b2ae3,بوعرقوب - بني خلاد,TN-21,Nabeul,North East,true,,,,,,,35
TNP-00084,عادل ضياف,Adel Dhief,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-2b093f4e4715,سيدي حسين,TN-11,Tunis,Grand Tunis,true,,,,,,,95
TNP-00085,عادل البوسالمي,Adel Bousselmi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-a54f5818e72a,باب البحر - سيدي البشير,TN-11,Tunis,Grand Tunis,true,,,,,,,1
TNP-00086,ظافر الصغيري,dhafer Sghiri,male,,,,1,ARP-2023,ARP-2023,2023-07-13,TNC-41972b1be093,التحرير - باردو,TN-11,Tunis,Grand Tunis,true,,,,,,,14
TNP-00087,طارق مهدي,Tarek Mehdi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-6bf63763361c,ساقية الدائر,TN-61,Sfax,Centre East,true,,,,,,,13
TNP-00088,طارق الربعي,Tarek Rebai,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-52a1deccb887,حي التضامن,TN-12,Ariana,Grand Tunis,true,,,,,,,15
TNP-00089,ضحى السالمي,Dhouha Selmi,female,,,,1,ARP-2023,ARP-2023,2023-03-23,TNC-e6c9118e3483,حمام الأنف - حمام الشط,TN-13,Ben Arous,Grand Tunis,true,,,,,,,130
TNP-00090,صلاح الفرشيشي,Slah ferchichi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-c261209cd82f,بوسالم - بلطة بوعوان,TN-32,Jendouba,North West,true,,,,,,,11
TNP-00091,صالح مباركي,Salah Mbarki,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-e55e8cef9377,الكبارية,TN-11,Tunis,Grand Tunis,true,,,,,,,3
TNP-00092,صالح الصيادي,Salah Sayadi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-966f30f38658,المنستير1,TN-52,Monastir,Centre East,true,,,,,,,12
TNP-00093,صالح السالمي,Salah Selmi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-cd7d609486fc,جلمة - سبالة أولاد عسكر,TN-43,Sidi Bouzid,Centre West,false,,,,,,,11
TNP-00094,صابر المصمودي,Sabeur Masmoudi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-ab9d6e4f9747,صفاقس الغربية,TN-61,Sfax,Centre East,true,,,,,,,81
TNP-00095,صابر الجلاصي,Sabeur Jelassi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-32fcc7830e12,المرناقية - برج العامري,TN-14,Manouba,Grand Tunis,false,,,,,,,12
TNP-00096,شكري بن البحري,Chokri Ben Bahri,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-e0f63059733d,عقارب,TN-61,Sfax,Centre East,true,,,,,,,46
TNP-00097,شفيق عزالدين الزعفوري,Ezzedine Zaafouri,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-76c3228b9da4,سيدي بوزيد الغربية - الهيشرية,TN-43,Sidi Bouzid,Centre West,false,,,,,,,22
TNP-00098,سيرين بوصندل,Cyrine Boussandel,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-deefa564487c,منزل جميل - جرزونة,TN-23,Bizerte,North East,true,,,,,,,54
TNP-00099,سيرين المرابط,Sirine Mrabet,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-5bcfc580e7a1,السيجومي - الزهور,TN-11,Tunis,Grand Tunis,true,,,,,,,32
TNP-00100,سوسن مبروك,Sawsen Mabrouk,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-a40d80ca7130,مدنين الشمالية,TN-82,Medenine,South East,true,,,,,,,10
TNP-00101,سنية بن مبروك,Sonia Ben Mabrouk,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-3a595c736753,الكرم,TN-11,Tunis,Grand Tunis,true,,,,,,,58
TNP-00102,سفيان بن حليمة,Sofien Ben hlima,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-20511104b3f0,حمام سوسة - أكودة,TN-51,Sousse,Centre East,true,,,,,,,52
TNP-00103,سامي طوجاني,Sami Toujani,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-8e92959ea7f9,سجنان - جومين - غزالة,TN-23,Bizerte,North East,true,,,,,,,6
TNP-00104,سامي رايس,Sami Rais,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-8352ded641bc,دار شعبان الفهري - بني خيار,TN-21,Nabeul,North East,true,,,,,,,31
TNP-00105,سامي بن عبد العالي,Sami Ben Abdelaali,male,,,,2,ARP-2019,ARP-2023,2019-11-13,TNC-c0afc39a258b,ايطاليا,TN-99,Abroad,abroad,false,,,,,,,1
TNP-00106,سامي السيد,Sami Essaied,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-107b743b8617,بنزرت الشمالية,TN-23,Bizerte,North East,true,,,,,,,19
TNP-00107,سامي الحاج عمر,Sami Hadj Amor,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-4fdaa5ec49fe,الساحلين - الوردانين - بنبلة,TN-52,Monastir,Centre East,true,,,,,,,13
TNP-00108,زينة جيب الله,Zina Jiballah,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-ed3f99ff775f,زغوان - الزريبة,TN-22,Zaghouan,North East,false,,,,,,,39
TNP-00109,ريم المعشاوي,Rim Maachaoui,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-90e025dc7d34,القلعة الخصبة- الجريصة - القصور - الدهماني- السرس,TN-33,Kef,North West,false,,,,,,,41
TNP-00110,ريم الصغير,Rym Sghaier,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-847779cba41c,منزل بوزلفة - الميدة,TN-21,Nabeul,North East,true,,,,,,,104
TNP-00111,رياض جعيدان,Jaidane Riadh,male,,,,2,ARP-2014,ARP-2023,2014-12-02,TNC-f7ca812f36b8,فرنسا 2,TN-99,Abroad,abroad,false,,,"Maître de conférences en droit public à la Faculté de droit et des sciences politiques de Nice Avocat au Barreau de Nice après avoir obtenu en 2005 le Certificat d’Aptitude à la Profession d’Avocat (CAPA) à l’Ecole de formation des avocats du Sud-Est à Marseille. Il est l’auteur de plusieurs publications juridiques dans des revues internationales spécialisées. Diplômé du Centre International de Formation Européenne (CIFE), de l’Institut International des Droits de l’Homme (IIDH). Il a effectué plusieurs stages et voyages d’études dans des organisations européennes et Internationales telles que l’ONU, la Commission européenne, le Conseil de l’Europe, la Cour européenne des droits de l’homme…",,,,1
TNP-00112,رياض بلال,Riadh Blel,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-61a3fd1e65c0,طبلبة - البقالطة - صيادة - لمطة - بوحجر,TN-52,Monastir,Centre East,true,,,,,,,15
TNP-00113,رؤوف الفقيري,Raouf Fekiri,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-0c1fba807e92,غار الدماء - وادي مليز,TN-32,Jendouba,North West,true,,,,,,,46
TNP-00114,رمزي الشتوي,Ramzi Chetoui,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-7163483ce094,توزر,TN-72,Tozeur,South West,false,,,,,,,57
TNP-00115,رضا الدلاعي,Dellai Ridha,male,,,,3,ARP-2014,ARP-2023,2014-12-02,TNC-73ed5f340cee,عمدون - نفزة,TN-31,Beja,North West,true,,,Professeur d’enseignement secondaire,,,,1
TNP-00116,رشدي الرويسي,Rochdi Rouissi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-ad996070fccb,بوعرادة - قعفور - الكريب - بورويس - العروسة,TN-34,Siliana,North West,false,,,,,,,23
TNP-00117,خالد حكيم مبروكي,khaled Hakim Mabrouki,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-6efb48d8d57c,الرقاب - السعيدة - أولاد حفوز,TN-43,Sidi Bouzid,Centre West,false,,,,,,,25
TNP-00118,حمزة بضيافي,Hamza Bidhiafi,male,1986,day,,1,ARP-2023,ARP-2023,2025-10-07,TNC-8a0c85ce0812,دقاش - حامة الجريد - تمغزة,TN-72,Tozeur,South West,false,,,,,,,10
TNP-00119,حمدي بن عبد العالي,Hamdi Ben Abdelali,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-28c68beb64f3,المكنين,TN-52,Monastir,Centre East,true,,,,,,,22
TNP-00120,حمدي بن صالح,Hamdi Ben Salah,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-1a35847d974d,سوسة جوهرة,TN-51,Sousse,Centre East,true,,,,,,,4
TNP-00121,حمادي غيلاني,Hammadi Ghilani,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-3e86a0fa344f,سبيطلة,TN-42,Kasserine,Centre West,false,,,,,,,5
TNP-00122,حسن جربوعي,Hassen Jarboui,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-c76f0a8ad7e3,منزل شاكر,TN-61,Sfax,Centre East,true,,,,,,,144
TNP-00123,حسن بوسامة,Hassen Boussama,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-3ed81f8d3303,منزل تميم,TN-21,Nabeul,North East,true,,,,,,,5
TNP-00124,حسن بن علي,Hassen Ben Ali,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-478aeb7d40fd,الناظور - صواف,TN-22,Zaghouan,North East,false,,,,,,,17
TNP-00125,حسام محجوب,Houssem Mahjoub,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-0ac047003f52,مساكن,TN-51,Sousse,Centre East,true,,,,,,,60
