person_id,name_ar,name_lat,gender,birth_year,birth_date_precision,birth_governorate_id,n_mandates,first_assembly_id,last_assembly_id,first_mandate_start,constituency_id,constituency_name_ar,governorate_id,governorate_name_lat,region,littoral,party_id_last,party_family_last,occupation_raw,career_sectors,vote_participation_rate,plenary_attendance_rate,n_written_questions
TNP-00001,يوسف الطرشون,Youssef Tarchoun,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-59c699daa314,غار الملح - العالية - راس الجبل,TN-23,Bizerte,North East,true,,,,,,,5
TNP-00002,يوسف التومي,Youssef Toumi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-0555fdca61e3,الزاوية - القصيبة - الثريات,TN-51,Sousse,Centre East,true,,,,,,,141
TNP-00003,يسري البواب,Yosri Baouab,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-966f30f38658,المنستير1,TN-52,Monastir,Centre East,true,,,,,,,8
TNP-00004,ياسين مامي,yassine Mami,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-716878887869,الحمامات,TN-21,Nabeul,North East,true,,,,,,,17
TNP-00005,ياسر قراري,Yasser Grari,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-024a4dd70a2c,الكاف الغربية - الكاف الشرقية,TN-33,Kef,North West,false,,,,,,,13
TNP-00006,وليد حاجي,Walid Hajji,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-d23f1f4b3e69,العلا - حاجب العيون,TN-41,Kairouan,Centre West,false,,,,,,,87
TNP-00007,هشام حسني,Hichem Hosni,male,,,,2,NCA-2011,ARP-2023,2011-11-22,TNC-55c7cb5e7244,حلق الوادي,TN-11,Tunis,Grand Tunis,true,,,,trade_union,,,8
TNP-00008,هالة جاب الله,Hela Jaballa,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-4e958c0f924a,سوسة الرياض,TN-51,Sousse,Centre East,true,,,,,,,109
TNP-00009,نورة الشبراك,Noura Chabrak,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-e7ffb2c52255,قربة,TN-21,Nabeul,North East,true,,,,,,,92
TNP-00010,نور الهدى سبائطي,Nourelhouda Sbaiti,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-6ceb5472e074,غنوش - المطوية - وذرف - منزل الحبيب,TN-81,Gabes,South East,true,,,,,,,132
TNP-00011,نزار الصديق,Nizar Seddik,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-8c743287ed19,نفطة - حزوة,TN-72,Tozeur,South West,false,,,,,,,49
TNP-00012,نجيب عكرمي,Nejib Akremi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-8d9e896a9822,قفصة الشمالية - سيدي عيش - القصر - زانوش,TN-71,Gafsa,South West,false,,,,,,,68
TNP-00013,نجلاء اللحياني,Najla Lahiani,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-f08fdefa8442,أريانة المدينة,TN-12,Ariana,Grand Tunis,true,,,,,,,75
TNP-00014,نبيه ثابت,Nabih Thabet,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-8a0c85ce0812,دقاش - حامة الجريد - تمغزة,TN-72,Tozeur,South West,false,,,,,,,9
TNP-00015,نبيل حامدي,Nabil Hamdi,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-1e2144864623,السبيخة - الوسلاتية  -عين جلولة,TN-41,Kairouan,Centre West,false,,,,,,,26
TNP-00016,مهى عامر,Maha Ameur,female,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-6e8c4521fdb8,المنيهلة,TN-12,Ariana,Grand Tunis,true,,,,,,,57
TNP-00017,منير الكموني,Mounir Kammouni,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-eef1d5b64308,اولاد شامخ - هبيرة - شربان,TN-53,Mahdia,Centre East,true,,,,,,,20
TNP-00018,منصف المعلول,Moncef Maaloul,male,,,,1,ARP-2023,ARP-2023,2023-03-13,TNC-77db83aca8a9,تطاوين الشمالية - بني مهيرة - الصمار,TN-83,Tataouine,South East,false,,,,,,,8
