source,target,layer,assembly_id,weight,weight_newman,group_ids,group_names,group_size,shared_count,overlap_start,overlap_end,dates_assumed
TNP-00031,TNP-00144,written_question_cosignature,ARP-2023,15,10.436,11265;10325;10186;9907;9859;9796;9794;10085;9670;9665;9382;9506;9394;10045;8271,,2;20;2;3;2;2;2;2;21;5;5;2;2;2;4,15,2025-01-13,2026-04-14,false
TNP-00033,TNP-00150,written_question_cosignature,ARP-2023,9,4.55263,11448;11203;11102;10990;11363;10325;10472;9670;9427,,2;3;3;2;2;20;6;21;5,9,2025-05-29,2026-06-15,false
TNP-00060,TNP-00136,written_question_cosignature,ARP-2023,7,7,11046;11045;11129;9449;9251;8236;10113,,2;2;2;2;2;2;2,7,2024-12-25,2026-05-08,false
TNP-00089,TNP-00135,written_question_cosignature,ARP-2023,7,2.1619,10790;10534;10532;9670;9427;9426;9296,,3;3;3;21;5;4;36,7,2025-05-08,2026-02-17,false
TNP-00011,TNP-00118,written_question_cosignature,ARP-2023,5,5,10479;10380;9909;9716;11010,,2;2;2;2;2,5,2025-07-10,2026-04-10,false
TNP-00135,TNP-00150,written_question_cosignature,ARP-2023,5,1.35263,10325;10534;10532;9670;9427,,20;3;3;21;5,5,2025-05-29,2026-02-11,false
TNP-00001,TNP-00025,written_question_cosignature,ARP-2023,4,0.178822,10325;9782;9670;9296,,20;22;21;36,4,2025-05-08,2026-02-11,false
TNP-00008,TNP-00030,written_question_cosignature,ARP-2023,4,0.273016,10060;9259;9469;9296,,10;16;16;36,4,2025-05-08,2025-11-22,false
TNP-00021,TNP-00102,written_question_cosignature,ARP-2023,4,0.282906,10060;9259;9469;9406,,10;16;16;27,4,2025-04-15,2025-11-22,false
TNP-00025,TNP-00135,written_question_cosignature,ARP-2023,4,0.631203,10790;10325;9670;9296,,3;20;21;36,4,2025-05-08,2026-02-17,false
TNP-00030,TNP-00120,written_question_cosignature,ARP-2023,4,1.1619,9783;9259;9469;9296,,2;16;16;36,4,2025-05-08,2025-07-28,false
TNP-00031,TNP-00033,written_question_cosignature,ARP-2023,4,1.43596,11035;10325;9670;8271,,2;20;21;4,4,2025-01-13,2026-05-05,false
TNP-00033,TNP-00135,written_question_cosignature,ARP-2023,4,0.685965,10325;9670;9427;9426,,20;21;5;4,4,2025-05-27,2026-02-11,false
TNP-00070,TNP-00077,written_question_cosignature,ARP-2023,4,4,9851;9850;9849;9461,,2;2;2;2,4,2025-09-23,2025-09-23,false
