person_id,bloc_id,bloc_name_ar,assembly_id,role,start_date,end_date
TNP-00001,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,bloc_vice_chair,2024-10-29,
TNP-00001,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,bloc_vice_chair,2023-10-17,2025-11-07
TNP-00001,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,bloc_chair,2023-05-11,2023-10-16
TNP-00002,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00003,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00004,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,
TNP-00005,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2023-05-11,
TNP-00006,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00007,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00008,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00009,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,
TNP-00010,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,bloc_chair,2025-12-16,
TNP-00010,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,bloc_vice_chair,2023-05-11,2025-12-15
TNP-00011,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00012,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2023-05-11,
TNP-00013,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00014,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,2025-05-09
TNP-00015,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00016,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00017,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00018,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
TNP-00019,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2024-12-10,
TNP-00019,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2024-12-09
TNP-00020,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00021,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
TNP-00022,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00023,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,
TNP-00024,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,bloc_vice_chair,2025-12-16,
TNP-00024,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,2025-12-15
TNP-00025,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2023-05-11,
TNP-00026,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2024-12-10,
TNP-00026,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,2024-12-09
TNP-00027,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
TNP-00028,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00029,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2024-12-10,
TNP-00029,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2024-12-09
TNP-00030,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00031,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2023-05-11,
TNP-00032,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,
TNP-00033,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2024-12-10,
TNP-00033,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2024-10-29,2024-12-09
TNP-00033,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2023-05-11,2024-10-28
TNP-00034,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2026-01-19,
TNP-00034,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2024-12-20,2026-01-19
TNP-00034,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2023-05-11,2024-12-19
TNP-00035,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2023-05-11,
TNP-00036,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2024-10-29,
TNP-00036,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2024-10-28
TNP-00037,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,
TNP-00038,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00039,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00040,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00041,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-07-21,
TNP-00041,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2023-07-21
TNP-00042,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2023-05-11,
TNP-00043,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00044,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-10,
TNP-00045,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00046,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00047,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2024-10-29,
TNP-00047,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2024-10-28
TNP-00048,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
TNP-00049,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2026-02-12,
TNP-00049,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,bloc_vice_chair,2023-05-11,2026-02-11
TNP-00050,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00051,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
TNP-00052,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,
TNP-00053,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00054,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2025-12-16,
TNP-00054,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,bloc_chair,2023-05-11,2025-12-15
TNP-00055,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,
TNP-00056,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,
TNP-00057,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2024-10-29,
TNP-00057,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2024-10-28
TNP-00058,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00059,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00060,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-07-17,
TNP-00060,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2023-07-17
TNP-00061,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00062,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00063,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00064,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2023-05-11,
TNP-00065,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2025-12-16,
TNP-00065,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,bloc_chair,2023-05-11,2025-12-15
TNP-00066,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00067,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2024-12-20,
TNP-00067,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,bloc_chair,2023-05-11,2024-12-19
TNP-00068,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2023-05-11,
TNP-00069,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00070,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2026-01-19,
TNP-00070,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,2026-01-18
TNP-00071,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
TNP-00072,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00073,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2026-01-19,
TNP-00073,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2025-10-07,2026-01-18
TNP-00074,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
TNP-00075,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-07-05,
TNP-00075,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2023-07-04
TNP-00076,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00077,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,bloc_chair,2026-01-19,
TNP-00077,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2023-05-11,2026-01-18
TNP-00078,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2023-05-11,
TNP-00079,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
TNP-00080,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,bloc_chair,2024-10-29,
TNP-00080,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,bloc_chair,2023-10-17,2024-10-28
TNP-00080,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,bloc_chair,2023-05-11,2024-10-23
TNP-00081,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00082,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-10,
TNP-00083,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,
TNP-00084,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00085,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2023-05-11,
TNP-00086,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2024-10-29,
TNP-00086,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,2024-10-28
TNP-00087,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00088,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,bloc_chair,2025-12-16,
TNP-00088,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,2025-12-15
TNP-00089,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2023-05-11,
TNP-00090,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
TNP-00091,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,2026-03-09
TNP-00092,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2024-10-29,
TNP-00092,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2024-10-28
TNP-00093,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00094,BLC-139983161a87,كتلة الأحرار,ARP-2023,bloc_chair,2023-05-11,
TNP-00095,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
