person_id,bloc_id,bloc_name_ar,assembly_id,role,start_date,end_date
TNP-00096,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00097,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2023-05-11,
TNP-00098,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2024-10-29,
TNP-00098,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2024-10-28
TNP-00099,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00100,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00101,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
TNP-00102,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
TNP-00103,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,bloc_vice_chair,2025-12-16,
TNP-00103,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,2025-12-15
TNP-00104,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2025-12-16,
TNP-00104,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,bloc_vice_chair,2025-01-08,2025-12-15
TNP-00104,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,2025-01-07
TNP-00105,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,
TNP-00106,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2024-10-29,2025-03-13
TNP-00106,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2024-10-28
TNP-00107,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00108,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2024-11-10,
TNP-00108,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2024-11-09
TNP-00109,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00110,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00111,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00112,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00113,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2023-05-11,
TNP-00114,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2026-01-19,
TNP-00114,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,2026-01-18
TNP-00115,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2023-05-11,
TNP-00116,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2024-10-29,
TNP-00116,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2024-10-28
TNP-00117,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
TNP-00118,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2025-12-16,
TNP-00118,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2025-10-07,2025-12-15
TNP-00119,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,
TNP-00120,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00121,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2024-07-30,
TNP-00121,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,bloc_vice_chair,2023-05-11,2024-07-29
TNP-00122,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00123,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-07-21,
TNP-00123,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2023-07-21
TNP-00124,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,bloc_vice_chair,2024-10-29,
TNP-00124,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,2024-10-28
TNP-00125,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2023-05-11,
TNP-00126,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00127,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00128,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00129,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2023-05-11,
TNP-00130,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2024-10-29,
TNP-00130,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,2024-10-28
TNP-00131,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2023-05-11,
TNP-00132,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00133,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,bloc_vice_chair,2026-02-12,
TNP-00133,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2025-02-03,2026-02-11
TNP-00133,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2025-02-03
TNP-00134,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2024-12-10,
TNP-00134,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2023-05-11,2024-12-09
TNP-00135,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2023-05-11,
TNP-00136,BLC-139983161a87,كتلة الأحرار,ARP-2023,bloc_vice_chair,2023-07-17,
TNP-00136,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2023-07-17
TNP-00137,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00138,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2025-01-08,
TNP-00138,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,bloc_vice_chair,2023-05-11,2025-01-07
TNP-00139,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00140,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2023-05-11,
TNP-00141,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,
TNP-00142,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,bloc_chair,2023-05-11,
TNP-00143,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00144,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2023-05-11,
TNP-00145,BLC-ac812da9c161,كتلة صوت الجمهورية,ARP-2023,unknown,2023-05-11,
TNP-00146,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2023-05-11,
TNP-00147,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2024-02-28,
TNP-00147,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,2024-02-27
TNP-00148,BLC-06a0c0449bb5,كتلة الوطنية المستقلة,ARP-2023,unknown,2023-05-11,
TNP-00149,BLC-2f472b0a03ed,كتلة لينتصر الشعب,ARP-2023,unknown,2024-10-29,
TNP-00149,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2024-10-28
TNP-00150,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2023-05-11,
TNP-00151,BLC-ae732a4efe54,كتلة الأمانة والعمل,ARP-2023,unknown,2025-02-25,
TNP-00151,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,2025-02-24
TNP-00152,BLC-f20b0575249e,كتلة الخط الوطني السيادي,ARP-2023,unknown,2023-05-11,
TNP-00153,BLC-139983161a87,كتلة الأحرار,ARP-2023,unknown,2023-05-11,
TNP-00154,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00155,BLC-b8dae4f6e993,غير المنتمين إلى كتل,ARP-2023,unknown,2023-05-30,
TNP-00156,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00157,BLC-96b9db640002,كتلة حزب قلب تونس (2019),ARP-2019,unknown,2019-11-13,
TNP-00158,BLC-ed7ba04997c5,كتلة ائتلاف الكرامة (2019),ARP-2019,unknown,2019-11-13,
TNP-00159,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00080,BLC-6814972dda22,الكتلة الديمقراطية (2019),ARP-2019,unknown,2019-11-13,
TNP-00160,BLC-30ebf47cb8e2,كتلة الحزب الدستوري الحر (2019),ARP-2019,unknown,2019-11-13,
TNP-00161,BLC-6814972dda22,الكتلة الديمقراطية (2019),ARP-2019,unknown,2019-11-13,
TNP-00162,BLC-30ebf47cb8e2,كتلة الحزب الدستوري الحر (2019),ARP-2019,unknown,2019-11-13,
TNP-00163,BLC-761b155c0ff5,مستقل,ARP-2019,unknown,2019-11-13,
TNP-00164,BLC-761b155c0ff5,مستقل,ARP-2019,unknown,2019-11-13,
TNP-00165,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00166,BLC-ed7ba04997c5,كتلة ائتلاف الكرامة (2019),ARP-2019,unknown,2019-11-13,
TNP-00167,BLC-ed7ba04997c5,كتلة ائتلاف الكرامة (2019),ARP-2019,unknown,2019-11-13,
TNP-00168,BLC-30ebf47cb8e2,كتلة الحزب الدستوري الحر (2019),ARP-2019,unknown,2019-11-13,
TNP-00169,BLC-6814972dda22,الكتلة الديمقراطية (2019),ARP-2019,unknown,2019-11-13,
TNP-00170,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),ARP-2019,unknown,2019-11-13,
TNP-00171,BLC-30ebf47cb8e2,كتلة الحزب الدستوري الحر (2019),ARP-2019,unknown,2019-11-13,
TNP-00172,BLC-6814972dda22,الكتلة الديمقراطية (2019),ARP-2019,unknown,2019-11-13,
TNP-00173,BLC-96b9db640002,كتلة حزب قلب تونس (2019),ARP-2019,unknown,2019-11-13,
TNP-00174,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00175,BLC-ed7ba04997c5,كتلة ائتلاف الكرامة (2019),ARP-2019,unknown,2019-11-13,
TNP-00176,BLC-a7a13cef4e0d,الكتلة الوطنية (2020),ARP-2019,unknown,2020-01-01,
TNP-00177,BLC-6814972dda22,الكتلة الديمقراطية (2019),ARP-2019,unknown,2019-11-13,
TNP-00178,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00179,BLC-ed7ba04997c5,كتلة ائتلاف الكرامة (2019),ARP-2019,unknown,2019-11-13,
TNP-00180,BLC-30ebf47cb8e2,كتلة الحزب الدستوري الحر (2019),ARP-2019,unknown,2019-11-13,
TNP-00181,BLC-a7a13cef4e0d,الكتلة الوطنية (2020),ARP-2019,unknown,2020-01-01,
TNP-00182,BLC-761b155c0ff5,مستقل,ARP-2019,unknown,2019-11-13,
TNP-00134,BLC-6814972dda22,الكتلة الديمقراطية (2019),ARP-2019,unknown,2019-11-13,
TNP-00183,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00184,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00185,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00186,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00187,BLC-96b9db640002,كتلة حزب قلب تونس (2019),ARP-2019,unknown,2019-11-13,
TNP-00188,BLC-96b9db640002,كتلة حزب قلب تونس (2019),ARP-2019,unknown,2019-11-13,
TNP-00189,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00190,BLC-6814972dda22,الكتلة الديمقراطية (2019),ARP-2019,unknown,2019-11-13,
TNP-00191,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00192,BLC-ed7ba04997c5,كتلة ائتلاف الكرامة (2019),ARP-2019,unknown,2019-11-13,
TNP-00193,BLC-30ebf47cb8e2,كتلة الحزب الدستوري الحر (2019),ARP-2019,unknown,2019-11-13,
TNP-00194,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00195,BLC-a7a13cef4e0d,الكتلة الوطنية (2020),ARP-2019,unknown,2020-01-01,
TNP-00196,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),ARP-2019,unknown,2019-11-13,
TNP-00197,BLC-96b9db640002,كتلة حزب قلب تونس (2019),ARP-2019,unknown,2019-11-13,
TNP-00198,BLC-6814972dda22,الكتلة الديمقراطية (2019),ARP-2019,unknown,2019-11-13,
TNP-00199,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00200,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
TNP-00201,BLC-0e7903100c2b,كتلة حركة النهضة (2019),ARP-2019,unknown,2019-11-13,
