source,target,layer,assembly_id,weight,weight_newman,group_ids,group_names,group_size,shared_count,overlap_start,overlap_end,dates_assumed
TNP-00679,TNP-00758,shared_constituency,ADV-2005,1,1,TNC-e8ed574a280f,الكاف,2,1,,2011-03-23,true
TNP-00680,TNP-00745,shared_constituency,ADV-2005,1,1,TNC-a9aef4b186ba,صفاقس,2,1,,2011-03-23,true
TNP-00681,TNP-00775,shared_constituency,ADV-2005,1,1,TNC-d6a6595f1258,قابس,2,1,,2011-03-23,true
TNP-00682,TNP-00731,shared_constituency,ADV-2005,1,1,TNC-c1070b5beb60,سيدي بوزيد,2,1,,2011-03-23,true
TNP-00683,TNP-00695,shared_constituency,ADV-2005,1,1,TNC-715d3cf2c45f,سوسة,2,1,,2011-03-23,true
TNP-00684,TNP-00694,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00684,TNP-00701,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00684,TNP-00712,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00684,TNP-00722,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00684,TNP-00725,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00684,TNP-00727,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00684,TNP-00747,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00684,TNP-00749,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00684,TNP-00762,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00684,TNP-00763,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00684,TNP-00771,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00684,TNP-00787,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00684,TNP-00789,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00686,TNP-00770,shared_constituency,ADV-2005,1,1,TNC-46852900bf60,باجة,2,1,,2011-03-23,true
TNP-00687,TNP-00781,shared_constituency,ADV-2005,1,1,TNC-374ec068b4a1,منوبة,2,1,,2011-03-23,true
TNP-00688,TNP-00719,shared_constituency,ADV-2005,1,1,TNC-467c76aa9c04,قفصة,2,1,,2011-03-23,true
TNP-00691,TNP-00777,shared_constituency,ADV-2005,1,1,TNC-e0e71d7d9d41,أريانة,2,1,,2011-03-23,true
TNP-00692,TNP-00699,shared_constituency,ADV-2005,1,1,TNC-ff68874e0273,المهدية,2,1,,2011-03-23,true
TNP-00693,TNP-00716,shared_constituency,ADV-2005,1,1,TNC-6d01793f8adf,جندوبة,2,1,,2011-03-23,true
TNP-00694,TNP-00701,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00694,TNP-00712,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00694,TNP-00722,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00694,TNP-00725,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00694,TNP-00727,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00694,TNP-00747,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00694,TNP-00749,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00694,TNP-00762,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00694,TNP-00763,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
TNP-00694,TNP-00771,shared_constituency,ADV-2005,1,0.076923,TNC-84f5b7eec7c0,المنظمة المهنية للفلاحين,14,1,,2011-03-23,true
