source,target,layer,assembly_id,weight,weight_newman,group_ids,group_names,group_size,shared_count,overlap_start,overlap_end,dates_assumed
TNP-00065,TNP-00176,bloc_comembership,ARP-2019,1,0.125,BLC-a7a13cef4e0d,الكتلة الوطنية (2020),9,1,2020-01-01,,false
TNP-00065,TNP-00181,bloc_comembership,ARP-2019,1,0.125,BLC-a7a13cef4e0d,الكتلة الوطنية (2020),9,1,2020-01-01,,false
TNP-00065,TNP-00195,bloc_comembership,ARP-2019,1,0.125,BLC-a7a13cef4e0d,الكتلة الوطنية (2020),9,1,2020-01-01,,false
TNP-00065,TNP-00239,bloc_comembership,ARP-2019,1,0.125,BLC-a7a13cef4e0d,الكتلة الوطنية (2020),9,1,2020-01-01,,false
TNP-00065,TNP-00253,bloc_comembership,ARP-2019,1,0.125,BLC-a7a13cef4e0d,الكتلة الوطنية (2020),9,1,2020-01-01,,false
TNP-00065,TNP-00319,bloc_comembership,ARP-2019,1,0.125,BLC-a7a13cef4e0d,الكتلة الوطنية (2020),9,1,2020-01-01,,false
TNP-00065,TNP-00322,bloc_comembership,ARP-2019,1,0.125,BLC-a7a13cef4e0d,الكتلة الوطنية (2020),9,1,2020-01-01,,false
TNP-00065,TNP-00334,bloc_comembership,ARP-2019,1,0.125,BLC-a7a13cef4e0d,الكتلة الوطنية (2020),9,1,2020-01-01,,false
TNP-00080,TNP-00115,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00134,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00161,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00169,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00172,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00177,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00190,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00198,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00213,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00214,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00218,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00223,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00225,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00240,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00242,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00246,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00248,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00249,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00252,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00258,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00270,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00271,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00272,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00286,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00293,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00297,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00302,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00305,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00321,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00327,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00328,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00329,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00332,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00344,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00362,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00080,TNP-00365,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00105,TNP-00170,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00196,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00202,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00208,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00212,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00215,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00219,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00233,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00244,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00250,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00281,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00303,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00307,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00311,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00347,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00349,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00105,TNP-00350,bloc_comembership,ARP-2019,1,0.058824,BLC-8b6a6f827cc8,كتلة الاصلاح (2019),18,1,2019-11-13,,false
TNP-00115,TNP-00134,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00161,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00169,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00172,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00177,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00190,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00198,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00213,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00214,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00218,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00223,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00225,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00240,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00242,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00246,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
TNP-00115,TNP-00248,bloc_comembership,ARP-2019,1,0.027778,BLC-6814972dda22,الكتلة الديمقراطية (2019),37,1,2019-11-13,,false
